Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
79.975846,-0.053680,-0.011224,0.999424,0.840000,0.420000,-0.840000
79.983934,-0.030744,0.018544,1.011624,0.840000,0.700000,-0.980000
79.992021,-0.036112,0.016592,1.014552,0.840000,0.700000,-0.840000
80.000109,-0.039528,0.019520,1.015040,1.120000,0.420000,-0.840000
80.008196,-0.046360,0.003416,0.989664,0.560000,0.700000,-0.840000
80.016284,-0.035624,0.016592,1.018456,0.980000,0.420000,-0.700000
80.024371,-0.036600,0.015616,1.012112,0.840000,0.420000,-0.840000
80.032459,-0.044896,0.011224,1.002352,0.840000,0.700000,-0.840000
80.040547,-0.033184,0.016592,1.015528,0.840000,0.700000,-0.840000
80.048634,-0.041480,0.010736,1.005768,0.840000,0.280000,-0.840000
80.056722,-0.043920,0.011224,1.011624,0.840000,0.840000,-1.260000
80.064809,-0.004392,0.013664,1.011136,0.840000,0.280000,-0.700000
80.072897,-0.068808,0.011224,1.000400,0.840000,0.000000,-0.420000
80.080985,-0.053192,0.019032,1.011136,0.840000,1.400000,-1.120000
80.089072,-0.018544,0.018056,1.025776,1.120000,0.560000,-0.980000
80.097160,-0.040504,0.012200,0.979416,0.560000,0.140000,-0.560000
80.105247,-0.048800,0.006344,1.027240,0.560000,0.560000,-0.840000
80.113335,-0.035136,0.011712,1.004304,0.700000,0.980000,-1.120000
80.121422,-0.033672,0.019520,1.014064,0.560000,0.140000,-0.700000
80.129510,-0.036600,0.009760,1.009672,0.840000,0.560000,-0.840000
80.137598,-0.044408,0.015616,1.000888,0.700000,0.560000,-0.840000
80.145685,-0.038064,0.017568,1.011136,0.840000,0.560000,-0.840000
80.153773,-0.042944,0.013664,1.013088,0.560000,0.560000,-0.840000
80.161860,-0.038064,0.006832,1.003816,0.840000,0.420000,-0.840000
80.169948,-0.043920,0.015616,1.001864,0.840000,0.420000,-0.840000
80.178036,-0.028792,0.012688,1.012112,0.840000,0.280000,-0.700000
80.186123,-0.039528,0.013664,1.012600,0.980000,0.560000,-0.840000
80.194211,-0.043920,0.010736,1.001376,0.840000,0.700000,-0.980000
80.202298,-0.034648,0.019032,1.020896,0.700000,0.840000,-0.700000
80.210386,-0.039040,0.010736,1.005280,0.840000,0.560000,-0.840000
80.218473,-0.045872,0.013664,0.999424,0.700000,0.560000,-0.840000
80.226561,-0.030744,0.016592,1.021384,0.840000,0.700000,-0.700000
80.234649,-0.041968,0.007320,1.001864,0.840000,0.560000,-0.840000
80.242736,-0.043920,0.017080,0.998448,0.840000,0.280000,-0.840000
80.250824,-0.028792,0.012688,1.027240,0.980000,0.700000,-0.840000
80.258911,-0.034160,0.015616,1.013088,0.980000,0.560000,-0.840000
80.266999,-0.053192,0.015128,1.000888,0.700000,0.980000,-0.980000
80.275086,-0.033672,0.011712,1.013088,0.980000,0.420000,-0.840000
80.283174,-0.041968,0.015616,1.010160,0.840000,0.840000,-0.840000
80.291262,-0.041480,0.009272,0.988200,0.700000,0.560000,-0.840000
80.299349,-0.035136,0.012688,1.031632,0.980000,0.140000,-0.840000
80.307437,-0.040016,0.012200,0.997472,0.840000,0.700000,-0.840000
80.315524,-0.039528,0.020984,1.011624,0.980000,0.560000,-0.840000
80.323612,-0.036112,0.007808,1.016016,0.980000,0.420000,-0.840000
80.331700,-0.048312,0.016592,1.004304,0.840000,0.840000,-0.840000
80.339787,-0.043920,0.015128,1.002352,0.700000,0.840000,-0.840000
80.347875,-0.030744,0.011224,1.017968,0.560000,0.000000,-0.700000
80.355962,-0.037576,0.014640,1.012112,0.700000,0.560000,-0.840000
80.364050,-0.039040,0.017080,0.998936,0.840000,0.840000,-0.980000
80.372137,-0.037088,0.010736,1.003328,0.840000,0.420000,-0.700000
80.380225,-0.043920,0.015128,1.021384,0.840000,0.700000,-0.840000
80.388313,-0.033672,0.015128,1.001376,0.840000,0.560000,-0.980000
80.396400,-0.035624,0.007808,1.012112,0.700000,0.280000,-0.700000
80.404488,-0.041480,0.014152,1.009672,0.840000,0.700000,-0.840000
80.412575,-0.033672,0.021472,1.017968,1.120000,0.420000,-0.980000
80.420663,-0.042456,0.010248,0.996984,0.840000,0.560000,-0.700000
80.428751,-0.042456,0.006344,1.005768,0.980000,0.560000,-0.700000
80.436838,-0.031720,0.022448,1.022360,0.980000,0.420000,-0.980000
80.444926,-0.045384,0.007808,1.001864,0.700000,0.840000,-0.700000
80.453013,-0.037088,0.009272,1.007720,0.700000,0.420000,-0.840000
80.461101,-0.029280,0.016104,1.007720,0.980000,0.420000,-0.980000
80.469188,-0.039528,0.020984,1.018456,0.840000,0.560000,-0.700000
80.477276,-0.041480,0.011712,1.005280,0.840000,0.560000,-0.840000
80.485364,-0.042456,0.014640,1.002840,0.840000,0.700000,-0.980000
80.493451,-0.035136,0.015128,1.016504,0.980000,0.420000,-0.840000
80.501539,-0.041968,0.011224,0.993568,0.700000,0.840000,-0.840000
80.509626,-0.039528,0.012200,1.018944,0.980000,0.560000,-0.840000
80.517714,-0.040504,0.015128,1.005768,0.980000,0.560000,-0.840000
80.525801,-0.039528,0.016592,1.008696,0.980000,0.840000,-0.840000
80.533889,-0.036112,0.006832,1.012600,0.980000,0.280000,-0.840000
80.541977,-0.051240,0.016104,0.999424,0.980000,0.840000,-0.840000
80.550064,-0.033672,0.011712,1.018456,0.840000,0.560000,-0.840000
80.558152,-0.031232,0.013176,1.002840,0.840000,0.560000,-0.840000
80.566239,-0.047824,0.020008,1.015040,0.700000,0.840000,-0.980000
80.574327,-0.031232,0.008784,1.004792,0.700000,0.000000,-0.700000
80.582415,-0.037088,0.013176,1.010648,0.840000,0.560000,-0.700000
80.590502,-0.040992,0.019520,1.008696,0.980000,0.560000,-0.840000
80.598590,-0.039528,0.010248,1.005280,0.700000,0.560000,-0.700000
80.606677,-0.033672,0.011224,1.012600,1.120000,0.560000,-0.700000
80.614765,-0.042456,0.016592,1.005280,0.980000,0.560000,-0.840000
80.622852,-0.040016,0.014640,1.019432,0.980000,0.280000,-0.700000
80.630940,-0.040504,0.008296,1.005768,0.700000,0.700000,-0.840000
80.639028,-0.043432,0.018056,1.002352,0.840000,0.560000,-0.840000
80.647115,-0.035136,0.009272,1.011624,0.560000,0.280000,-0.700000
80.655203,-0.047824,0.014640,1.003816,0.840000,0.700000,-0.840000
80.663290,-0.034648,0.012200,1.009672,0.840000,0.700000,-0.980000
80.671378,-0.041480,0.016104,1.006744,0.700000,0.560000,-0.840000
80.679466,-0.042456,0.014640,1.009672,0.840000,0.840000,-0.840000
80.687553,-0.041968,0.009760,1.007232,0.700000,0.560000,-0.840000
80.695641,-0.044408,0.014152,0.999912,0.700000,0.700000,-0.840000
80.703728,-0.033184,0.010736,1.018944,0.980000,0.280000,-0.840000
80.711816,-0.031720,0.014640,1.010160,0.700000,0.560000,-0.840000
80.719903,-0.033672,0.018544,1.004792,0.980000,0.560000,-0.840000
80.727991,-0.040016,0.015128,1.012112,0.980000,0.560000,-0.700000
80.736079,-0.040992,0.013176,1.008696,0.840000,0.700000,-0.840000
80.744166,-0.029280,0.011224,1.014064,0.980000,0.280000,-0.980000
80.752254,-0.037088,0.017568,1.018944,0.840000,0.420000,-0.700000
80.760341,-0.040992,0.010736,1.000888,0.700000,0.700000,-0.840000
80.768429,-0.043920,0.015128,1.001864,0.840000,0.420000,-0.700000
80.776516,-0.038064,0.009272,1.018456,0.840000,0.420000,-0.840000
80.784604,-0.044408,0.017568,1.002840,0.980000,0.980000,-0.840000
80.792692,-0.041480,0.008296,1.009672,0.700000,0.560000,-0.840000
80.800779,-0.036600,0.018056,1.009672,0.840000,0.420000,-0.840000
80.808867,-0.041968,0.012688,1.005768,0.700000,0.560000,-0.700000
80.816954,-0.040992,0.010736,1.007232,0.560000,0.560000,-0.840000
80.825042,-0.043432,0.016104,1.006744,0.700000,0.840000,-0.980000
80.833130,-0.032208,0.012688,1.012600,0.700000,0.420000,-0.840000
80.841217,-0.033672,0.015616,1.013088,0.980000,0.420000,-0.840000
80.849305,-0.040016,0.015616,0.999424,0.840000,0.840000,-0.840000
80.857392,-0.035624,0.014640,1.017968,0.980000,0.420000,-0.700000
80.865480,-0.039040,0.010248,0.996008,0.700000,0.420000,-0.700000
80.873567,-0.041480,0.015616,1.018456,0.980000,0.420000,-0.980000
80.881655,-0.035624,0.014640,1.009184,0.980000,0.420000,-0.840000
80.889743,-0.040504,0.014640,1.008696,0.840000,0.560000,-0.840000
80.897830,-0.043920,0.016104,1.004792,0.840000,0.700000,-0.840000
80.905918,-0.046360,0.006344,1.001864,0.980000,0.560000,-0.700000
80.914005,-0.040016,0.019520,1.016504,0.840000,0.840000,-0.840000
80.922093,-0.036600,0.004392,1.004792,0.700000,0.840000,-0.840000
80.930180,-0.042456,0.020008,1.015528,0.700000,0.560000,-0.980000
80.938268,-0.035136,0.013664,1.005280,0.840000,0.560000,-0.840000
80.946356,-0.037576,0.007808,1.013576,0.700000,0.420000,-0.840000
80.954443,-0.041968,0.020008,1.007720,0.840000,0.840000,-0.840000
80.962531,-0.036112,0.009760,1.013088,0.840000,0.420000,-0.840000
80.970618,-0.033184,0.014640,1.002840,0.840000,0.420000,-0.700000
80.978706,-0.038064,0.016592,1.008208,0.980000,0.700000,-0.980000
80.986794,-0.031232,0.020496,1.015528,0.980000,0.140000,-0.700000
80.994881,-0.041968,0.010736,1.003328,0.700000,0.700000,-0.700000
81.002969,-0.041968,0.012200,1.011624,0.980000,0.280000,-0.840000
81.011056,-0.042944,0.008296,1.004304,0.560000,0.420000,-0.840000
81.019144,-0.037088,0.019032,1.010160,0.840000,0.700000,-0.700000
81.027231,-0.037576,0.009272,1.005768,0.840000,0.420000,-0.840000
81.035319,-0.040504,0.014640,1.020408,0.840000,0.840000,-0.840000
81.043407,-0.044408,0.015616,1.000888,0.700000,0.560000,-0.840000
81.051494,-0.034160,0.006832,1.016504,0.560000,0.560000,-0.840000
81.059582,-0.041968,0.018544,1.003328,0.560000,0.700000,-0.840000
81.067669,-0.037576,0.014640,1.011136,0.700000,0.700000,-0.840000
81.075757,-0.035136,0.014152,1.008696,0.700000,0.560000,-0.840000
81.083845,-0.042456,0.011712,1.000400,0.980000,0.420000,-0.840000
81.091932,-0.034648,0.017568,1.024312,0.980000,0.560000,-0.840000
81.100020,-0.042944,0.014640,1.001376,0.840000,0.700000,-0.840000
81.108107,-0.038552,0.013664,1.006256,0.980000,0.560000,-0.980000
81.116195,-0.042456,0.013664,1.009184,0.700000,0.560000,-0.840000
81.124282,-0.033672,0.014640,1.006744,0.840000,0.560000,-0.700000
81.132370,-0.038552,0.013176,1.013088,0.980000,0.420000,-0.840000
81.140458,-0.043920,0.006832,1.004304,0.840000,0.560000,-0.840000
81.148545,-0.035624,0.017568,1.012600,0.980000,0.420000,-0.840000
81.156633,-0.031232,0.010248,1.009672,0.840000,0.840000,-0.840000
81.164720,-0.044408,0.019032,1.014064,0.980000,0.560000,-0.840000
81.172808,-0.037088,0.014152,1.000400,0.560000,0.700000,-0.840000
81.180896,-0.038064,0.015128,1.016992,0.840000,0.420000,-0.840000
81.188983,-0.043920,0.010736,1.002352,0.700000,0.700000,-0.980000
81.197071,-0.035624,0.017568,1.015528,0.840000,0.420000,-0.840000
81.205158,-0.034648,0.012200,1.012600,0.700000,0.420000,-0.700000
81.213246,-0.045872,0.012688,0.991128,1.120000,0.560000,-0.840000
81.221333,-0.034648,0.016592,1.024312,0.980000,0.140000,-0.840000
81.229421,-0.042944,0.012688,0.998936,0.840000,0.840000,-0.840000
81.237509,-0.037576,0.012200,1.008208,0.840000,0.420000,-0.840000
81.245596,-0.043432,0.014152,1.009672,0.700000,0.560000,-0.840000
81.253684,-0.040992,0.014640,1.011136,0.700000,0.700000,-0.840000
81.261771,-0.033184,0.012200,1.014064,0.980000,0.280000,-0.840000
81.269859,-0.046360,0.010736,1.010160,0.420000,0.840000,-0.840000
81.277947,-0.039528,0.013664,0.998936,0.840000,0.560000,-0.840000
81.286034,-0.036112,0.012200,1.015528,0.840000,0.420000,-0.840000
81.294122,-0.036600,0.014640,1.006744,0.840000,0.700000,-0.980000
81.302209,-0.046848,0.021472,1.008696,0.840000,0.840000,-0.700000
81.310297,-0.031232,0.010248,1.009184,0.840000,0.280000,-0.840000
81.318384,-0.043432,0.011224,1.003328,0.700000,0.560000,-0.980000
81.326472,-0.033672,0.011712,1.020896,0.980000,0.280000,-0.840000
81.334560,-0.037576,0.016104,1.004304,0.980000,0.700000,-0.840000
81.342647,-0.040992,0.016592,1.004792,0.980000,0.840000,-0.840000
81.350735,-0.036600,0.006344,1.009184,0.840000,0.420000,-0.840000
81.358822,-0.042456,0.020984,1.013576,0.840000,0.560000,-0.700000
81.366910,-0.040504,0.008784,1.002840,0.840000,0.560000,-0.980000
81.374998,-0.041480,0.014640,1.016504,0.560000,0.700000,-0.840000
81.383085,-0.036600,0.008296,1.005768,0.700000,0.420000,-0.840000
81.391173,-0.034160,0.014640,1.011136,0.840000,0.560000,-0.840000
81.399260,-0.040992,0.013176,1.009672,0.980000,0.560000,-0.840000
81.407348,-0.043920,0.012200,1.002840,0.840000,0.700000,-0.840000
81.415435,-0.031720,0.018056,1.013088,0.840000,0.560000,-0.840000
81.423523,-0.042944,0.012688,1.004792,0.840000,0.280000,-0.840000
81.431611,-0.038552,0.018544,1.012600,0.840000,0.420000,-0.700000
81.439698,-0.041480,0.009760,1.004304,0.700000,0.700000,-0.840000
81.447786,-0.039040,0.010736,1.004304,0.980000,0.560000,-0.980000
81.455873,-0.040016,0.010736,1.015528,0.840000,0.420000,-0.840000
