Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
4.874559,0.003416,-0.015128,0.870104,0.560000,-3.500000,0.140000
4.882646,0.100528,0.040992,1.049688,2.800000,-2.100000,-0.700000
4.890733,0.049776,0.000488,1.093608,-0.140000,-3.220000,-0.840000
4.898821,0.048312,0.015128,1.035048,-0.980000,-4.340000,-0.840000
4.906908,0.011712,-0.008784,0.933544,2.100000,-1.960000,-0.560000
4.914996,0.108336,-0.018544,0.986248,1.400000,-2.520000,-0.560000
4.923083,0.151768,0.010736,1.138016,0.560000,-5.040000,-0.560000
4.931170,-0.007808,-0.010248,0.997960,-0.700000,-1.960000,-1.540000
4.939258,0.020496,-0.029768,0.810568,1.260000,-2.240000,-0.560000
4.947345,0.147864,0.032208,1.102880,2.240000,-4.900000,-0.420000
4.955433,0.029768,0.007808,1.065304,0.420000,-4.200000,-0.560000
4.963520,0.010736,0.027816,0.980880,-1.680000,-1.680000,-1.260000
4.971607,0.074664,-0.002440,0.978440,3.220000,-1.400000,-0.280000
4.979695,0.108336,-0.040016,1.015040,1.260000,-3.780000,-0.700000
4.987782,0.024888,0.035136,1.069208,-0.700000,-4.760000,-0.980000
4.995869,0.045384,-0.000488,0.967704,0.700000,-0.980000,-0.560000
5.003957,0.110776,-0.026840,0.958432,0.840000,-0.980000,-1.260000
5.012044,0.089304,-0.002440,1.057984,1.400000,-5.040000,-0.280000
5.020132,0.036112,0.008784,0.971608,1.120000,-2.800000,-0.560000
5.028219,0.051240,0.026352,0.949648,-0.140000,0.140000,-1.400000
5.036306,0.105408,-0.000976,1.088728,1.540000,-1.820000,-0.840000
5.044394,0.025376,-0.021960,1.019920,-0.280000,-2.660000,-0.560000
5.052481,0.050752,0.012200,0.940376,1.960000,-5.040000,-0.140000
5.060568,0.106872,0.040992,1.108248,0.840000,-1.820000,-1.260000
5.068656,0.088816,-0.041968,1.014552,-0.140000,-1.820000,-1.120000
5.076743,0.060512,0.000488,0.986736,0.980000,-3.920000,-0.420000
5.084831,0.068320,-0.009272,0.913048,1.820000,-1.820000,-0.700000
5.092918,0.105408,0.004392,1.046272,0.700000,-1.680000,-1.400000
5.101005,0.078080,0.025376,1.099464,0.140000,-4.060000,-0.420000
5.109093,0.010248,-0.024888,0.907192,0.140000,-1.820000,-0.700000
5.117180,0.072224,0.008784,0.987712,2.520000,-3.080000,-0.420000
