Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
16.212970,-0.099552,0.050752,0.812032,2.520000,-1.820000,-0.140000
16.221057,0.031720,0.041968,1.229272,-0.560000,2.520000,-1.540000
16.229144,-0.042456,0.020984,0.777872,0.980000,-1.260000,0.140000
16.237232,-0.032208,0.057584,1.283440,0.140000,3.640000,-2.660000
16.245319,-0.061976,0.008784,0.772016,1.400000,-1.960000,0.280000
16.253406,-0.017568,0.076128,1.277096,0.000000,3.080000,-1.540000
16.261494,0.010736,0.020008,0.769576,0.420000,-0.560000,-0.420000
16.269581,-0.071248,0.026352,1.279048,1.400000,3.920000,-2.520000
16.277668,-0.058072,0.055144,0.746152,-0.140000,-1.680000,0.840000
16.285756,0.003904,0.032696,1.285392,0.700000,1.540000,-1.260000
16.293843,-0.045384,0.041968,0.783728,0.700000,1.120000,-0.700000
16.301930,-0.011712,0.029280,1.283440,2.240000,1.260000,-1.400000
16.310018,-0.055144,0.049288,0.793000,1.260000,-0.280000,-0.280000
16.318105,0.007320,0.050264,1.234640,0.000000,1.820000,-2.940000
16.326192,-0.084912,0.007320,0.781288,1.820000,-0.140000,-0.140000
16.334279,0.025376,0.072224,1.259528,0.420000,1.400000,-0.420000
16.342367,-0.067344,-0.012688,0.793000,0.840000,-0.140000,-0.280000
16.350454,0.000488,0.104920,1.268800,1.680000,1.960000,-1.820000
16.358541,-0.073200,-0.025376,0.778360,0.140000,-0.420000,0.000000
16.366629,0.057584,0.098576,1.288320,2.660000,1.400000,-1.680000
16.374716,-0.088816,-0.025864,0.748592,1.540000,0.700000,-1.400000
16.382803,0.002928,0.126392,1.318088,0.560000,0.140000,-1.260000
16.390891,-0.093208,-0.039528,0.730048,0.560000,0.980000,0.280000
16.398978,0.041968,0.125904,1.342976,0.560000,-1.260000,-1.120000
16.407065,-0.077592,-0.071248,0.696864,1.260000,2.660000,-1.540000
16.415153,-0.011224,0.169336,1.350784,-0.980000,-1.820000,-0.840000
16.423240,-0.024400,-0.094672,0.678808,0.700000,1.260000,-1.120000
16.431327,-0.036112,0.167872,1.361032,0.700000,0.280000,-1.820000
16.439415,-0.034160,-0.110288,0.590480,1.260000,1.960000,0.280000
16.447502,-0.070760,0.184464,1.348344,0.280000,-1.960000,0.140000
16.455589,0.026840,-0.075152,0.682712,-0.140000,0.840000,-0.840000
16.463676,0.009272,0.122976,1.172176,0.700000,-1.680000,-1.680000
16.471764,-0.122976,-0.011712,0.808128,1.120000,3.640000,-0.140000
16.479851,0.092720,0.082472,1.047248,-0.700000,-3.920000,-1.120000
16.487938,-0.102968,-0.017080,0.824720,-1.680000,5.460000,-2.240000
16.496026,-0.043432,0.109312,0.948672,-3.500000,-1.680000,0.560000
16.504113,0.028792,0.074664,0.936960,-11.340000,1.400000,-0.700000
16.512200,-0.088328,0.063440,0.779336,-20.440001,3.780000,-0.420000
16.520288,0.038064,0.036600,1.001376,-24.639999,-2.940000,-1.820000
16.528375,-0.051240,-0.008784,0.901824,-22.400000,3.220000,0.140000
16.536462,-0.063440,0.110288,1.037000,-18.200001,-1.960000,-1.680000
16.544550,0.018544,0.001952,0.974048,-24.080000,5.180000,-2.100000
16.552637,-0.065880,0.028792,0.797880,-18.620001,-0.280000,-0.840000
16.560724,-0.053192,0.110776,1.106296,-22.540001,-0.140000,-2.240000
16.568812,-0.009760,-0.017568,0.835944,-22.960001,1.820000,-0.420000
16.576899,0.000000,0.060024,1.020896,-21.280001,-1.120000,-1.540000
16.584986,-0.042456,0.041968,0.940864,-20.719999,2.520000,-0.140000
16.593073,-0.004392,0.030744,0.985272,-15.120000,-2.380000,-2.240000
16.601161,-0.031232,0.005368,0.955992,-17.639999,3.920000,-1.960000
16.609248,-0.066368,0.049288,0.814472,-16.660000,-0.420000,0.420000
16.617335,0.019520,0.030256,1.113616,-14.000000,-1.260000,-2.100000
16.625423,-0.074664,-0.030256,0.852048,-10.780000,1.820000,-0.700000
16.633510,-0.048312,0.119560,0.976488,-12.460000,-1.540000,-1.260000
16.641597,0.051728,0.004880,0.936960,-16.799999,1.540000,-0.980000
16.649685,-0.093696,0.027328,0.824720,-12.600000,0.280000,-1.400000
16.657772,0.001952,0.042456,1.029192,-15.120000,-3.220000,-0.980000
16.665859,-0.072224,0.059536,0.906216,-13.300000,2.800000,-0.700000
16.673947,-0.040992,0.010248,0.956480,-10.220000,-1.120000,-1.680000
16.682034,0.017080,0.008296,0.998936,-8.400000,0.140000,-0.840000
16.690121,-0.089304,0.045384,0.785680,-6.020000,2.380000,-1.960000
16.698209,-0.000488,0.056608,1.063352,-9.100000,-1.680000,-2.100000
16.706296,-0.056608,0.032208,0.912560,-3.640000,1.540000,0.420000
16.714383,-0.003416,0.017568,0.874496,-1.260000,-0.280000,-1.680000
16.722470,0.031720,-0.001464,1.021872,-2.940000,2.100000,-1.680000
16.730558,-0.089304,-0.014152,0.729560,4.060000,1.260000,-0.280000
16.738645,0.032696,0.054656,1.034072,1.960000,-2.100000,-1.540000
16.746732,-0.099552,0.044408,0.842776,1.120000,6.300000,-0.700000
16.754820,-0.019032,-0.014152,0.932568,2.380000,-3.640000,-0.560000
16.762907,0.029768,0.077592,1.034072,0.280000,-0.280000,0.140000
16.770994,-0.086864,0.028792,0.708088,2.800000,2.940000,-1.400000
16.779082,0.046360,0.045872,1.089216,-0.280000,-1.820000,-1.680000
16.787169,-0.125904,0.015616,0.877424,1.260000,4.760000,-0.140000
16.795256,0.023912,0.017080,0.917928,0.560000,-4.480000,-0.700000
16.803344,-0.041968,0.092232,1.075552,-0.980000,4.480000,-1.260000
16.811431,-0.104920,-0.015128,0.725168,1.400000,2.240000,0.000000
16.819518,0.088328,0.069784,1.124840,0.280000,-4.760000,0.140000
16.827605,-0.121024,0.016104,0.833504,0.980000,6.300000,-2.100000
16.835693,-0.007808,0.062464,0.929152,0.980000,-2.520000,-0.420000
16.843780,0.005368,0.055632,1.088240,-1.540000,2.100000,-0.560000
16.851867,-0.028304,-0.046848,0.722240,2.240000,1.540000,-1.540000
16.859955,-0.013176,0.115656,1.107272,0.000000,-0.840000,-1.120000
16.868042,-0.101504,0.003416,0.804712,-0.140000,3.360000,0.140000
16.876129,0.056608,0.015128,0.974048,1.960000,-3.780000,-0.840000
16.884217,-0.084912,0.064416,0.957456,-2.100000,5.600000,-2.100000
16.892304,-0.034160,0.009760,0.782752,-4.900000,1.400000,-0.560000
16.900391,0.016592,0.067832,1.063352,-7.280000,-2.100000,-0.840000
16.908479,-0.061488,-0.004880,0.851560,-5.180000,2.520000,-0.840000
16.916566,-0.018056,0.049776,0.968192,-2.940000,-2.100000,-0.280000
16.924653,-0.073200,0.072224,1.030656,-6.020000,3.500000,-1.680000
16.932741,0.024400,-0.013176,0.826184,-4.760000,-0.980000,-0.840000
16.940828,-0.040016,0.066368,1.019920,-3.780000,0.280000,-1.820000
16.948915,-0.076616,0.054656,0.940376,-5.320000,3.500000,-0.980000
16.957002,-0.014640,0.007320,0.874008,-4.760000,-1.680000,-0.140000
16.965090,-0.041968,0.071736,1.011624,-5.600000,-0.140000,-2.380000
16.973177,-0.039528,-0.002928,0.881328,-5.040000,2.520000,-0.280000
16.981264,-0.026352,0.026352,1.062864,1.680000,0.700000,-0.980000
16.989352,0.007320,0.009272,0.912072,7.280000,2.240000,-1.540000
16.997439,-0.050752,0.029768,0.773480,5.040000,0.980000,-0.840000
17.005526,-0.032696,0.100040,1.015040,-2.240000,0.560000,-1.120000
17.013614,-0.021960,-0.006344,0.914024,-0.420000,2.520000,-0.560000
17.021701,-0.058560,0.028304,0.841312,3.220000,0.560000,-0.560000
17.029788,0.008784,0.052216,1.037976,-0.840000,0.000000,-0.840000
17.037876,-0.070272,0.001464,0.793976,0.000000,3.500000,-0.560000
17.045963,-0.026352,0.097112,0.992104,0.700000,-3.220000,-1.260000
17.054050,0.056608,-0.023912,0.927200,-0.420000,2.100000,-1.120000
17.062138,-0.110288,0.042456,0.784216,1.540000,3.920000,-1.120000
17.070225,0.006344,0.083448,1.078480,-1.960000,-2.660000,-1.540000
17.078312,-0.050264,-0.045384,0.844728,-0.140000,3.920000,-0.700000
17.086399,-0.052704,0.077104,0.955016,2.100000,-0.840000,-0.700000
17.094487,-0.009272,0.039040,1.040904,-0.840000,1.820000,-1.120000
17.102574,-0.058560,0.023424,0.782752,1.260000,1.540000,-0.420000
17.110661,0.035136,0.051728,0.998448,-0.560000,-1.680000,-1.260000
17.118749,-0.041968,-0.003416,0.892552,-2.240000,3.220000,-0.980000
17.126836,-0.097112,0.097600,0.926712,2.380000,-1.540000,-0.840000
17.134923,0.012200,0.023424,1.044808,-1.260000,0.000000,-1.260000
17.143011,-0.030256,0.001952,0.813984,0.140000,3.500000,-0.140000
17.151098,-0.039040,0.057096,0.942328,1.820000,-1.260000,-1.960000
17.159185,-0.011224,0.047336,1.008208,-0.840000,1.960000,-0.980000
17.167273,-0.056608,0.004880,0.804224,1.260000,0.840000,-0.840000
17.175360,0.036112,0.031720,1.030168,0.140000,-1.680000,-1.680000
17.183447,-0.078568,0.060024,0.864248,0.840000,3.360000,-0.420000
17.191535,-0.016592,0.008296,0.836432,2.240000,-2.380000,-0.980000
17.199622,0.050752,0.015128,1.049200,-0.420000,0.840000,-1.820000
17.207709,-0.163968,0.028304,0.768600,1.260000,4.900000,-0.840000
17.215796,0.081008,0.050264,1.044808,0.420000,-5.180000,-0.980000
17.223884,-0.012688,0.028304,0.976000,0.420000,5.460000,-1.540000
17.231971,-0.068808,0.023912,0.700280,1.400000,-0.560000,-0.980000
17.240058,0.028304,0.069784,1.156072,-0.840000,-2.240000,-0.280000
17.248146,-0.150792,0.025864,0.780312,1.120000,6.440000,-0.280000
17.256233,0.060024,0.016104,0.973072,1.120000,-6.160000,-0.700000
17.264320,-0.055632,0.045872,0.988688,-0.980000,4.060000,-0.980000
17.272408,-0.032208,0.028304,0.750544,1.120000,0.420000,-0.980000
17.280495,0.090768,0.001952,1.070672,0.560000,-1.260000,-0.700000
17.288582,-0.144936,0.031232,0.808128,0.420000,5.600000,-1.260000
17.296670,-0.007320,0.049288,0.962824,0.980000,-4.480000,1.400000
17.304757,0.003416,0.043432,1.070672,-0.700000,2.800000,-0.980000
17.312844,-0.039528,0.005856,0.744688,1.820000,3.220000,-1.680000
17.320931,-0.000488,0.031232,0.993568,0.140000,-2.940000,0.000000
17.329019,-0.001952,0.071736,1.005280,-0.140000,3.920000,-1.260000
17.337106,-0.047824,-0.036600,0.775920,0.980000,1.680000,-0.280000
17.345193,0.016104,0.061488,1.051640,-0.280000,-1.400000,-0.980000
17.353281,-0.091256,0.039040,0.857904,0.140000,4.900000,0.560000
17.361368,0.036112,-0.017080,0.874496,0.700000,-3.360000,0.000000
17.369455,-0.013176,0.080520,1.094096,0.000000,2.380000,-1.120000
17.377543,-0.111264,0.000976,0.760792,0.700000,3.360000,0.000000
17.385630,0.101016,0.029768,1.067256,0.420000,-3.920000,0.280000
17.393717,-0.111752,0.054168,0.934032,0.560000,6.020000,-1.820000
17.401805,0.002928,-0.000976,0.847168,0.840000,-1.540000,0.140000
17.409892,0.005856,0.021960,1.098488,0.000000,0.140000,0.700000
17.417979,-0.061976,0.056120,0.869616,1.540000,4.060000,-0.560000
17.426067,0.008784,-0.024400,1.016992,1.960000,-2.940000,-1.120000
17.434154,-0.084424,0.101504,1.138504,-0.140000,3.640000,-0.420000
17.442241,0.010736,-0.051240,0.848632,2.240000,-0.980000,0.140000
17.450328,0.006832,0.103944,1.159000,1.400000,0.980000,-2.240000
17.458416,-0.129808,-0.033184,0.907680,0.840000,1.960000,0.560000
17.466503,0.031720,0.052704,1.095072,2.520000,-2.380000,0.560000
17.474590,-0.006832,0.045872,1.076040,0.420000,2.380000,-1.820000
17.482678,-0.034648,-0.002440,0.872056,3.640000,-0.700000,-0.280000
17.490765,-0.043432,0.069296,1.184864,-0.280000,1.400000,-1.260000
17.498852,-0.019032,-0.009760,0.977464,1.120000,1.120000,-0.140000
17.506940,-0.063440,0.070272,1.102880,4.200000,-0.420000,-1.680000
17.515027,0.028304,-0.023424,1.148264,-0.420000,-0.700000,0.560000
17.523114,-0.055632,0.063928,0.962824,3.360000,4.760000,-0.420000
17.531202,-0.014152,0.018056,1.261480,0.560000,-4.760000,-1.400000
17.539289,-0.090280,0.069296,1.013088,3.500000,5.740000,-0.420000
17.547376,0.094672,-0.028304,1.173152,1.540000,-3.360000,-1.960000
17.555464,-0.131272,0.051240,1.077504,1.120000,5.460000,-0.140000
17.563551,0.023912,0.072712,1.209752,2.380000,-2.660000,-2.100000
17.571638,-0.036112,-0.043920,1.178520,-0.700000,0.700000,0.560000
17.579725,-0.061976,0.089304,1.190720,6.580000,1.400000,0.000000
17.587813,0.029768,0.026840,1.296128,5.740000,1.260000,-1.540000
17.595900,-0.052216,-0.031720,0.961848,5.880000,-3.780000,-1.400000
17.603987,-0.068320,0.204472,1.404464,2.520000,8.120000,-2.100000
17.612075,-0.008784,-0.169824,0.966728,4.060000,-3.780000,-1.820000
17.620162,-0.079056,0.226432,1.322480,3.220000,3.360000,-0.700000
17.628249,-0.016592,-0.071248,0.996984,-3.080000,0.980000,-1.120000
17.636337,0.014152,0.098576,1.303936,-5.320000,-2.240000,-2.240000
17.644424,-0.070760,-0.081496,1.072136,0.840000,4.060000,-0.140000
17.652511,0.026352,0.160064,1.371768,2.800000,-0.420000,-2.380000
17.660599,-0.071248,-0.114192,0.916464,-1.400000,3.640000,-0.560000
17.668686,-0.037576,0.208864,1.427888,0.840000,-1.680000,-1.400000
17.676773,-0.055144,-0.136640,0.950624,0.420000,4.480000,-0.420000
17.684860,0.007808,0.149328,1.345904,2.520000,-5.460000,-1.260000
17.692948,-0.082960,-0.028792,1.023336,1.120000,7.840000,-1.540000
17.701035,0.098088,0.034648,1.337120,0.560000,-10.500000,-2.660000
17.709122,-0.158600,0.028304,0.996496,1.260000,12.040000,0.000000
17.717210,0.085888,0.064904,1.411296,2.100000,-8.120000,-3.500000
17.725297,-0.119560,-0.009272,0.895968,-0.140000,6.160000,0.840000
17.733384,0.024888,0.103944,1.430328,1.540000,-3.920000,-1.260000
17.741472,-0.073200,-0.020496,0.936472,0.280000,6.580000,-2.100000
17.749559,0.003416,0.022448,1.250256,0.560000,-7.280000,-0.840000
17.757646,-0.084912,0.118096,1.104344,-1.120000,9.380000,-0.420000
17.765734,0.101504,-0.121024,1.218048,-0.840000,-4.760000,-1.960000
17.773821,-0.207888,0.178608,1.110200,1.540000,8.680000,0.280000
17.781908,0.133712,-0.062952,1.222440,-1.260000,-7.280000,-0.840000
17.789996,-0.150304,0.065392,1.016016,-1.120000,7.700000,0.420000
17.798083,0.063440,0.041968,1.317112,0.420000,-1.680000,-2.240000
17.806170,-0.074664,-0.032208,0.928664,0.140000,0.560000,-0.560000
17.814257,0.017080,0.096624,1.391776,-0.420000,-1.260000,-0.980000
17.822345,-0.072224,-0.012688,0.929152,2.100000,7.280000,-2.100000
17.830432,-0.044896,0.033672,1.317112,-0.140000,-6.860000,0.140000
17.838519,-0.029280,0.072712,0.945256,1.120000,6.300000,0.560000
17.846607,0.033672,-0.021960,1.355176,0.420000,-4.340000,-2.100000
17.854694,-0.090280,0.031720,0.865224,2.240000,5.600000,0.140000
17.862781,0.014152,0.092720,1.388360,0.420000,-4.760000,-1.260000
17.870869,-0.038064,-0.073200,0.881816,0.980000,2.100000,-0.280000
17.878956,0.018544,0.135664,1.197552,2.660000,0.420000,-2.100000
17.887043,-0.067832,-0.078080,0.915000,-0.140000,0.560000,-0.700000
17.895131,-0.014152,0.146400,1.206824,2.240000,-1.540000,0.000000
17.903218,0.002928,-0.065392,0.962824,0.700000,4.340000,-3.080000
17.911305,-0.058072,0.035624,1.004304,2.800000,-2.520000,0.980000
17.919392,-0.011712,0.096136,1.247816,0.700000,3.500000,-3.080000
17.927480,-0.022936,-0.080520,0.845216,1.400000,-0.560000,-0.560000
17.935567,0.002928,0.124440,1.206824,1.960000,1.260000,-2.380000
17.943654,-0.082960,-0.060024,0.963800,0.560000,-0.700000,0.140000
17.951742,0.036112,0.100040,1.098976,2.380000,0.000000,-1.680000
17.959829,-0.047824,-0.071736,1.003816,0.420000,3.360000,-1.260000
17.967916,-0.066368,0.133712,1.087752,3.640000,-5.180000,0.280000
17.976004,0.033184,-0.046360,1.049688,-1.960000,1.540000,-1.960000
17.984091,-0.060512,0.012688,0.946232,3.360000,-5.740000,0.560000
17.992178,-0.033672,0.104920,1.232200,0.280000,3.220000,-2.380000
18.000266,-0.078080,-0.067832,0.847168,0.980000,-5.740000,0.420000
18.008353,0.025376,0.099064,1.160464,0.140000,-6.300000,-1.540000
18.016440,-0.069784,-0.025376,0.972584,-0.420000,-6.300000,-0.560000
18.024527,0.020008,0.064416,1.140456,2.660000,-4.200000,-1.680000
18.032615,-0.030744,-0.017080,0.969168,-1.540000,-2.100000,-0.560000
18.040702,-0.057584,0.049288,1.044808,3.220000,-8.960000,0.000000
18.048789,-0.002928,0.070760,1.118496,-1.120000,-5.600000,-2.380000
18.056877,-0.045384,-0.104920,0.879376,2.380000,-11.200000,0.560000
18.064964,-0.047824,0.202520,1.262456,-1.260000,-4.340000,-1.120000
18.073051,0.004392,-0.161040,0.872544,1.540000,-8.260000,-0.840000
18.081139,-0.019520,0.164944,1.138504,1.400000,-3.780000,-0.840000
18.089226,0.014640,-0.087352,0.979904,-0.560000,-2.660000,-0.420000
18.097313,-0.086376,0.113216,1.086288,2.940000,0.280000,-0.280000
18.105401,0.048800,-0.033184,1.084336,-0.700000,1.820000,-1.820000
18.113488,-0.065880,0.015128,0.878888,3.360000,2.800000,1.260000
18.121575,-0.019032,0.115656,1.254160,0.560000,1.820000,-2.800000
18.129662,-0.053192,-0.094184,0.849120,1.820000,2.100000,0.560000
18.137750,0.001464,0.133224,1.168272,0.980000,0.560000,-1.540000
18.145837,0.026840,-0.105408,0.978928,0.140000,0.980000,0.140000
18.153924,-0.137616,0.164456,1.009672,2.800000,1.960000,-1.120000
18.162012,0.095160,-0.106384,1.144848,-0.840000,-0.980000,-1.260000
18.170099,-0.128832,0.076616,0.863760,2.380000,3.080000,1.260000
18.178186,0.066856,0.023912,1.205360,-0.140000,-0.840000,-2.520000
18.186274,-0.105896,-0.027328,0.888648,0.280000,3.500000,0.560000
18.194361,-0.023424,0.089792,1.120936,2.240000,-2.660000,-0.420000
18.202448,0.042944,-0.047824,1.122400,-0.280000,-0.980000,-0.280000
18.210536,-0.105896,0.090768,0.872544,3.640000,3.080000,-1.120000
18.218623,0.062464,-0.047336,1.182424,-0.140000,-4.480000,-0.840000
18.226710,-0.129808,0.054168,0.910120,1.960000,2.100000,1.260000
18.234797,0.037576,0.014640,1.163392,2.800000,-1.680000,-1.400000
18.242885,-0.057096,0.021960,1.041392,0.140000,-0.280000,-0.840000
18.250972,-0.009760,0.011712,0.915000,2.240000,0.420000,0.280000
18.259059,0.036112,0.000000,1.140944,0.420000,-3.780000,-1.120000
18.267147,-0.079544,0.050264,0.955016,0.840000,3.220000,-0.980000
18.275234,-0.033184,-0.018056,1.009672,2.800000,-2.100000,-0.140000
18.283321,0.005856,0.032696,1.129232,-0.840000,-2.240000,0.000000
18.291409,-0.055632,0.010736,0.961360,2.660000,7.980000,-0.280000
18.299496,-0.005856,0.000488,1.061400,0.840000,-4.620000,0.560000
18.307583,-0.011224,0.072224,1.077016,0.000000,3.640000,-0.700000
18.315671,-0.004392,-0.045872,0.899384,1.400000,1.540000,-2.380000
18.323758,-0.011224,0.025864,1.113616,0.560000,-0.980000,-1.120000
18.331845,-0.057584,0.047336,1.046760,0.280000,4.060000,0.000000
18.339932,0.011712,-0.038064,0.900848,2.240000,-4.900000,-0.420000
18.348020,-0.017568,0.087352,1.143872,-0.700000,6.020000,-1.260000
18.356107,-0.082472,-0.050752,0.923784,-0.560000,-0.560000,0.000000
18.364194,0.013176,0.081008,1.074088,1.680000,-2.100000,-0.980000
18.372282,-0.017080,-0.003416,1.066280,-0.980000,3.500000,-2.380000
18.380369,-0.049776,-0.060512,0.876448,2.520000,-0.560000,0.840000
18.388456,0.020008,0.140544,1.176568,-0.840000,0.840000,-1.400000
18.396544,0.018544,-0.097112,0.935496,-1.120000,-0.140000,-1.820000
18.404631,-0.108824,0.082472,0.950624,2.660000,3.920000,-0.560000
18.412718,0.034648,-0.018544,1.140944,-0.560000,-3.080000,-1.400000
18.420806,-0.035624,0.008296,0.895968,1.400000,2.940000,-0.700000
18.428893,-0.033672,0.052216,1.035536,1.680000,-0.840000,-1.540000
18.436980,0.012688,-0.059048,1.124352,0.420000,-1.260000,-0.280000
18.445067,-0.068808,0.096624,0.924272,1.680000,6.440000,-0.980000
18.453155,0.057584,-0.072712,1.063840,1.680000,-5.320000,-1.400000
18.461242,-0.069296,0.099064,1.004792,0.140000,6.020000,-1.120000
18.469329,-0.009272,-0.063440,0.874496,0.840000,-1.540000,-1.260000
18.477417,0.037088,0.062952,1.159976,-0.980000,-0.420000,-1.260000
18.485504,-0.089792,0.023424,0.947696,-0.700000,6.020000,-2.660000
18.493591,0.023424,-0.061000,0.968192,0.980000,-5.740000,-0.560000
18.501679,-0.024888,0.147864,1.171200,-0.840000,6.440000,-2.380000
18.509766,-0.031720,-0.131272,0.802760,0.980000,-1.260000,-1.680000
18.517853,0.002440,0.123464,1.118496,0.000000,0.700000,-0.700000
18.525941,-0.026352,-0.051240,0.985272,0.280000,0.980000,-0.840000
18.534028,-0.036600,0.070760,0.980880,2.520000,0.280000,-1.540000
18.542115,-0.015128,-0.000488,1.082872,-0.840000,2.660000,-2.520000
18.550202,-0.018056,-0.044408,0.867664,0.420000,-1.400000,0.840000
18.558290,-0.035624,0.118584,1.164368,0.560000,2.100000,-3.500000
18.566377,-0.013176,-0.085888,0.873032,-0.280000,0.280000,-0.140000
18.574464,-0.049288,0.116632,1.062376,1.820000,0.140000,-0.560000
