Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
39.997698,-0.032208,0.050264,1.115568,10.080000,0.420000,-2.380000
40.005785,-0.101016,-0.015128,0.901824,9.660000,2.520000,-0.140000
40.013872,-0.050752,0.039528,1.008208,10.920000,-0.420000,-1.120000
40.021960,0.002440,0.018056,0.997960,5.880000,1.820000,-1.540000
40.030047,-0.072224,-0.057096,0.835456,7.420000,1.260000,-1.120000
40.038134,-0.005368,0.052704,1.132160,5.880000,-1.400000,-0.560000
40.046222,-0.109800,0.006344,0.869616,2.100000,4.060000,-0.280000
40.054309,-0.037088,0.026840,0.964776,0.140000,-2.660000,-1.120000
40.062396,-0.062952,0.058560,1.056032,-7.280000,2.660000,-2.100000
40.070483,-0.019520,-0.109312,0.887672,-2.100000,0.840000,0.000000
40.078571,-0.017080,0.049288,1.102880,1.120000,-0.560000,-1.400000
40.086658,-0.079544,-0.020496,0.973072,0.000000,2.660000,-1.120000
40.094745,-0.060512,0.021472,0.884744,0.700000,-0.700000,-0.560000
40.102833,-0.019032,0.020984,1.191696,-0.980000,0.840000,-0.560000
40.110920,-0.035624,-0.070272,0.775432,2.380000,3.080000,-0.700000
40.119007,-0.073200,0.074176,1.178032,2.660000,-2.240000,-1.400000
40.127094,-0.044408,-0.007320,0.877912,-1.820000,3.920000,-1.120000
40.135182,-0.084912,0.005856,0.967704,2.520000,-1.680000,-0.700000
40.143269,0.013664,0.015616,1.114592,-1.540000,2.100000,-0.980000
40.151356,-0.089304,-0.047336,0.877424,3.500000,0.700000,-1.540000
40.159444,-0.049776,0.040016,1.110688,0.140000,-0.280000,-0.700000
40.167531,-0.009272,0.013664,0.941840,-0.140000,0.980000,-0.280000
40.175618,-0.059536,-0.050264,0.926712,2.940000,1.540000,-1.820000
40.183706,-0.078080,0.085400,1.159488,0.140000,-1.820000,-0.980000
40.191793,-0.043920,-0.084424,0.852536,1.540000,2.520000,-0.840000
40.199880,-0.021472,0.113216,1.133624,1.120000,-1.680000,-1.960000
40.207967,-0.013664,-0.127368,0.908168,0.000000,5.740000,-1.540000
40.216055,-0.156160,0.100040,1.025288,2.800000,-1.960000,0.280000
40.224142,0.041968,-0.033184,1.042368,-1.820000,1.260000,-1.260000
40.232229,-0.101504,0.011712,0.935008,1.960000,1.120000,-0.420000
40.240317,0.037088,-0.031720,1.031144,-0.140000,-0.140000,-2.240000
40.248404,-0.132248,0.026352,1.042856,0.140000,1.400000,0.280000
40.256491,-0.017080,-0.004392,0.865224,1.960000,-0.420000,-0.840000
40.264579,-0.034160,0.054168,1.150704,-0.420000,-1.120000,-0.700000
40.272666,-0.087352,-0.066368,0.836432,1.120000,1.820000,-1.540000
40.280753,-0.039040,0.083448,1.169248,-1.260000,-10.360000,0.560000
40.288840,-0.100528,-0.042944,0.896456,0.560000,-4.340000,-1.120000
40.296928,-0.008784,0.033184,0.964288,0.980000,-13.300000,-0.280000
40.305015,-0.036600,-0.031232,1.039928,-0.840000,-9.940000,-2.380000
40.313102,-0.092232,-0.001464,0.976488,1.260000,-10.500000,0.560000
40.321190,0.025376,0.047824,1.039928,0.000000,-10.500000,-2.940000
40.329277,-0.082960,-0.073688,0.967704,0.280000,-6.580000,0.140000
40.337364,-0.060024,0.070272,0.951600,1.680000,-12.600000,-0.700000
40.345452,-0.008296,-0.012688,1.198528,0.000000,-7.980000,-1.680000
40.353539,-0.080032,0.007808,0.770064,2.520000,-5.180000,-1.120000
40.361626,0.054168,-0.030744,1.189256,0.280000,-9.800000,-0.140000
40.369713,-0.128344,0.073688,0.950624,1.540000,1.540000,-2.100000
40.377801,-0.004392,-0.074664,0.961360,1.960000,-6.160000,-0.700000
