Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
14.000913,0.081496,-0.049288,1.013576,-1.120000,-3.360000,-1.960000
14.009000,-0.203984,0.115168,1.344440,1.540000,1.540000,-2.660000
14.017087,0.039528,-0.031720,0.956480,-2.800000,-0.980000,2.800000
14.025175,-0.104920,0.083448,1.341024,1.260000,2.940000,-4.620000
14.033262,-0.093696,-0.010248,1.006256,-1.120000,-5.880000,2.660000
14.041349,0.012688,0.081984,1.277096,1.680000,3.360000,-4.480000
14.049436,-0.155672,0.004392,1.106784,-0.420000,-1.400000,0.840000
14.057524,-0.051728,0.049288,1.150704,-1.540000,6.300000,-3.220000
14.065611,-0.034648,-0.009272,1.196576,0.700000,-10.080000,0.980000
14.073698,-0.091256,0.097600,1.224392,1.400000,9.940000,-2.520000
14.081785,-0.010248,-0.030744,0.986736,-2.520000,-4.200000,0.280000
14.089873,-0.145424,0.092232,1.381040,1.960000,2.520000,-3.640000
14.097960,0.013176,-0.033184,0.983808,-2.240000,-0.140000,0.840000
14.106047,-0.099552,0.075152,1.330776,2.660000,2.100000,-4.900000
14.114134,-0.122000,0.016592,1.037000,-2.380000,-1.260000,3.920000
14.122222,0.026352,0.046848,1.287832,1.260000,2.100000,-4.480000
14.130309,-0.202520,0.058072,1.288808,0.700000,-7.420000,1.820000
14.138396,0.138104,-0.063440,1.104344,0.280000,12.040000,-5.040000
14.146483,-0.297680,0.173240,1.320528,-0.840000,-6.720000,1.120000
14.154571,0.098576,-0.152744,1.198528,2.380000,1.260000,-1.260000
14.162658,-0.204472,0.278648,1.327360,-2.660000,2.380000,-1.820000
14.170745,0.059048,-0.204960,1.241960,2.100000,0.140000,-3.780000
14.178833,-0.285480,0.175192,1.441064,1.820000,-0.420000,0.840000
14.186920,0.163480,0.029280,1.248304,-0.700000,-1.540000,-1.820000
14.195007,-0.166896,-0.074176,1.463512,2.100000,7.420000,-2.800000
14.203094,-0.258640,0.159088,1.389824,2.940000,-6.440000,2.380000
14.211182,0.121512,-0.015128,1.425936,-0.140000,4.340000,-1.540000
14.219269,-0.130784,-0.031232,1.366400,1.260000,1.680000,-0.980000
14.227356,-0.095648,0.148840,1.526464,2.380000,-5.600000,-0.700000
14.235443,-0.137616,0.000488,1.497672,-1.540000,6.160000,-0.840000
14.243531,-0.077104,-0.059536,1.454728,4.340000,0.980000,0.140000
14.251618,-0.056608,0.149328,1.463024,1.400000,-3.780000,-0.140000
14.259705,-0.040992,0.066368,1.498648,-1.960000,3.920000,-2.660000
14.267792,-0.130296,-0.108824,1.538176,2.100000,1.960000,-0.980000
14.275880,-0.164944,0.054168,1.532808,2.520000,-1.540000,1.680000
14.283967,-0.064904,0.145424,1.462536,-0.140000,-2.380000,0.280000
14.292054,0.034648,0.004392,1.442040,0.280000,4.200000,-1.540000
14.300141,-0.101016,-0.044896,1.482544,1.960000,3.500000,-1.960000
14.308229,-0.187392,0.099552,1.498160,-0.560000,-2.660000,-0.840000
14.316316,-0.077592,0.048800,1.499624,0.000000,0.560000,0.000000
14.324403,0.003416,-0.048800,1.424472,2.660000,3.640000,-0.980000
