Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
63.430326,-0.129320,0.052216,0.789584,0.840000,-2.100000,0.420000
63.438414,-0.004392,0.041480,0.695888,-0.280000,1.960000,-1.820000
63.446501,-0.047824,0.045384,0.654408,0.280000,3.220000,-1.120000
63.454588,-0.055632,0.014640,0.697352,2.520000,0.140000,-0.140000
63.462676,-0.061488,0.042944,0.684176,1.260000,1.120000,-0.560000
63.470763,-0.079056,0.010248,0.718824,0.840000,1.260000,-1.260000
63.478850,-0.071736,0.082472,0.778848,0.560000,2.380000,-1.680000
63.486938,-0.053680,0.048800,0.772016,1.260000,2.380000,-1.680000
63.495025,-0.013664,-0.026352,0.802760,1.960000,-2.520000,-1.120000
63.503112,-0.088328,0.095160,0.891088,0.280000,1.260000,-1.260000
63.511199,-0.114192,0.036112,1.054080,1.120000,-0.140000,-1.820000
63.519287,-0.052216,0.018544,0.939400,0.840000,-0.980000,0.000000
63.527374,-0.162504,0.114680,1.212192,1.120000,0.280000,-1.680000
63.535461,0.005368,-0.013176,1.046272,1.680000,-2.380000,-0.980000
63.543549,-0.151768,0.118096,1.317112,-2.100000,0.980000,-2.520000
63.551636,-0.045384,-0.042944,1.125816,0.560000,-1.260000,-0.280000
63.559723,-0.190320,0.210816,1.348344,-0.700000,1.400000,0.140000
63.567810,0.053192,-0.074176,1.191696,-1.680000,2.100000,-1.400000
63.575898,-0.242048,0.085888,1.454728,1.540000,0.280000,-3.360000
63.583985,-0.052704,0.113216,1.233664,-3.220000,-2.100000,-0.700000
63.592072,0.010736,-0.050752,1.258552,1.820000,0.560000,-2.380000
63.600160,-0.300608,0.141520,1.408368,-0.840000,0.560000,0.700000
63.608247,0.069296,0.007808,1.065304,1.400000,2.800000,-0.840000
63.616334,-0.142984,0.094184,1.240496,-0.420000,-3.080000,-0.980000
63.624422,-0.055632,-0.015616,1.112640,0.000000,2.800000,0.840000
63.632509,-0.116632,0.168848,1.046760,-0.140000,6.580000,-2.520000
63.640596,-0.063440,-0.119072,0.993080,2.940000,-5.600000,1.960000
63.648683,-0.084912,0.206912,1.020408,0.560000,3.920000,-2.520000
63.656771,-0.021472,-0.077104,0.826184,1.680000,0.140000,0.140000
63.664858,-0.091256,0.122976,0.913048,0.560000,3.640000,-1.260000
63.672945,-0.116632,0.050264,0.828624,0.140000,0.000000,-0.840000
63.681033,0.006832,-0.000488,0.787632,1.680000,0.560000,-0.140000
63.689120,-0.106384,0.049288,0.778848,1.120000,1.260000,0.700000
63.697207,-0.062952,0.058072,0.784216,0.560000,2.240000,-1.540000
63.705294,-0.059048,0.058560,0.725168,1.120000,2.240000,-2.240000
63.713382,-0.016104,0.017080,0.693448,0.560000,1.820000,-0.420000
63.721469,-0.018056,0.021472,0.759816,2.660000,-1.120000,0.140000
63.729556,-0.151280,0.057096,0.813008,-0.700000,3.500000,-1.260000
63.737644,-0.091256,0.079056,0.847168,1.120000,-0.840000,-1.680000
63.745731,0.019520,0.010248,0.836432,0.700000,1.400000,-1.120000
63.753818,-0.111264,-0.003416,0.787632,-0.560000,-0.140000,-0.280000
63.761906,-0.098576,0.131760,0.998936,1.820000,0.700000,-1.820000
63.769993,-0.028792,-0.022936,0.898408,1.540000,1.680000,-1.540000
63.778080,-0.062952,0.059048,0.919392,2.240000,-2.940000,-0.560000
63.786167,-0.103456,0.060512,1.154120,1.540000,1.680000,-3.360000
63.794255,0.003904,0.018544,0.849608,-0.140000,3.500000,-1.820000
63.802342,-0.226920,0.093208,1.218536,3.640000,-3.220000,-0.560000
63.810429,0.085400,0.049776,0.994056,-0.560000,3.920000,-0.980000
63.818517,-0.252296,0.004392,1.233664,-0.560000,-3.360000,-0.560000
63.826604,0.092720,0.138104,1.138016,2.100000,2.240000,-2.380000
63.834691,-0.243512,0.010736,1.251232,-2.940000,-2.240000,-1.260000
63.842778,-0.003904,-0.011712,1.282464,5.040000,2.380000,0.420000
63.850866,-0.171776,0.244488,1.265872,-2.940000,-1.680000,-1.260000
63.858953,0.012688,-0.201544,1.334192,1.400000,1.820000,-1.680000
63.867040,-0.220576,0.244488,1.417640,1.120000,0.140000,-1.260000
63.875128,-0.014640,0.032208,1.196088,-2.240000,-1.120000,-1.120000
63.883215,-0.140056,-0.047336,1.378112,2.520000,2.380000,0.700000
63.891302,-0.062952,0.193736,1.382504,0.280000,-1.540000,-0.840000
63.899389,-0.066856,-0.010736,1.248792,-1.680000,4.760000,-3.360000
63.907477,-0.163968,0.061976,1.288808,0.000000,-1.960000,-0.280000
63.915564,-0.001952,0.052704,1.250256,-0.280000,1.820000,-0.700000
63.923651,-0.178608,0.067344,1.242448,0.700000,1.960000,-0.840000
63.931739,-0.046360,0.046360,1.109712,-0.280000,-1.680000,-0.420000
63.939826,-0.012688,0.025864,1.137040,2.240000,4.900000,-3.080000
63.947913,-0.220576,0.100528,1.039440,-2.940000,-0.700000,1.120000
63.956001,0.069784,-0.028304,1.005768,3.640000,4.900000,-3.360000
63.964088,-0.202032,0.084424,0.818376,-1.120000,-3.920000,2.940000
63.972175,0.028304,0.054656,0.969168,1.820000,6.440000,-3.640000
63.980262,-0.064904,0.021472,0.743224,-0.840000,0.560000,0.560000
63.988350,-0.021472,0.023912,0.691984,3.640000,0.420000,-0.280000
63.996437,-0.157624,0.081008,0.822280,1.260000,0.980000,-0.420000
