Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
42.209304,-0.025864,0.012688,0.792512,1.120000,2.940000,0.000000
42.217392,-0.131272,0.093208,1.002840,2.100000,-4.060000,0.280000
42.225479,0.024888,0.070760,0.913536,-0.420000,4.340000,-3.500000
42.233566,-0.064416,-0.014640,0.843264,1.680000,0.140000,0.000000
42.241653,-0.114192,0.131760,1.010648,0.280000,-3.640000,-1.120000
42.249741,0.042944,0.013176,0.833016,1.820000,2.660000,-0.420000
42.257828,-0.057584,0.036112,0.930616,0.980000,-0.420000,-0.560000
42.265915,-0.079544,0.141520,0.960872,-0.700000,0.980000,-3.220000
42.274002,0.000000,-0.070272,0.862784,1.400000,0.420000,-0.980000
42.282090,-0.089792,0.139568,0.948672,-0.140000,1.400000,-0.700000
42.290177,-0.048800,0.044408,0.943304,1.540000,4.480000,-2.660000
42.298264,-0.049288,-0.019032,0.876936,0.000000,-1.540000,-0.560000
42.306352,-0.071736,0.172752,0.997960,0.420000,1.960000,-1.820000
42.314439,-0.005856,-0.060024,0.915488,0.980000,1.960000,-2.380000
42.322526,-0.118584,0.119072,0.927200,-0.840000,2.100000,-0.700000
42.330613,-0.027816,0.042456,0.969168,1.960000,-0.560000,-1.120000
42.338701,-0.021472,0.014152,0.847656,-0.840000,2.660000,0.000000
42.346788,-0.101504,0.138592,1.032608,0.560000,-1.820000,-1.260000
42.354875,0.038552,-0.029280,0.854488,0.000000,2.100000,-1.260000
42.362962,-0.143960,0.120048,0.955992,-0.280000,0.840000,-0.840000
42.371050,-0.001952,0.018544,0.960872,0.280000,0.140000,-0.840000
42.379137,-0.042456,0.043432,0.888160,-0.280000,1.120000,0.000000
42.387224,-0.102968,0.116632,1.018944,-0.280000,1.260000,-2.100000
42.395312,0.004880,-0.015128,0.877424,0.000000,0.280000,-1.400000
42.403399,-0.120048,0.109312,0.967216,-1.260000,-0.420000,-0.280000
42.411486,0.056120,0.011712,0.986248,2.800000,-1.120000,-2.100000
42.419573,-0.114680,0.051240,0.949160,-0.560000,4.620000,-0.280000
42.427661,-0.094672,0.091256,0.961360,3.360000,-0.980000,-0.420000
42.435748,0.038552,-0.024888,0.970144,1.260000,-2.940000,0.980000
42.443835,-0.137616,0.185440,1.000888,-0.420000,4.900000,-2.100000
42.451922,0.035136,-0.098576,0.913048,2.660000,-0.280000,-0.980000
42.460010,-0.121024,0.200568,0.998936,-0.140000,-1.400000,0.280000
42.468097,0.036600,-0.055632,0.970144,3.360000,2.380000,-2.380000
42.476184,-0.075640,0.111752,0.963800,-1.680000,-0.700000,-0.560000
42.484272,-0.109800,0.056608,1.049688,3.920000,3.080000,-2.660000
42.492359,0.027816,-0.007808,0.865224,-1.260000,-1.120000,0.560000
42.500446,-0.126880,0.168360,1.138016,1.120000,2.100000,-0.280000
42.508533,0.082960,-0.108824,0.830576,0.700000,1.540000,-1.120000
42.516621,-0.214232,0.224968,1.170712,1.540000,-1.960000,-0.700000
42.524708,0.122488,-0.098088,0.847656,-0.280000,3.640000,-3.500000
42.532795,-0.203496,0.160064,1.031632,0.420000,-0.840000,1.540000
42.540883,0.065880,0.001952,1.030168,1.260000,0.560000,-2.800000
42.548970,-0.122976,0.080032,0.973560,2.380000,2.380000,1.540000
42.557057,-0.051728,0.041480,1.057984,-1.960000,0.700000,-2.100000
42.565144,0.016104,0.049288,0.920368,2.940000,-2.940000,1.260000
42.573232,-0.131760,0.089304,1.147776,-0.140000,7.140000,-3.360000
42.581319,0.039040,0.001952,0.868640,2.520000,-3.220000,0.700000
42.589406,-0.154696,0.097112,1.170224,-0.980000,2.100000,-0.700000
42.597493,0.078568,0.039528,0.914024,2.800000,1.400000,-0.840000
