Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
48.967286,-0.018544,0.026840,1.003816,-0.700000,-0.560000,-0.280000
48.971352,-0.002440,0.032696,1.010160,-0.700000,-0.560000,-0.280000
48.975418,-0.008784,0.027816,1.003328,-0.420000,-0.420000,-0.420000
48.979485,-0.005368,0.020984,0.999424,-0.700000,0.000000,-0.420000
48.983551,-0.011224,0.014640,1.016016,-0.420000,-0.560000,-0.280000
48.987617,0.000976,0.040016,0.997472,-0.840000,0.000000,-0.420000
48.991683,-0.020008,0.038064,0.997472,-0.840000,-0.840000,-0.420000
48.995749,0.002928,0.024888,1.021384,-0.420000,-0.280000,-0.280000
48.999816,-0.013176,0.020496,1.005280,-0.560000,-0.840000,-0.560000
49.003882,-0.009272,0.025864,0.996008,-0.700000,0.000000,-0.140000
49.007948,-0.014640,0.027816,1.015040,-0.420000,-0.280000,-0.280000
49.012014,-0.007808,0.037088,1.012600,-0.560000,-0.560000,-0.420000
49.016080,-0.004880,0.024400,0.996984,-0.840000,-0.280000,-0.560000
49.020146,-0.000488,0.036600,1.012112,-0.700000,-0.840000,-0.140000
49.024213,-0.012200,0.028792,1.016504,-0.700000,-0.280000,-0.420000
49.028279,-0.011712,0.023424,1.003816,-0.420000,-0.560000,-0.280000
49.032345,-0.001464,0.018056,0.991128,-0.560000,-0.560000,-0.560000
49.036411,-0.005368,0.027328,1.016992,-0.840000,-0.280000,-0.280000
49.040477,-0.023912,0.032696,0.986736,-0.420000,0.000000,-0.560000
49.044544,0.000000,0.037576,1.010160,-0.420000,-0.560000,-0.140000
49.048610,0.001952,0.021960,1.005280,-0.700000,-0.140000,-0.560000
49.052676,-0.008296,0.024888,1.013576,-0.280000,-0.560000,-0.140000
49.056742,-0.014152,0.037576,1.001376,-0.560000,-0.700000,-0.420000
49.060808,-0.003416,0.020984,1.008696,-0.840000,-0.140000,-0.420000
49.064874,-0.007320,0.026840,1.016504,-0.420000,-0.280000,-0.420000
49.068941,-0.020496,0.032208,0.995520,-0.700000,-0.560000,-0.420000
49.073007,-0.007320,0.028304,1.014552,-0.420000,-0.700000,-0.280000
49.077073,-0.004880,0.029280,1.003328,-0.280000,-0.280000,-0.280000
49.081139,-0.007320,0.021960,1.012600,-0.840000,-0.700000,-0.420000
49.085205,-0.001464,0.023424,0.996496,-0.700000,0.140000,-0.140000
49.089272,-0.003416,0.028304,1.009184,-0.560000,-0.700000,-0.280000
49.093338,-0.016104,0.041968,1.007720,-0.560000,0.140000,-0.420000
49.097404,-0.008296,0.026352,0.999912,-0.280000,-0.980000,-0.420000
49.101470,-0.004392,0.030744,1.001376,-0.840000,-0.140000,-0.420000
49.105536,0.001952,0.020496,1.005768,-0.840000,-0.420000,-0.140000
49.109602,-0.020496,0.030256,1.013576,-0.840000,-0.280000,-0.140000
49.113669,-0.002928,0.033672,1.004792,-0.420000,-0.560000,-0.560000
49.117735,-0.014640,0.013664,1.001864,-0.700000,-0.140000,-0.560000
49.121801,-0.003416,0.038064,1.018456,-0.560000,-0.700000,-0.140000
49.125867,-0.011712,0.033184,0.989664,-0.560000,-0.560000,-0.560000
49.129933,-0.000488,0.028304,1.018456,-0.700000,-0.140000,-0.280000
49.134000,-0.002440,0.019520,0.999912,-0.560000,-0.700000,-0.420000
49.138066,-0.011224,0.031720,1.027728,-0.420000,0.000000,-0.420000
49.142132,-0.022448,0.024888,0.983320,-0.420000,-0.560000,-0.420000
49.146198,-0.012200,0.036112,1.009184,-0.840000,-0.560000,-0.560000
49.150264,0.000000,0.022936,1.008696,-0.420000,-0.280000,-0.560000
49.154331,-0.012200,0.036600,1.008208,-0.700000,-0.700000,-0.280000
49.158397,-0.008296,0.023424,1.002352,-0.560000,-0.840000,-0.280000
49.162463,0.001464,0.022936,1.016016,-0.840000,-0.140000,-0.280000
49.166529,-0.008784,0.032208,1.000888,-0.560000,-0.420000,-0.280000
49.170595,-0.017568,0.039528,1.002352,-0.840000,-0.280000,-0.420000
49.174661,0.001952,0.024400,1.015040,-0.280000,-0.420000,-0.420000
49.178728,-0.010736,0.027328,1.001376,-0.700000,-0.560000,-0.280000
49.182794,-0.007808,0.028304,1.002352,-0.560000,-0.420000,-0.420000
49.186860,-0.004880,0.019520,1.007720,-0.560000,-0.560000,-0.280000
49.190926,-0.004880,0.027328,1.025288,-0.700000,-0.140000,-0.560000
49.194992,-0.014152,0.028792,0.981368,-0.700000,-0.420000,-0.420000
49.199059,-0.014640,0.039040,1.018944,-0.140000,-0.420000,-0.420000
49.203125,0.001952,0.024888,0.999912,-0.560000,-0.840000,-0.280000
49.207191,-0.013176,0.023912,1.012600,-0.840000,0.140000,-0.280000
49.211257,-0.007320,0.031720,0.989176,-0.420000,-0.700000,-0.140000
49.215323,-0.014640,0.030744,1.012600,-0.420000,-0.280000,-0.560000
49.219389,0.007320,0.015616,1.008208,-0.840000,-0.140000,-0.280000
49.223456,-0.022448,0.036112,1.010648,-0.840000,-0.700000,-0.420000
49.227522,-0.002928,0.035136,1.005768,-0.280000,-0.560000,-0.420000
49.231588,-0.009760,0.019032,1.002840,-0.700000,-0.420000,-0.280000
49.235654,-0.007808,0.029280,1.016992,-0.700000,-0.560000,-0.140000
49.239720,-0.006832,0.031720,1.004304,-0.560000,-0.280000,-0.420000
49.243787,-0.005856,0.029768,1.000888,-0.840000,-0.140000,-0.280000
49.247853,-0.014152,0.023912,1.006256,-0.420000,-0.420000,-0.280000
49.251919,-0.000488,0.028792,1.007232,-0.560000,-0.280000,-0.420000
49.255985,-0.016592,0.030256,1.009184,-0.280000,-0.840000,-0.420000
49.260051,0.005368,0.037576,1.001864,-0.700000,-0.280000,-0.140000
49.264117,-0.011712,0.022936,1.013576,-0.700000,-0.700000,-0.420000
49.268184,-0.000488,0.034648,1.000400,-0.420000,0.140000,-0.280000
49.272250,-0.013176,0.008296,0.995032,-0.420000,-0.980000,-0.420000
49.276316,-0.008296,0.028792,1.027728,-0.700000,0.280000,-0.280000
49.280382,-0.021472,0.035136,0.992104,-0.280000,-1.260000,-0.560000
49.284448,0.000488,0.037576,1.019432,-0.840000,0.140000,-0.140000
49.288515,-0.001464,0.011224,1.006744,-0.840000,-0.420000,-0.420000
49.292581,-0.012688,0.036112,1.017480,-0.420000,-0.140000,-0.140000
49.296647,-0.011224,0.034648,0.983808,-0.280000,-0.700000,-0.700000
49.300713,-0.009760,0.026840,1.023824,-0.840000,-0.420000,-0.140000
49.304779,-0.011712,0.027816,0.991128,-0.560000,-0.840000,-0.560000
49.308845,-0.008296,0.031720,0.991128,-0.840000,-0.140000,-0.140000
49.312912,0.001952,0.021472,1.015528,-0.560000,-0.560000,-0.140000
49.316978,-0.010736,0.023424,0.998448,-0.420000,-0.280000,-0.280000
49.321044,-0.003904,0.029768,1.020408,-0.560000,-0.420000,-0.560000
49.325110,-0.016592,0.027328,0.997960,-0.700000,-0.280000,-0.140000
49.329176,0.003416,0.037576,1.010648,-0.420000,-0.700000,-0.560000
49.333243,-0.017568,0.023912,1.003328,-0.840000,-0.420000,-0.280000
49.337309,0.006832,0.031720,1.001376,-0.420000,-0.420000,-0.420000
49.341375,-0.015128,0.017568,1.016992,-0.280000,-0.280000,-0.420000
49.345441,-0.010248,0.032696,1.003816,-0.700000,-0.140000,-0.420000
49.349507,-0.020984,0.030744,1.005280,-0.560000,-0.560000,-0.420000
49.353573,0.000976,0.032208,1.013576,-0.560000,-0.280000,-0.560000
49.357640,-0.014640,0.021960,1.006256,-0.700000,-0.840000,-0.420000
49.361706,-0.004880,0.030744,1.003816,-0.280000,-0.420000,-0.420000
49.365772,-0.002928,0.031232,1.000400,-0.700000,-0.420000,-0.280000
49.369838,-0.005368,0.026840,1.015040,-0.560000,0.000000,-0.280000
49.373904,-0.018056,0.020496,0.995520,-0.420000,-0.700000,-0.560000
49.377971,0.002440,0.028792,1.010648,-0.980000,-0.420000,-0.280000
49.382037,-0.008296,0.031232,1.010648,-0.840000,-0.560000,-0.420000
49.386103,-0.010248,0.032696,1.011624,-0.420000,-0.700000,-0.280000
49.390169,-0.011224,0.024888,1.007232,-0.560000,-0.420000,-0.420000
49.394235,0.002928,0.024888,0.996008,-0.420000,0.000000,-0.280000
49.398302,-0.012200,0.028792,1.003328,-0.840000,-0.420000,-0.560000
49.402368,-0.007320,0.033672,1.013088,-0.700000,-0.560000,-0.280000
49.406434,-0.012688,0.029280,1.000400,-0.700000,-0.840000,-0.280000
49.410500,-0.002440,0.024888,1.009672,-0.840000,0.140000,-0.420000
49.414566,-0.016104,0.030744,1.011136,-0.140000,-0.700000,-0.280000
49.418632,-0.000976,0.039040,1.004792,-0.560000,-0.140000,-0.280000
49.422699,-0.004880,0.009272,1.000400,-0.700000,-0.140000,-0.560000
49.426765,-0.018056,0.032696,1.016504,-0.560000,-0.700000,-0.280000
49.430831,0.000488,0.031720,0.999912,-0.420000,-0.560000,-0.560000
49.434897,-0.009760,0.020008,1.005768,-0.840000,-0.420000,-0.280000
49.438963,-0.022448,0.030744,0.999424,-0.560000,-0.280000,-0.140000
49.443030,-0.003416,0.036112,1.020408,-0.560000,-0.560000,-0.560000
49.447096,-0.010248,0.026352,0.978928,-0.700000,0.000000,-0.140000
49.451162,-0.002928,0.029768,1.024800,-0.700000,-0.700000,-0.420000
49.455228,-0.002928,0.019520,0.998936,-0.560000,-0.280000,-0.560000
49.459294,-0.008296,0.028792,1.011136,-0.560000,-0.420000,-0.420000
49.463360,-0.007808,0.033184,1.001376,-0.420000,-0.420000,-0.420000
49.467427,-0.000488,0.032208,1.027728,-0.980000,-0.700000,-0.420000
49.471493,-0.014152,0.033672,0.996984,-0.420000,-0.280000,-0.280000
49.475559,-0.004880,0.017080,0.997472,-0.700000,-0.840000,-0.140000
49.479625,-0.006832,0.028304,1.018456,-0.560000,-0.140000,-0.560000
49.483691,-0.017568,0.029280,0.999912,-0.280000,-0.840000,-0.560000
49.487758,-0.010736,0.034160,1.008208,-0.840000,-0.280000,-0.560000
49.491824,-0.001464,0.019520,0.997472,-0.560000,-0.420000,-0.140000
49.495890,-0.019032,0.033672,1.020896,-0.420000,-0.420000,-0.280000
49.499956,-0.002440,0.030256,0.994544,-0.560000,-0.560000,-0.280000
49.504022,0.000488,0.026352,1.015040,-0.840000,-0.280000,-0.280000
49.508088,-0.010248,0.028792,0.996984,-0.420000,-0.280000,-0.280000
49.512155,-0.011224,0.035136,1.003816,-0.420000,-0.560000,-0.560000
49.516221,-0.014152,0.025864,1.002352,-0.420000,-0.140000,-0.280000
49.520287,0.002928,0.027328,1.009184,-0.700000,-0.840000,-0.280000
49.524353,-0.015616,0.014152,1.004792,-0.700000,0.140000,-0.420000
49.528419,-0.009272,0.038064,1.020896,-0.280000,-0.840000,-0.280000
49.532486,-0.000976,0.022936,0.986736,-0.840000,-0.280000,-0.420000
49.536552,-0.005856,0.024888,1.019920,-0.560000,-0.140000,-0.420000
49.540618,-0.018056,0.029280,0.993080,-0.140000,-0.700000,-0.280000
49.544684,-0.002928,0.032696,1.034072,-0.840000,-0.420000,-0.280000
49.548750,-0.004880,0.026352,0.987712,-0.560000,-0.140000,0.000000
49.552816,-0.012688,0.036600,1.016016,-0.700000,-0.560000,-0.420000
49.556883,0.000488,0.033672,1.010648,-0.560000,-0.420000,-0.280000
49.560949,-0.002928,0.023912,0.998936,-0.560000,-0.140000,-0.560000
49.565015,-0.013664,0.025376,1.002352,-0.560000,-0.420000,-0.280000
49.569081,-0.010248,0.034160,1.012112,-0.560000,-0.420000,-0.560000
49.573147,-0.002928,0.029768,1.007232,-0.420000,-0.560000,-0.420000
49.577214,-0.011712,0.020496,1.005768,-0.980000,-0.560000,-0.420000
49.581280,-0.005856,0.022448,1.002840,-0.700000,-0.560000,-0.420000
49.585346,-0.011712,0.037576,1.017480,-0.280000,-0.560000,-0.420000
49.589412,-0.009272,0.023424,0.997472,-0.700000,-0.280000,-0.280000
49.593478,-0.011712,0.022936,1.010648,-0.560000,-0.700000,-0.140000
49.597544,-0.014152,0.034160,0.997472,-0.700000,0.000000,-0.560000
49.601611,-0.004880,0.041968,1.014552,-0.560000,-0.840000,-0.280000
49.605677,-0.006832,0.029280,1.008208,-0.840000,0.000000,-0.420000
49.609743,-0.000976,0.019032,1.000888,-0.560000,-0.700000,-0.560000
49.613809,-0.014640,0.024400,1.004792,-0.700000,0.000000,-0.280000
49.617875,0.002440,0.028304,0.999912,-0.420000,-0.420000,-0.140000
49.621942,-0.025864,0.034648,1.015528,-0.700000,-0.420000,-0.420000
49.626008,0.006832,0.028304,0.996008,-0.560000,-0.420000,-0.560000
49.630074,-0.011712,0.021960,1.009672,-0.840000,-0.560000,-0.280000
49.634140,0.003904,0.026840,1.004304,-0.560000,-0.140000,-0.280000
49.638206,-0.025376,0.022448,1.009184,-0.420000,-0.280000,-0.560000
49.642272,-0.005856,0.030744,1.005768,-0.560000,-0.420000,-0.140000
49.646339,0.001952,0.022448,1.002840,-0.840000,-0.420000,-0.560000
49.650405,-0.010248,0.035136,1.003816,-0.560000,-0.420000,-0.420000
49.654471,-0.017568,0.037576,1.007720,-0.560000,-0.700000,-0.140000
49.658537,0.006832,0.021472,1.015528,-0.560000,-0.280000,-0.560000
49.662603,-0.013664,0.021960,1.008208,-0.420000,-0.420000,-0.560000
49.666670,-0.010736,0.039040,1.007720,-0.840000,-0.280000,-0.280000
49.670736,-0.007320,0.033672,1.009184,-0.560000,-0.700000,-0.420000
49.674802,-0.001952,0.026840,0.996984,-0.700000,-0.280000,-0.140000
49.678868,-0.016104,0.025376,1.003816,-0.700000,-0.840000,-0.280000
49.682934,0.003904,0.027328,1.005768,-0.420000,0.140000,-0.280000
49.687000,-0.016592,0.027328,1.015528,-0.280000,-0.840000,-0.560000
49.691067,-0.006832,0.019520,0.997960,-0.980000,0.140000,-0.420000
49.695133,-0.004880,0.024400,1.004792,-0.560000,-0.560000,-0.420000
49.699199,-0.012688,0.037088,0.998936,-0.700000,-0.280000,-0.280000
49.703265,-0.008784,0.038552,1.010648,-0.560000,-0.560000,-0.280000
49.707331,-0.006832,0.026352,1.018944,-0.560000,-0.560000,-0.280000
49.711398,0.001464,0.032696,1.006744,-0.560000,-0.420000,-0.420000
49.715464,-0.012688,0.014640,1.000888,-0.560000,-0.280000,-0.560000
49.719530,-0.007808,0.026840,1.001376,-0.560000,-0.280000,-0.140000
49.723596,-0.014152,0.040992,1.002840,-0.560000,-0.280000,-0.280000
49.727662,-0.005368,0.017080,1.011136,-0.280000,-0.420000,-0.560000
49.731728,-0.008296,0.034648,1.010648,-0.700000,-0.700000,-0.140000
49.735795,0.009272,0.030744,0.999424,-0.840000,-0.140000,-0.560000
49.739861,-0.019520,0.021960,1.001376,-0.560000,-0.140000,-0.280000
49.743927,-0.011224,0.022448,1.003328,-0.420000,-0.980000,-0.420000
49.747993,-0.011224,0.027816,1.019432,-0.560000,-0.420000,-0.420000
49.752059,-0.000976,0.036112,0.988200,-0.700000,-0.280000,-0.280000
49.756126,-0.018056,0.030256,1.021384,-0.560000,-0.560000,-0.280000
49.760192,-0.001952,0.035136,0.999424,-0.420000,-0.420000,-0.560000
49.764258,-0.005856,0.022936,1.005280,-0.700000,-0.420000,-0.420000
49.768324,-0.002440,0.026840,1.000400,-0.560000,-0.420000,-0.280000
49.772390,-0.008784,0.026840,1.023824,-0.420000,-0.420000,-0.560000
49.776456,-0.017080,0.023424,0.994056,-0.420000,-0.700000,-0.280000
49.780523,-0.008296,0.031232,0.997472,-0.700000,-0.420000,-0.280000
49.784589,0.006344,0.033672,1.031632,-0.560000,-0.140000,-0.420000
49.788655,-0.010736,0.032696,0.995520,-0.420000,-0.420000,-0.420000
49.792721,-0.010736,0.021960,1.002840,-0.560000,-0.420000,-0.280000
49.796787,-0.005856,0.012688,1.001376,-0.560000,-0.280000,-0.280000
49.800854,-0.009760,0.046360,1.008696,-0.420000,-0.560000,-0.560000
49.804920,-0.013176,0.028792,1.003328,-0.700000,-0.560000,-0.280000
49.808986,0.004880,0.021960,1.014064,-0.560000,-0.560000,-0.420000
49.813052,-0.022448,0.024400,0.997472,-0.560000,-0.700000,-0.280000
49.817118,-0.007320,0.034648,1.017968,-0.700000,-0.140000,-0.420000
49.821184,-0.000488,0.014640,1.008696,-0.700000,-0.560000,-0.280000
49.825251,-0.011712,0.036112,1.007232,-0.420000,-0.280000,-0.420000
49.829317,-0.013176,0.037088,0.981856,-0.560000,-0.280000,-0.420000
49.833383,0.004392,0.031232,1.025776,-0.700000,-0.560000,-0.280000
49.837449,-0.010736,0.023912,0.998936,-0.420000,-0.420000,-0.420000
49.841515,-0.008296,0.022936,1.012112,-0.840000,-0.280000,-0.420000
49.845582,-0.012688,0.024888,0.996496,-0.420000,-0.280000,-0.280000
49.849648,-0.011712,0.037088,1.016992,-0.420000,-0.280000,-0.560000
49.853714,-0.009760,0.033672,1.007232,-0.560000,-0.280000,-0.420000
49.857780,0.000000,0.027328,0.993568,-0.560000,-0.420000,-0.140000
