Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
5.100986,-0.005856,0.029280,1.016992,-0.420000,-0.560000,-0.280000
5.105052,-0.022448,0.034648,1.007232,-0.560000,-0.980000,-0.420000
5.109118,0.004880,0.033184,1.010648,-0.840000,-0.140000,-0.140000
5.113184,-0.002440,0.022448,1.013088,-0.420000,-0.560000,-0.560000
5.117251,-0.015128,0.023912,1.010160,-0.700000,-0.140000,-0.420000
5.121317,-0.007808,0.031232,0.978928,-0.420000,-0.420000,-0.420000
5.125383,-0.000976,0.022936,1.006256,-0.560000,-0.420000,-0.420000
5.129449,-0.014640,0.037576,1.019920,-0.700000,-0.420000,-0.420000
5.133516,0.000488,0.024400,0.989664,-0.420000,-0.700000,-0.280000
5.137582,-0.007320,0.026352,1.024312,-0.560000,-0.280000,-0.420000
5.141648,-0.005368,0.030744,1.003816,-0.280000,-0.280000,-0.280000
5.145714,-0.013664,0.034160,1.032608,-0.560000,-0.280000,-0.560000
5.149780,-0.017080,0.016592,0.992592,-0.700000,-0.420000,-0.420000
5.153847,-0.006344,0.028792,1.012600,-0.700000,-0.420000,-0.420000
5.157913,-0.002928,0.035624,1.006744,-0.420000,-0.700000,-0.560000
5.161979,-0.004392,0.024400,1.008696,-0.700000,-0.560000,-0.420000
5.166045,-0.001464,0.025864,1.008696,-0.700000,-0.280000,0.000000
5.170112,-0.010248,0.025864,1.007232,-0.840000,-0.140000,-0.420000
5.174178,-0.026840,0.031720,1.012112,-0.420000,-0.700000,-0.420000
5.178244,0.000976,0.030256,0.999912,-0.420000,-0.420000,-0.280000
5.182310,-0.016592,0.032696,1.004304,-0.420000,-0.700000,-0.560000
5.186377,-0.003416,0.029280,1.002840,-0.840000,-0.140000,-0.280000
5.190443,-0.001464,0.015128,1.002352,-0.560000,-0.560000,-0.280000
5.194509,0.007808,0.021960,1.006256,-1.120000,0.000000,-0.280000
5.198575,-0.020984,0.029280,1.007720,-0.420000,-0.280000,-0.420000
5.202642,0.008296,0.026840,1.001376,-0.420000,-0.700000,-0.420000
5.206708,-0.013176,0.032208,1.029192,-0.560000,-0.420000,-0.420000
5.210774,-0.009760,0.037576,0.993080,-0.700000,-0.280000,-0.280000
5.214840,-0.018056,0.033184,1.023824,-0.560000,-0.840000,-0.560000
5.218906,-0.002928,0.017080,0.997472,-0.700000,0.000000,-0.280000
5.222973,-0.013664,0.016104,1.015528,-0.560000,-0.560000,-0.560000
5.227039,-0.015128,0.038552,0.999912,-0.420000,-0.140000,-0.140000
5.231105,0.001464,0.030256,1.009184,-0.560000,-0.420000,-0.560000
5.235171,-0.012688,0.026352,1.013576,-0.420000,-0.420000,-0.280000
5.239238,-0.001952,0.026352,1.002352,-0.560000,-0.700000,-0.420000
5.243304,-0.017080,0.029280,1.031632,-0.840000,-0.420000,-0.280000
5.247370,0.000976,0.034648,0.990640,-0.280000,-0.560000,-0.560000
5.251436,-0.019520,0.020984,1.008696,-0.560000,-0.560000,-0.420000
5.255503,0.002928,0.029280,1.006744,-0.560000,-0.280000,-0.280000
5.259569,-0.020008,0.027328,0.996496,-0.700000,-0.700000,-0.560000
5.263635,0.000976,0.032696,1.019432,-0.700000,0.000000,-0.280000
5.267701,-0.006344,0.022448,1.000400,-0.700000,-0.700000,-0.280000
5.271768,-0.005368,0.045384,1.001376,-0.420000,-0.140000,-0.420000
5.275834,-0.003904,0.009760,1.006256,-0.420000,-0.140000,-0.560000
5.279900,-0.015616,0.027816,1.021872,-0.700000,-0.420000,-0.420000
5.283966,0.000976,0.028304,0.997472,-0.560000,-0.420000,-0.560000
5.288033,-0.022448,0.034648,1.012112,-0.840000,-0.280000,-0.280000
5.292099,-0.012200,0.017080,1.013576,-0.700000,-0.700000,-0.280000
5.296165,-0.003904,0.032696,1.016992,-0.280000,-0.560000,-0.560000
5.300231,-0.011224,0.017080,0.988200,-0.700000,-0.280000,-0.420000
5.304297,-0.003904,0.042944,1.018944,-0.840000,-0.560000,-0.140000
5.308364,-0.012688,0.024888,1.010648,-0.420000,0.000000,-0.560000
5.312430,-0.007808,0.030744,1.003328,-0.560000,-0.700000,-0.280000
5.316496,-0.000976,0.023424,0.985760,-0.560000,-0.420000,-0.560000
5.320562,0.001952,0.027328,1.026752,-0.560000,-0.420000,-0.280000
5.324629,-0.015128,0.033184,1.000888,-0.980000,-0.140000,-0.280000
5.328695,-0.002928,0.037088,1.019920,-0.560000,-0.700000,-0.420000
5.332761,-0.020008,0.018544,0.999912,-0.700000,0.280000,-0.560000
5.336827,-0.003904,0.028792,1.009672,-0.420000,-1.260000,-0.420000
