Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
30.639935,-0.039528,0.253760,1.010648,7.700000,-1.260000,0.000000
30.648022,0.012200,0.236680,0.988688,6.300000,-0.420000,-0.560000
30.656109,-0.043432,0.250832,1.007720,3.080000,2.240000,-0.980000
30.664196,-0.052216,0.192760,0.994056,4.620000,1.540000,-0.560000
30.672283,-0.062952,0.212280,0.902800,6.440000,0.140000,-0.420000
30.680370,0.024400,0.217160,1.008696,7.420000,-1.540000,-0.280000
30.688457,-0.007808,0.229360,1.081896,6.580000,0.840000,-0.700000
30.696544,-0.035136,0.228384,0.955504,6.300000,2.100000,-0.840000
30.704631,-0.078080,0.234240,0.935008,6.440000,1.540000,-0.980000
30.712718,-0.042456,0.201056,0.899384,7.280000,-0.840000,0.280000
30.720805,0.035136,0.268400,1.039440,7.700000,-1.960000,-0.700000
30.728893,-0.006344,0.255224,1.072136,4.900000,0.980000,-0.700000
30.736980,-0.050752,0.206424,0.909144,4.480000,3.360000,-1.120000
30.745067,-0.075152,0.223504,0.924760,6.160000,0.420000,-0.980000
30.753154,-0.009272,0.254248,0.980880,7.000000,-2.660000,0.700000
30.761241,0.038552,0.235704,1.096048,5.740000,0.000000,-1.120000
30.769328,-0.034648,0.205448,1.017968,6.160000,3.080000,-0.700000
30.777415,-0.091256,0.231800,0.903288,8.260000,1.260000,-1.260000
30.785502,-0.061976,0.266448,0.866200,7.420000,-0.700000,0.420000
30.793589,0.059048,0.238632,0.987224,5.880000,-1.680000,-0.280000
30.801676,0.002440,0.251320,1.119472,4.760000,0.140000,-0.700000
30.809763,-0.070760,0.219600,0.962336,5.180000,3.640000,-1.260000
30.817850,-0.066856,0.249368,0.881328,6.300000,0.980000,-0.700000
30.825937,-0.036600,0.219600,0.919880,6.300000,-2.100000,0.280000
30.834024,0.082960,0.274744,1.116544,5.320000,-1.680000,-1.260000
30.842111,-0.061000,0.244488,1.045784,5.460000,3.640000,-0.560000
30.850198,-0.101504,0.194224,0.896944,6.160000,2.660000,-1.260000
30.858285,-0.001952,0.232288,0.909144,7.840000,-2.380000,0.280000
30.866373,0.019032,0.290360,1.024312,8.260000,-1.820000,0.140000
30.874460,-0.009272,0.284992,1.042368,4.340000,1.400000,-1.260000
30.882547,-0.061488,0.213744,0.916464,4.620000,2.800000,-0.980000
30.890634,-0.073688,0.233264,0.917928,5.040000,1.260000,-0.700000
30.898721,0.022936,0.244976,0.995520,6.160000,-3.080000,-0.140000
30.906808,-0.007320,0.266448,1.029680,5.880000,0.420000,-0.140000
30.914895,-0.018544,0.249368,1.003816,3.920000,2.660000,-1.540000
30.922982,-0.101016,0.216184,0.915488,5.040000,1.960000,-0.840000
30.931069,-0.035136,0.237656,0.960384,6.580000,-1.120000,-0.140000
30.939156,0.061000,0.292800,0.987712,6.020000,-1.820000,-0.420000
30.947243,-0.064416,0.256688,0.997472,3.500000,2.660000,-0.980000
30.955330,-0.011712,0.225944,0.991616,3.640000,1.960000,-1.400000
30.963417,-0.077104,0.252296,0.919880,5.320000,-0.700000,0.000000
30.971504,0.004880,0.253272,0.966240,5.180000,-0.560000,-0.560000
30.979591,0.019032,0.291336,1.029680,4.620000,-0.420000,-0.420000
30.987678,-0.067344,0.247416,0.991128,3.360000,2.800000,-1.400000
30.995765,-0.047336,0.238632,0.912560,2.940000,1.400000,-0.980000
31.003853,-0.023424,0.211792,0.925248,5.740000,-1.820000,0.560000
31.011940,0.021472,0.285480,1.073600,5.880000,-0.140000,-1.400000
31.020027,-0.021960,0.285480,0.983808,3.080000,2.800000,-0.840000
31.028114,-0.124928,0.223504,0.955016,4.060000,1.960000,-0.840000
31.036201,0.027816,0.213744,0.975024,6.580000,-2.800000,0.000000
31.044288,-0.005368,0.288408,1.007232,7.420000,0.000000,-0.420000
31.052375,-0.019520,0.310368,0.944768,3.360000,2.240000,-1.400000
31.060462,-0.057584,0.230824,0.950136,2.800000,1.260000,-0.700000
31.068549,-0.030744,0.240584,0.924272,4.620000,-0.840000,-0.140000
31.076636,0.031720,0.265472,0.985760,4.620000,-0.560000,-0.980000
31.084723,-0.061976,0.280112,1.052128,2.520000,2.380000,-0.560000
31.092810,-0.045872,0.224968,0.907192,4.200000,1.260000,-0.840000
31.100897,-0.005856,0.270352,0.943304,5.880000,-1.540000,-0.420000
31.108984,-0.031232,0.293288,0.966728,3.360000,-0.140000,-0.560000
31.117071,0.001464,0.261080,1.049688,1.960000,1.400000,-0.980000
31.125158,-0.047336,0.191296,0.975024,3.360000,2.240000,-0.840000
31.133245,-0.035624,0.281088,0.926712,6.160000,-0.980000,-0.420000
31.141333,-0.002928,0.318664,0.943304,3.920000,-0.980000,-0.560000
31.149420,-0.031232,0.264984,0.998936,0.700000,1.960000,-0.840000
31.157507,-0.039528,0.224480,0.964288,1.540000,2.240000,-1.260000
31.165594,-0.038552,0.250832,0.915000,4.760000,-1.260000,-0.140000
31.173681,0.021472,0.308904,1.072136,3.500000,-0.700000,-0.980000
31.181768,-0.056608,0.255712,1.013088,1.400000,3.080000,-0.560000
31.189855,-0.049288,0.220088,0.867176,2.940000,1.820000,-1.540000
31.197942,-0.017568,0.256688,0.960872,4.760000,-1.540000,0.140000
31.206029,0.019520,0.313296,1.037488,2.940000,-0.840000,-0.700000
31.214116,-0.059048,0.259128,1.023336,0.700000,3.360000,-1.540000
31.222203,-0.076128,0.231800,0.849608,3.920000,0.560000,0.140000
31.230290,0.020496,0.293288,0.999912,3.360000,-2.100000,-0.980000
31.238377,-0.022936,0.260592,1.084824,2.520000,1.260000,0.000000
31.246464,-0.007320,0.254736,0.904752,2.940000,2.100000,-1.820000
31.254551,-0.096136,0.243024,0.862784,2.660000,1.120000,-0.420000
31.262638,0.034648,0.287920,1.015528,4.060000,-2.380000,0.280000
31.270725,0.002440,0.316712,1.071648,1.260000,0.560000,-1.540000
31.278813,-0.104432,0.217160,0.915488,1.680000,3.920000,-0.700000
