Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
3.143772,-0.080520,0.149328,0.926224,11.200000,2.520000,-0.420000
3.151859,-0.014152,0.109800,0.927200,10.780000,-0.560000,-0.420000
3.159946,-0.006832,0.127368,1.047248,12.460000,-2.100000,0.140000
3.168034,-0.004392,0.164944,1.108736,12.740000,0.280000,-0.840000
3.176121,-0.094184,0.101992,0.997960,11.760000,3.500000,-0.560000
3.184208,-0.020496,0.078080,0.925248,14.000000,-0.980000,0.000000
3.192295,0.008784,0.182024,1.009184,15.680000,-1.960000,-0.140000
3.200382,-0.031720,0.181536,0.999424,13.860000,0.140000,0.140000
3.208469,-0.022448,0.151768,1.032120,11.340000,1.540000,-0.560000
3.216557,-0.040504,0.116144,0.984296,11.620000,0.980000,-0.700000
3.224644,-0.044408,0.150304,0.962824,13.580000,-0.140000,-0.280000
3.232731,-0.019032,0.162504,0.986248,12.740000,-1.540000,-0.140000
3.240818,-0.013664,0.139568,1.078968,12.460000,0.980000,-0.140000
3.248905,-0.036112,0.107360,1.025288,13.020000,1.260000,-0.840000
3.256993,-0.071736,0.127368,0.982832,16.799999,0.840000,0.140000
3.265080,-0.023912,0.203008,0.941840,17.219999,-1.680000,0.280000
3.273167,0.009760,0.167872,0.955504,13.160000,-0.420000,-0.280000
3.281254,0.009272,0.160552,1.179496,13.020000,0.280000,-0.280000
3.289341,-0.101992,0.129808,0.941352,15.120000,1.540000,-0.420000
3.297428,-0.013664,0.159576,0.873032,15.120000,1.120000,-0.560000
3.305516,-0.037088,0.176656,1.006744,15.400000,-1.680000,0.280000
3.313603,-0.020496,0.176168,1.048712,14.840000,-0.840000,0.280000
3.321690,0.027328,0.143472,1.052128,14.560000,1.120000,-0.560000
3.329777,-0.093208,0.177144,0.995032,16.100000,2.240000,-1.120000
3.337864,-0.059536,0.159576,0.895968,16.240000,0.700000,0.140000
3.345951,0.003904,0.176656,1.001864,17.080000,-3.500000,0.420000
3.354039,0.011224,0.167384,1.055056,15.680000,-0.420000,0.280000
3.362126,0.010736,0.206912,1.052128,15.680000,1.540000,-0.560000
3.370213,-0.125904,0.172752,0.898408,14.980000,2.520000,-0.980000
3.378300,-0.040016,0.182024,0.898408,14.700000,-0.280000,0.420000
3.386387,0.032696,0.201544,1.051640,15.680000,-3.080000,0.140000
3.394474,-0.015128,0.198616,1.054568,14.140000,0.700000,-0.140000
3.402562,-0.005368,0.176656,1.018456,14.700000,1.820000,-1.400000
3.410649,-0.118096,0.182024,0.940864,15.960000,0.980000,0.420000
3.418736,-0.005368,0.143960,0.939888,16.100000,-1.540000,0.560000
3.426823,0.063440,0.252296,1.064816,17.920000,-3.080000,0.140000
3.434910,-0.071736,0.198128,1.061888,16.379999,2.940000,-0.560000
3.442997,-0.060024,0.190808,0.916464,15.540000,2.520000,-0.840000
3.451085,-0.061976,0.170312,0.912072,16.379999,-0.980000,0.140000
3.459172,0.016592,0.190320,1.020408,17.360001,-1.540000,0.000000
3.467259,0.022936,0.260104,1.044808,17.639999,-1.120000,0.140000
3.475346,-0.080520,0.202032,0.993080,14.840000,2.940000,-0.700000
3.483433,-0.049776,0.191784,0.949648,15.120000,1.540000,-0.840000
3.491520,-0.016104,0.204472,0.927200,16.379999,-0.980000,0.420000
3.499608,-0.040504,0.231312,0.973560,15.540000,-0.420000,0.000000
