Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
22.391124,-0.068808,0.126880,0.973560,4.760000,2.800000,-1.260000
22.399211,-0.048312,0.161528,0.907680,6.160000,-0.700000,-0.280000
22.407298,0.012688,0.180072,1.019432,7.000000,-1.400000,-0.140000
22.415385,0.011712,0.186904,1.083848,7.420000,-0.420000,-0.140000
22.423473,-0.062952,0.155184,0.988688,5.880000,3.220000,-1.400000
22.431560,-0.059048,0.143472,0.974048,6.160000,1.400000,-0.700000
22.439647,-0.036600,0.151768,0.926712,8.120000,-0.980000,0.000000
22.447734,0.000976,0.218136,1.009184,7.280000,-0.700000,-0.420000
22.455821,-0.004392,0.178120,0.989664,5.740000,0.140000,-0.420000
22.463908,-0.046848,0.183488,1.019432,3.640000,1.680000,-0.980000
22.471995,-0.063928,0.147376,0.958432,4.480000,1.820000,-1.120000
22.480082,-0.022448,0.161528,0.956968,6.160000,-1.120000,-0.140000
22.488169,0.003904,0.191784,1.020408,5.740000,-0.980000,-0.280000
22.496256,0.019032,0.198616,1.065304,5.320000,0.280000,-1.120000
22.504343,-0.085888,0.165920,0.967216,3.500000,2.940000,-0.700000
22.512431,-0.055144,0.155672,0.934032,3.920000,0.700000,-0.840000
22.520518,0.013176,0.169824,0.999912,6.720000,-1.680000,0.140000
22.528605,-0.020008,0.173240,1.042368,6.160000,-0.280000,-0.560000
22.536692,-0.026840,0.214232,1.021384,4.620000,2.660000,-1.120000
22.544779,-0.094184,0.123464,0.948184,4.620000,2.240000,-0.840000
22.552866,-0.008296,0.153232,0.945256,6.720000,-1.260000,-0.420000
22.560953,0.022936,0.223992,1.072624,8.120000,-1.540000,-0.140000
22.569040,-0.035624,0.175192,0.983808,6.020000,0.980000,-0.560000
22.577127,-0.017568,0.175680,1.039440,5.320000,1.400000,-1.400000
22.585214,-0.081984,0.179096,0.937936,6.580000,1.540000,0.000000
22.593301,-0.025864,0.178608,0.927200,6.300000,-0.700000,-0.560000
22.601388,0.007808,0.190808,1.048224,7.560000,-1.400000,-0.280000
22.609476,-0.037576,0.175680,1.015528,6.860000,1.260000,-0.420000
22.617563,-0.012688,0.204960,0.999424,5.040000,1.120000,-1.540000
