Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
59.753247,-0.042944,0.149816,1.090192,5.180000,2.800000,-1.260000
59.761334,-0.103944,0.107848,0.896456,5.460000,2.940000,-0.840000
59.769421,-0.026840,0.134200,0.922320,5.600000,-0.840000,-0.700000
59.777508,-0.010736,0.158112,0.992104,5.040000,-1.680000,0.420000
59.785595,0.032696,0.169336,1.053592,4.340000,-0.140000,-0.420000
59.793682,-0.058072,0.154696,1.048224,2.940000,3.640000,-2.240000
59.801769,-0.108336,0.125416,0.936960,4.480000,1.120000,-0.420000
59.809856,0.010248,0.091744,0.923784,4.760000,-1.120000,-0.560000
59.817943,0.038064,0.158112,1.120936,6.020000,-1.960000,0.140000
59.826030,-0.049776,0.173240,1.060912,6.300000,2.380000,-1.400000
59.834117,-0.103456,0.152744,0.912072,4.060000,3.080000,-1.120000
59.842204,-0.029280,0.097600,0.921344,5.320000,-1.120000,0.140000
59.850291,0.022448,0.160552,1.065304,7.000000,-1.820000,-0.560000
59.858378,-0.009272,0.180560,1.029680,6.300000,0.140000,-0.140000
59.866465,-0.067832,0.166408,0.963312,4.060000,2.380000,-1.540000
59.874552,-0.052216,0.138104,0.975024,2.100000,2.660000,-0.980000
59.882639,-0.020008,0.112728,0.966240,4.200000,-1.260000,0.000000
59.890726,-0.025376,0.154696,1.049200,6.860000,-1.540000,-0.560000
59.898813,0.029768,0.158112,1.009184,5.460000,1.120000,-0.700000
59.906900,-0.076128,0.168848,0.983808,3.780000,2.800000,-1.540000
59.914987,-0.062464,0.148840,0.989664,4.480000,0.140000,-0.280000
59.923074,-0.003904,0.122488,0.938912,5.880000,-1.260000,-0.140000
59.931161,0.022448,0.173728,1.020408,5.040000,0.000000,-0.840000
59.939248,-0.039040,0.175680,1.091656,4.760000,1.400000,-0.840000
59.947335,-0.086864,0.120536,0.897920,3.500000,1.820000,-0.840000
59.955422,-0.007808,0.147376,0.977952,5.180000,-0.140000,-0.560000
59.963509,-0.018056,0.210328,1.013088,6.160000,-1.260000,0.140000
59.971596,-0.016104,0.140056,0.978440,3.500000,1.120000,-1.260000
59.979683,-0.011712,0.173728,1.034560,1.820000,1.400000,-0.980000
59.987770,-0.077592,0.138592,0.945256,3.220000,0.840000,-0.700000
59.995857,-0.011224,0.150792,0.946720,2.660000,-0.140000,-0.700000
60.003944,-0.006832,0.185440,1.034560,3.360000,-0.700000,-0.420000
60.012031,-0.046848,0.166408,1.068232,1.680000,1.820000,-1.260000
60.020118,-0.033672,0.129808,0.956480,1.820000,2.100000,-0.560000
60.028205,-0.046848,0.114192,0.973560,5.040000,-1.120000,-0.280000
60.036292,0.015128,0.182512,1.051152,5.880000,-1.260000,-0.560000
60.044379,-0.043920,0.176168,1.046272,4.900000,2.100000,-0.280000
60.052466,-0.055144,0.147864,0.935496,3.780000,1.400000,-1.680000
60.060553,-0.027328,0.135664,0.954528,3.220000,1.820000,-0.280000
60.068640,-0.003904,0.162992,0.982832,5.600000,-2.100000,-0.420000
60.076727,-0.046360,0.212768,1.029192,3.780000,0.000000,-0.980000
60.084814,0.024400,0.168848,1.020896,1.540000,2.100000,-0.420000
60.092901,-0.104920,0.122000,0.964288,2.380000,2.100000,-1.260000
60.100988,-0.025376,0.117608,0.971120,5.320000,-0.980000,-0.140000
60.109075,0.017080,0.206424,1.008696,5.880000,-0.980000,-0.420000
60.117162,-0.042456,0.183976,1.058960,2.520000,1.680000,-0.980000
60.125250,-0.034160,0.133712,0.979904,2.520000,2.100000,-0.840000
60.133337,-0.052704,0.150792,0.955016,5.040000,-0.280000,-0.560000
60.141424,-0.002440,0.179584,0.979416,5.740000,-1.400000,-0.420000
60.149511,-0.012200,0.203496,1.030656,4.060000,0.420000,-0.280000
60.157598,-0.026840,0.143960,1.001864,1.400000,1.400000,-1.400000
60.165685,-0.068320,0.138592,0.958920,3.220000,1.400000,-0.560000
60.173772,-0.022448,0.173728,0.915488,4.060000,-0.420000,-0.420000
60.181859,0.003416,0.184952,1.021872,2.520000,-0.560000,-0.560000
60.189946,-0.028304,0.169336,1.094096,2.940000,0.420000,-0.700000
60.198033,-0.075152,0.143960,1.010160,2.380000,2.940000,-1.260000
60.206120,-0.009272,0.136640,0.926712,4.760000,0.000000,-0.700000
60.214207,-0.042944,0.178608,0.976488,5.880000,-1.540000,0.000000
60.222294,0.035136,0.175680,1.075064,4.480000,0.280000,-0.700000
60.230381,-0.036600,0.189344,1.058960,4.200000,1.820000,-0.840000
60.238468,-0.107360,0.125416,0.922320,4.480000,2.800000,-0.840000
60.246555,0.012200,0.156648,0.892552,6.720000,-0.840000,-0.980000
60.254642,-0.034160,0.232776,1.048712,5.880000,-1.680000,0.280000
60.262729,0.010248,0.171288,1.024312,3.500000,0.000000,-0.840000
60.270816,-0.027328,0.173728,1.003328,2.100000,1.960000,-1.120000
