Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
7.478530,-0.036600,0.008296,1.001864,0.980000,0.980000,-0.700000
7.486617,-0.031720,0.017080,1.015040,1.400000,0.140000,-0.840000
7.494704,-0.038552,-0.006832,1.000888,0.420000,0.280000,-0.700000
7.502791,-0.022936,0.000976,1.022848,1.120000,0.980000,-0.980000
7.510879,-0.050264,0.012688,0.990640,0.840000,0.980000,-0.560000
7.518966,-0.020984,0.018056,1.026264,0.700000,0.280000,-0.980000
7.527053,-0.039040,-0.009272,1.000400,0.420000,0.560000,-0.700000
7.535140,-0.024400,0.025376,1.027240,1.540000,0.840000,-0.980000
7.543227,-0.033184,-0.001952,0.984784,0.560000,0.280000,-0.700000
7.551315,-0.028304,0.012688,1.023824,0.980000,0.420000,-1.120000
7.559402,-0.038552,0.007320,0.998936,0.980000,0.700000,-0.560000
7.567489,-0.022936,0.015616,1.031144,0.840000,0.000000,-0.980000
7.575576,-0.043432,-0.000976,0.990640,0.980000,1.120000,-0.700000
7.583663,-0.027816,0.009272,1.027728,0.980000,0.140000,-1.120000
7.591751,-0.039528,0.009272,0.989664,1.120000,1.260000,-0.560000
7.599838,-0.028304,0.005856,1.019432,0.280000,-0.420000,-0.980000
7.607925,-0.028792,0.003416,1.003816,0.700000,1.260000,-0.840000
7.616012,-0.032208,0.014640,1.025776,0.700000,0.000000,-0.420000
7.624100,-0.046848,-0.011224,0.992104,0.980000,1.260000,-1.260000
7.632187,-0.010736,0.038064,1.016992,0.840000,0.140000,-0.560000
7.640274,-0.051240,-0.031720,1.003328,1.260000,0.560000,-0.700000
7.648361,-0.010736,0.039040,1.013088,0.700000,0.840000,-1.120000
7.656448,-0.045384,-0.011712,1.005768,1.120000,-0.140000,-0.140000
7.664536,-0.040992,0.003416,1.019920,1.260000,1.680000,-1.540000
7.672623,-0.020008,0.022448,0.991616,1.120000,0.420000,-0.140000
7.680710,-0.050264,0.002440,1.006744,0.560000,0.420000,-1.260000
7.688797,-0.011224,0.006344,1.026264,0.560000,0.420000,-0.560000
7.696884,-0.045384,0.004880,1.003328,1.400000,0.840000,-0.700000
7.704972,-0.027328,0.010248,1.018456,0.700000,0.420000,-0.980000
7.713059,-0.031232,0.006344,0.993080,1.260000,0.700000,-0.560000
7.721146,-0.047824,0.012688,1.010648,0.560000,0.420000,-0.700000
7.729233,-0.014640,-0.004880,1.024800,0.560000,0.840000,-1.120000
7.737321,-0.041480,0.009760,1.005768,1.260000,0.420000,-0.560000
7.745408,-0.037576,0.014152,1.002840,0.840000,0.840000,-0.840000
7.753495,-0.021960,0.013664,1.017968,0.700000,0.000000,-0.840000
7.761582,-0.045384,0.007320,1.006256,0.840000,0.700000,-0.700000
7.769669,-0.020008,-0.000488,1.016016,0.840000,0.560000,-0.980000
7.777757,-0.033672,0.007808,0.990152,1.120000,0.840000,-0.280000
