Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
47.898307,0.087840,-0.045384,1.050664,-10.220000,2.660000,-2.100000
47.906395,-0.198128,-0.069784,0.894992,-9.240000,0.840000,-1.680000
47.914482,0.140544,0.013176,1.098976,-9.240000,-1.540000,0.140000
47.922569,-0.167384,-0.009272,0.975024,-9.240000,4.480000,-3.220000
47.930656,0.052704,-0.038552,1.053104,-11.480000,-4.620000,1.260000
47.938743,-0.096624,-0.015616,0.951112,-10.080000,8.680000,-5.180000
47.946830,-0.036600,-0.042944,1.011136,-11.200000,-7.140000,2.660000
47.954917,0.048312,-0.048312,1.082384,-9.800000,6.580000,-4.340000
47.963005,-0.159576,0.017080,0.925736,-10.360000,-1.680000,0.000000
47.971092,0.108824,-0.070272,1.076528,-10.500000,1.260000,-2.240000
47.979179,-0.178120,-0.006344,0.949648,-10.640000,2.800000,-2.380000
47.987266,0.110776,-0.048800,1.069696,-12.040000,-3.360000,0.560000
47.995353,-0.162016,-0.065880,0.954040,-10.080000,5.880000,-3.920000
48.003440,0.056608,-0.027816,1.045296,-11.200000,-4.200000,1.400000
48.011528,-0.079544,-0.068320,0.976000,-9.660000,6.860000,-4.060000
48.019615,-0.072712,-0.001952,0.981856,-11.760000,-4.480000,1.120000
48.027702,0.081008,-0.039528,1.082384,-11.620000,5.320000,-3.220000
48.035789,-0.183976,-0.086376,0.935496,-11.060000,-1.120000,-1.680000
48.043876,0.118584,-0.075152,1.071160,-9.940000,0.700000,-0.980000
48.051963,-0.160552,-0.015616,0.935496,-9.240000,3.220000,-2.240000
48.060051,0.064904,-0.057584,1.080432,-11.340000,-3.500000,0.280000
48.068138,-0.101992,-0.040992,1.001376,-10.500000,6.160000,-4.620000
48.076225,-0.005368,-0.061976,0.963312,-12.460000,-4.200000,1.680000
48.084312,-0.042944,-0.100040,0.994544,-9.800000,6.440000,-4.060000
48.092399,-0.050752,-0.024888,1.065792,-11.340000,-4.340000,1.120000
48.100486,0.021960,-0.059048,0.999424,-10.500000,4.340000,-3.220000
48.108573,-0.138592,-0.086376,0.897920,-10.920000,0.140000,-0.980000
48.116661,0.111264,-0.021472,1.128744,-11.900000,-0.700000,-0.280000
48.124748,-0.193248,-0.067832,0.937448,-10.780000,4.060000,-4.200000
48.132835,0.100040,-0.151280,1.045784,-10.920000,-3.780000,0.700000
48.140922,-0.093208,-0.020008,0.969168,-8.120000,6.160000,-3.080000
48.149009,-0.064416,-0.074664,1.017968,-11.200000,-3.220000,0.700000
48.157096,0.026840,-0.035624,1.071648,-12.040000,4.480000,-3.500000
48.165184,-0.123464,-0.055144,0.897920,-12.320000,-2.520000,-0.280000
48.173271,0.085888,-0.170800,1.120936,-10.500000,3.220000,-2.520000
48.181358,-0.163968,-0.061488,0.894016,-9.100000,1.120000,-0.980000
48.189445,0.058560,-0.050752,1.057984,-8.820000,-2.100000,-0.420000
48.197532,-0.088328,-0.103456,1.014552,-9.520000,4.060000,-3.080000
48.205619,0.033184,-0.069296,1.047248,-11.340000,-2.800000,1.120000
48.213707,-0.111752,-0.099552,0.911096,-8.260000,6.580000,-4.340000
48.221794,0.010248,-0.109312,1.026264,-9.940000,-5.460000,1.400000
48.229881,0.000000,-0.055632,1.062864,-9.380000,6.020000,-3.920000
48.237968,-0.123952,-0.074176,0.940376,-10.500000,-2.520000,-0.140000
48.246055,0.089792,-0.108336,1.056520,-10.500000,2.240000,-1.680000
48.254142,-0.177632,-0.030744,0.911096,-9.800000,2.380000,-3.500000
48.262230,0.069296,-0.183976,1.098488,-10.780000,-2.800000,0.000000
48.270317,-0.086864,-0.092232,0.942328,-7.420000,4.200000,-2.660000
48.278404,-0.036112,-0.084424,0.996008,-8.260000,-0.840000,0.560000
48.286491,-0.027328,-0.118096,1.035048,-8.120000,2.800000,-2.800000
48.294578,-0.061488,-0.043432,0.998936,-9.520000,-2.520000,0.280000
48.302665,0.027328,-0.120048,1.018456,-8.820000,4.340000,-2.380000
