Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
71.504731,-0.065880,-0.165920,0.868640,-1.120000,0.280000,-0.700000
71.512818,-0.033672,-0.151280,1.020896,0.560000,0.700000,-1.680000
71.520906,0.039528,-0.134688,1.079456,-3.080000,0.420000,0.000000
71.528993,-0.127368,-0.181048,0.894016,-1.540000,0.280000,-1.400000
71.537080,-0.004392,-0.184952,1.000888,0.700000,1.540000,-1.680000
71.545167,-0.028792,-0.132248,1.032120,-0.980000,0.280000,0.420000
71.553254,-0.072712,-0.132248,0.966728,-0.140000,-0.420000,-1.120000
71.561341,0.008296,-0.183000,1.075064,-0.700000,2.520000,-1.960000
71.569429,-0.035624,-0.164456,0.937936,-1.400000,-1.120000,0.560000
71.577516,-0.101504,-0.162016,0.955992,1.400000,2.800000,-2.660000
71.585603,0.021472,-0.124440,1.069696,-1.820000,-0.560000,0.000000
71.593690,-0.020008,-0.181048,0.958920,-1.260000,0.420000,-0.700000
71.601777,-0.110776,-0.163480,0.978928,0.700000,1.820000,-2.100000
71.609864,0.041480,-0.146888,1.052616,-1.960000,0.000000,0.280000
71.617952,-0.101992,-0.153720,0.929152,0.000000,-0.560000,-0.980000
71.626039,0.005368,-0.193248,1.056520,0.420000,1.960000,-1.820000
71.634126,-0.038552,-0.160552,0.994056,-0.420000,0.280000,0.140000
71.642213,-0.078080,-0.131760,0.929640,0.700000,0.000000,-0.840000
71.650300,0.014152,-0.153720,1.074088,-1.120000,2.380000,-2.240000
71.658387,-0.026352,-0.176168,0.975024,-2.800000,-2.520000,1.680000
71.666475,-0.079544,-0.158112,0.944280,1.120000,3.080000,-2.940000
71.674562,-0.017568,-0.162504,1.056032,0.000000,0.700000,-0.840000
71.682649,-0.008296,-0.167384,0.962824,-0.980000,-1.540000,-0.140000
71.690736,-0.107360,-0.132248,1.007232,0.140000,3.080000,-2.660000
71.698823,0.049288,-0.169824,1.034072,-2.380000,-1.260000,0.700000
71.706910,-0.098088,-0.187392,0.919880,0.560000,2.240000,-2.100000
71.714998,-0.027816,-0.151768,1.033096,0.560000,-0.280000,-0.840000
71.723085,0.026352,-0.148352,1.009672,-1.820000,1.260000,-0.700000
71.731172,-0.128344,-0.145424,0.922808,-1.260000,-0.560000,-0.140000
71.739259,0.028304,-0.183000,1.060912,0.000000,2.520000,-1.400000
71.747346,-0.070760,-0.213256,0.955992,0.700000,-0.980000,-0.700000
71.755433,-0.036112,-0.130296,0.965752,2.100000,0.000000,-1.120000
71.763521,-0.011712,-0.123464,1.080920,-0.420000,2.520000,-0.840000
71.771608,-0.043920,-0.175192,0.990152,-1.540000,-2.240000,0.140000
71.779695,-0.056120,-0.168848,0.961360,0.140000,3.920000,-2.940000
71.787782,0.000976,-0.186416,1.015040,-1.120000,-1.960000,0.840000
71.795869,-0.059536,-0.148840,0.971120,0.280000,1.120000,-1.260000
71.803956,-0.054656,-0.156648,1.040904,0.420000,1.820000,-1.680000
71.812043,0.013176,-0.186416,0.964776,-0.980000,-0.560000,0.420000
71.820131,-0.125416,-0.110776,0.963312,0.280000,1.680000,-2.100000
71.828218,0.041968,-0.161040,1.070184,-1.820000,-0.560000,-0.280000
71.836305,-0.047336,-0.198128,0.968192,-0.980000,0.560000,-0.980000
71.844392,-0.078080,-0.144936,0.984296,0.140000,1.120000,-1.820000
71.852479,0.030256,-0.164944,1.013088,-2.100000,1.120000,-0.840000
71.860566,-0.090768,-0.175192,0.959408,-0.700000,-1.400000,0.420000
71.868654,-0.007320,-0.194712,1.012112,0.420000,2.940000,-2.940000
71.876741,-0.017080,-0.173728,0.983320,-0.560000,-0.560000,0.280000
71.884828,-0.079544,-0.133224,0.942816,0.840000,0.280000,-0.980000
71.892915,-0.059048,-0.145424,1.056520,-0.560000,1.820000,-1.540000
71.901002,0.034648,-0.199592,0.993080,-1.820000,-0.700000,0.840000
71.909089,-0.119560,-0.135664,0.955992,1.400000,2.520000,-2.940000
71.917177,0.005368,-0.188368,1.040904,-0.420000,-0.560000,0.000000
71.925264,0.002440,-0.190808,0.969168,0.000000,-0.280000,-0.280000
71.933351,-0.100040,-0.106384,0.996496,0.420000,2.240000,-1.960000
71.941438,0.042944,-0.203496,1.052616,-1.820000,0.000000,-0.560000
71.949525,-0.114192,-0.183488,0.881816,0.000000,0.000000,-0.420000
71.957612,-0.003904,-0.139080,1.037488,1.260000,1.820000,-1.680000
71.965700,-0.020496,-0.168360,1.052128,-2.100000,-0.560000,0.140000
71.973787,-0.077592,-0.127856,0.971120,-1.120000,0.280000,-0.980000
71.981874,-0.028304,-0.197640,0.973560,-0.700000,3.220000,-1.820000
71.989961,-0.011224,-0.192760,1.013576,-1.820000,-3.080000,0.980000
71.998048,-0.060024,-0.146400,1.004792,0.700000,3.220000,-3.080000
72.006135,-0.016104,-0.165920,0.994544,-0.280000,-0.140000,0.000000
72.014223,-0.015616,-0.216184,0.966240,0.000000,0.140000,-0.700000
72.022310,-0.114192,-0.114192,0.969168,0.420000,1.960000,-1.680000
72.030397,0.066368,-0.156648,1.098976,-1.820000,-0.980000,0.280000
72.038484,-0.130784,-0.182512,0.899872,-1.120000,1.400000,-1.400000
72.046571,0.018056,-0.196176,1.008208,0.840000,0.840000,-1.260000
72.054658,-0.035136,-0.184464,0.996008,0.420000,0.980000,-0.280000
72.062746,-0.073688,-0.083448,1.007232,-0.420000,-0.700000,-0.840000
72.070833,0.002928,-0.201544,1.025776,-1.400000,2.380000,-1.820000
72.078920,-0.027328,-0.209352,0.947208,-0.700000,-1.820000,0.280000
72.087007,-0.082472,-0.161040,0.986736,1.540000,3.640000,-2.940000
72.095094,-0.006344,-0.147376,1.018456,-1.680000,-1.820000,0.420000
72.103181,-0.024400,-0.183976,0.975512,-1.540000,0.560000,-0.560000
72.111269,-0.113216,-0.170312,0.991616,-0.140000,3.220000,-2.240000
