Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
21.404706,-0.022448,-0.143472,1.058472,-2.940000,0.420000,-0.980000
21.412793,-0.049288,-0.125416,0.984296,-2.660000,1.960000,-1.400000
21.420881,-0.036112,-0.126392,0.972584,-1.820000,0.280000,-0.560000
21.428968,-0.034160,-0.141520,0.990640,-2.240000,-0.140000,-0.560000
21.437055,-0.034648,-0.103456,0.999912,-2.100000,0.560000,-0.980000
21.445142,-0.014640,-0.141520,1.066280,-2.800000,0.140000,-0.420000
21.453229,-0.035136,-0.120048,0.957456,-2.800000,1.540000,-1.260000
21.461317,-0.059048,-0.127368,1.012112,-2.100000,0.700000,-0.840000
21.469404,-0.020984,-0.163480,0.966728,-2.380000,0.700000,-1.120000
21.477491,-0.049776,-0.113216,1.026752,-1.680000,0.420000,-0.980000
21.485578,0.005368,-0.129320,0.992592,-2.660000,0.000000,-0.560000
21.493665,-0.048800,-0.133224,1.032120,-2.660000,1.400000,-0.840000
21.501753,-0.049776,-0.144448,0.941352,-2.100000,0.700000,-0.980000
21.509840,-0.023424,-0.118096,1.059936,-1.400000,0.560000,-0.700000
21.517927,-0.071736,-0.136152,0.946232,-1.680000,0.700000,-0.420000
21.526014,0.010736,-0.143960,1.019432,-1.820000,0.280000,-0.840000
21.534101,-0.046360,-0.100040,1.015040,-2.520000,1.400000,-0.140000
21.542189,-0.029280,-0.162016,0.994544,-2.520000,-0.560000,-0.980000
21.550276,-0.028304,-0.119072,1.009672,-1.540000,1.960000,-0.280000
21.558363,-0.053680,-0.169336,0.967704,-2.100000,0.280000,-0.700000
21.566450,-0.039528,-0.119072,0.996984,-1.540000,-0.280000,-0.560000
21.574538,-0.003904,-0.133224,1.041880,-0.980000,1.260000,-0.420000
21.582625,-0.058072,-0.142008,0.967704,-2.100000,-0.420000,-1.400000
21.590712,0.002440,-0.124440,1.019432,-0.280000,1.540000,-0.560000
21.598799,-0.071736,-0.175680,0.984784,-2.520000,0.980000,-0.560000
21.606886,-0.053192,-0.093208,0.973072,-0.280000,-0.140000,-0.840000
21.614974,0.004880,-0.140544,1.042368,-0.700000,0.980000,-0.420000
21.623061,-0.032208,-0.167872,0.982832,-2.240000,-0.280000,-0.280000
21.631148,-0.039040,-0.096624,1.001864,-0.560000,2.380000,-0.560000
21.639235,-0.055632,-0.161040,1.019432,-1.960000,0.140000,-0.840000
21.647322,-0.029280,-0.142008,0.995032,-2.100000,0.420000,-1.400000
21.655410,-0.026840,-0.139080,0.962336,-0.560000,1.260000,-0.700000
21.663497,-0.026840,-0.144936,1.014064,-1.680000,-0.420000,-0.280000
21.671584,-0.040016,-0.105896,1.028216,-1.120000,1.120000,-0.560000
21.679671,-0.016592,-0.187392,0.991616,-1.120000,0.700000,-0.560000
21.687758,-0.054168,-0.104432,0.988688,-1.400000,1.260000,-0.700000
21.695846,-0.043920,-0.144936,0.966240,-1.400000,0.420000,-0.840000
21.703933,-0.035136,-0.149816,1.031632,-1.260000,-0.280000,0.140000
21.712020,-0.029280,-0.121024,0.974048,-1.400000,0.700000,-0.560000
21.720107,-0.020984,-0.159576,1.051152,-1.400000,0.000000,-0.280000
21.728194,-0.023424,-0.148840,0.985760,-2.380000,1.400000,-0.280000
21.736282,-0.054168,-0.118096,0.965752,-0.280000,0.840000,-0.700000
21.744369,-0.029280,-0.173728,1.004304,-1.120000,0.280000,0.140000
21.752456,-0.066856,-0.120536,0.983320,-0.980000,0.560000,-0.140000
21.760543,0.020984,-0.153232,1.000888,-0.560000,-0.560000,0.280000
21.768630,-0.033184,-0.122976,1.056032,-1.260000,0.700000,0.560000
21.776718,-0.043432,-0.158112,0.969168,-0.840000,0.980000,0.140000
21.784805,-0.050264,-0.128344,0.991616,-0.700000,0.700000,0.840000
21.792892,-0.028304,-0.132736,0.986736,-1.120000,-0.140000,0.000000
21.800979,-0.043920,-0.150792,0.992592,-1.400000,0.980000,0.560000
21.809066,-0.017568,-0.141520,1.026264,-1.680000,0.000000,0.840000
21.817154,-0.022936,-0.132736,0.993080,-1.120000,0.560000,1.260000
21.825241,-0.027328,-0.145424,1.002840,-1.680000,1.820000,0.840000
21.833328,-0.062952,-0.115168,0.991616,-1.260000,0.140000,1.260000
21.841415,-0.019520,-0.162016,1.010160,-1.680000,0.980000,1.540000
21.849502,-0.054168,-0.152744,0.975024,-2.380000,1.120000,1.820000
21.857590,-0.039528,-0.169824,1.005768,-1.820000,-0.420000,1.120000
21.865677,-0.012200,-0.165432,1.006256,-1.960000,0.280000,-0.280000
21.873764,-0.040016,-0.165432,1.016504,-1.680000,0.840000,-1.260000
21.881851,-0.007320,-0.151768,0.982344,-0.840000,1.260000,-1.120000
21.889938,-0.082472,-0.137616,0.985272,-0.420000,1.540000,-0.700000
21.898026,-0.049288,-0.168848,0.971608,-0.700000,0.140000,-1.120000
21.906113,-0.045384,-0.112728,0.997472,-0.420000,0.000000,-0.700000
21.914200,0.009760,-0.166896,1.025776,-1.680000,-0.420000,-0.560000
21.922287,-0.025864,-0.143472,1.001376,-0.420000,1.260000,-0.980000
21.930375,-0.029280,-0.177632,1.014552,-0.420000,0.700000,-0.840000
21.938462,-0.063440,-0.139080,0.967704,0.140000,2.240000,-1.120000
21.946549,-0.048312,-0.126392,0.981856,0.560000,-0.280000,-0.700000
21.954636,-0.022936,-0.172752,1.004792,-0.840000,0.560000,-0.840000
21.962723,-0.044408,-0.124928,1.002352,0.000000,0.280000,-0.840000
21.970811,0.000976,-0.162504,1.026264,-0.280000,0.140000,-0.980000
21.978898,-0.040504,-0.137128,0.976976,-0.840000,1.820000,-1.120000
21.986985,-0.054168,-0.145424,1.007720,-1.400000,-0.840000,-0.420000
21.995072,-0.033672,-0.166408,0.993080,-0.980000,1.960000,-1.820000
22.003159,-0.031232,-0.133224,0.993080,0.000000,0.280000,-0.280000
22.011247,-0.031232,-0.177632,1.000400,-0.560000,-0.140000,-1.540000
22.019334,-0.029768,-0.136152,0.990152,-0.560000,1.400000,-0.280000
22.027421,-0.028304,-0.158112,1.010160,-0.840000,0.000000,-1.260000
22.035508,-0.058560,-0.136152,1.013576,-1.260000,1.400000,-0.980000
22.043595,-0.037576,-0.157136,0.945744,-0.140000,1.680000,-1.260000
22.051683,-0.041968,-0.158112,1.017968,-0.560000,-1.260000,-0.280000
22.059770,-0.013176,-0.142496,1.001376,-0.280000,1.400000,-1.540000
22.067857,-0.035624,-0.161040,1.024800,-1.260000,-0.280000,0.000000
22.075944,-0.017080,-0.139080,0.970632,-0.980000,1.960000,-1.540000
22.084031,-0.070272,-0.160552,0.991616,-0.560000,0.000000,-0.840000
22.092119,-0.012688,-0.166408,1.012600,-0.140000,1.120000,-1.400000
22.100206,-0.075640,-0.136152,0.967216,0.140000,0.000000,-0.980000
22.108293,0.044408,-0.167872,1.022848,-0.700000,-0.140000,-0.280000
22.116380,-0.110288,-0.107360,1.005768,-0.700000,2.660000,-2.240000
22.124467,0.007808,-0.202520,1.013088,-1.680000,-1.260000,-0.140000
22.132555,-0.040992,-0.118584,0.979904,-0.700000,2.800000,-2.380000
22.140642,-0.059536,-0.184952,0.971120,-1.540000,-0.980000,0.560000
22.148729,-0.012200,-0.129320,1.054568,-0.280000,1.400000,-1.960000
22.156816,-0.050264,-0.165432,0.936960,-1.680000,0.000000,0.280000
22.164903,0.013176,-0.159576,1.046760,-0.840000,0.560000,-1.540000
22.172991,-0.113704,-0.128344,0.957944,-2.100000,1.680000,-0.560000
22.181078,0.014640,-0.187880,1.032608,-1.120000,0.140000,-0.840000
22.189165,-0.064904,-0.129808,0.940864,-0.980000,2.100000,-2.100000
22.197252,-0.005368,-0.181536,1.047248,-1.820000,-2.520000,1.120000
22.205339,-0.035136,-0.128832,0.967704,-1.680000,3.640000,-3.500000
22.213427,-0.027816,-0.159088,1.035536,-1.400000,-1.540000,0.980000
22.221514,-0.023912,-0.165920,1.002840,-1.960000,2.380000,-2.520000
22.229601,-0.111752,-0.128344,0.935984,-2.100000,1.260000,-0.420000
22.237688,0.030744,-0.200568,1.032608,-0.700000,-0.560000,-1.400000
22.245776,-0.083448,-0.127368,0.974048,-2.240000,0.980000,-0.980000
22.253863,0.027328,-0.201056,1.013576,-1.260000,-1.120000,-0.420000
22.261950,-0.049288,-0.107360,1.025776,-1.540000,1.960000,-1.680000
22.270037,-0.039040,-0.202032,0.963800,-2.940000,0.280000,0.140000
22.278124,-0.093208,-0.118096,0.992592,-1.400000,3.220000,-2.520000
22.286212,-0.006344,-0.166408,0.992592,-2.380000,-1.960000,0.700000
22.294299,-0.017568,-0.178120,1.003328,-1.680000,1.400000,-2.520000
22.302386,-0.045384,-0.142496,0.987224,-2.660000,0.140000,0.140000
22.310473,0.017080,-0.183000,1.042856,-1.820000,0.560000,-1.820000
22.318560,-0.073200,-0.154696,0.963800,-2.660000,1.260000,-0.700000
22.326648,-0.001952,-0.178120,1.007720,-1.680000,-0.280000,-0.140000
22.334735,-0.109800,-0.125904,1.014552,-1.120000,2.520000,-3.360000
22.342822,0.000000,-0.190808,0.925736,-1.960000,-0.980000,1.400000
22.350909,-0.043920,-0.131760,1.034560,-1.960000,1.260000,-3.220000
22.358996,-0.037088,-0.194224,0.980880,-2.800000,-0.840000,0.840000
22.367084,0.040504,-0.179584,1.050176,-1.260000,1.120000,-2.100000
22.375171,-0.120536,-0.139080,0.948184,-2.660000,2.380000,-0.840000
22.383258,0.014640,-0.162992,1.021384,-1.680000,-0.700000,-0.980000
22.391345,-0.073688,-0.167872,0.977952,-2.660000,2.520000,-1.820000
22.399432,-0.036600,-0.188856,0.947696,-1.680000,-1.260000,0.420000
22.407520,-0.032208,-0.127856,1.046760,-0.980000,1.820000,-2.380000
22.415607,-0.027816,-0.186416,0.959896,-2.380000,-1.120000,1.400000
22.423694,0.015128,-0.148840,1.065792,-1.960000,1.260000,-3.640000
22.431781,-0.109312,-0.174216,0.921832,-3.080000,2.940000,0.280000
22.439868,0.009272,-0.185928,1.051640,-1.400000,-1.400000,-1.960000
22.447956,-0.093208,-0.139080,0.931592,-3.220000,3.360000,-1.540000
22.456043,0.035136,-0.208864,1.031144,-1.260000,-3.080000,1.120000
22.464130,-0.063928,-0.142496,0.994056,-2.240000,3.080000,-3.640000
22.472217,-0.034160,-0.179584,1.003328,-2.660000,-1.260000,1.400000
22.480304,0.009760,-0.149816,1.010648,-2.520000,2.240000,-3.080000
22.488392,-0.117608,-0.174704,0.953552,-3.360000,0.280000,0.560000
22.496479,0.023912,-0.166408,1.045296,-2.100000,0.840000,-2.660000
22.504566,-0.106872,-0.162504,0.912560,-3.920000,1.680000,-0.560000
22.512653,0.051240,-0.199104,1.053104,-1.540000,-2.100000,-0.420000
22.520741,-0.083936,-0.154696,0.979416,-3.500000,3.220000,-2.100000
22.528828,0.013664,-0.182512,1.012600,-2.940000,-2.380000,0.980000
22.536915,-0.057584,-0.155184,1.017480,-2.380000,4.760000,-3.640000
22.545002,-0.064416,-0.192272,0.931104,-3.360000,-1.680000,1.260000
22.553089,-0.001952,-0.157624,1.039440,-2.240000,2.100000,-3.080000
22.561177,-0.127856,-0.180560,0.903776,-3.640000,0.840000,-0.140000
22.569264,0.075152,-0.199104,1.096048,-1.540000,-0.980000,-0.980000
22.577351,-0.099552,-0.140544,0.925248,-3.080000,2.520000,-2.520000
22.585438,0.047824,-0.234240,1.060912,-2.660000,-2.520000,1.120000
22.593525,-0.091256,-0.100040,0.950136,-3.080000,4.340000,-3.360000
22.601613,-0.019520,-0.228384,1.032120,-3.500000,-2.240000,1.540000
22.609700,-0.019032,-0.164456,0.936472,-2.800000,3.220000,-2.800000
22.617787,-0.119072,-0.168848,1.016992,-2.520000,-0.280000,-0.420000
22.625874,0.058072,-0.191784,0.997960,-3.080000,0.140000,-1.120000
22.633961,-0.133224,-0.159576,0.951112,-3.920000,2.100000,-1.820000
22.642049,0.066368,-0.214232,1.057008,-2.100000,-2.660000,0.700000
22.650136,-0.058560,-0.122488,0.972096,-3.080000,4.480000,-3.080000
22.658223,-0.054656,-0.237168,1.011136,-4.060000,-1.960000,-0.420000
22.666310,-0.002928,-0.130784,0.972096,-2.520000,3.080000,-2.520000
22.674397,-0.089792,-0.208864,0.990640,-4.340000,-0.420000,-0.420000
22.682485,-0.000976,-0.183488,1.006256,-2.940000,1.540000,-0.840000
22.690572,-0.081496,-0.191784,0.934032,-3.360000,-0.140000,-1.680000
22.698659,0.004880,-0.183976,1.040904,-3.220000,-0.280000,0.560000
22.706746,-0.055632,-0.183000,0.961848,-3.640000,2.380000,-2.940000
22.714833,0.007808,-0.191296,1.034560,-3.360000,-2.520000,0.980000
22.722921,-0.042456,-0.161528,0.945744,-3.360000,3.640000,-1.960000
22.731008,-0.054656,-0.215208,1.064816,-5.180000,-0.140000,-0.700000
22.739095,-0.001952,-0.148840,0.934520,-3.640000,0.280000,-0.560000
22.747182,-0.096136,-0.181048,1.016016,-4.900000,2.660000,-1.960000
22.755269,-0.020008,-0.211792,0.973560,-4.760000,-1.120000,0.700000
22.763357,-0.021472,-0.178608,0.989176,-4.480000,1.820000,-2.520000
22.771444,-0.064904,-0.211792,0.986736,-4.620000,0.000000,0.560000
22.779531,0.033184,-0.176168,1.004304,-3.640000,-0.140000,-2.100000
22.787618,-0.081008,-0.191296,0.995032,-5.040000,2.100000,-0.140000
