Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
83.678508,0.038552,-0.155184,0.794464,-3.360000,-13.440001,3.080000
83.682574,0.090768,0.024888,1.067744,-4.340000,-5.180000,1.400000
83.686640,0.035136,0.222040,1.226344,-1.120000,-3.780000,-3.360000
83.690706,-0.154696,0.016592,0.787144,2.520000,-7.280000,-0.840000
83.694772,0.033672,-0.095648,0.767136,-3.500000,-5.880000,1.120000
83.698838,0.032696,0.082960,1.189256,-4.760000,-9.240000,-1.260000
83.702905,-0.012688,0.183000,0.906216,2.940000,-7.140000,-1.260000
83.706971,0.053192,0.051728,0.796416,-1.260000,-3.780000,-0.420000
83.711037,-0.069296,-0.006832,0.943792,-4.340000,-11.900000,0.420000
83.715103,-0.010248,0.092720,0.798856,-1.680000,-8.400000,1.260000
83.719169,0.223016,0.059536,1.100928,-3.640000,-0.280000,-0.280000
83.723235,-0.041968,0.031720,1.191696,0.420000,-3.360000,-2.800000
83.727301,-0.180072,0.063928,0.535824,2.380000,3.640000,-0.700000
83.731367,0.113216,-0.001952,1.185352,-3.920000,-0.840000,0.420000
83.735433,0.038552,0.012688,1.150704,-3.220000,-7.840000,-1.400000
83.739499,-0.091744,0.187392,0.626104,3.080000,-0.420000,-2.660000
83.743565,-0.043432,0.085400,0.943792,-0.280000,-3.360000,0.000000
83.747631,0.066856,-0.097112,0.991128,-2.660000,-13.440001,1.820000
83.751698,0.088816,0.114192,0.743224,-2.940000,-3.220000,0.700000
83.755764,0.063440,0.244000,1.112640,-1.260000,4.620000,-1.960000
83.759830,-0.124928,-0.081984,0.981856,1.260000,-4.760000,-0.420000
83.763896,-0.019520,-0.058072,0.689544,-1.540000,-0.980000,1.680000
83.767962,0.104920,0.113704,1.236592,-5.180000,-4.480000,0.980000
83.772028,-0.035136,0.057584,1.005768,0.000000,-5.880000,-0.840000
83.776094,0.024400,0.048800,0.847656,0.840000,-0.980000,-1.680000
83.780160,-0.075640,0.109800,1.005280,-1.540000,-4.060000,-1.400000
83.784226,-0.008296,-0.011224,0.896456,-1.960000,-7.420000,0.140000
83.788292,0.078080,0.109312,0.925736,-2.660000,0.980000,-0.560000
83.792358,0.022936,0.089304,1.108248,-0.140000,-3.920000,-2.240000
83.796424,-0.139568,0.113704,0.657824,0.980000,-6.440000,0.700000
83.800491,0.052216,0.006832,0.930128,-3.640000,0.280000,2.380000
83.804557,0.180072,-0.086376,1.238544,-5.040000,-8.960000,-0.840000
83.808623,-0.092232,0.174216,0.881816,2.800000,-2.240000,-2.940000
83.812689,-0.126880,0.119560,0.881328,1.400000,4.200000,-0.560000
83.816755,0.087840,-0.154696,1.128256,-2.520000,-8.960000,0.560000
83.820821,-0.035136,0.047336,0.913048,-1.540000,-6.720000,0.280000
83.824887,-0.014152,0.264984,0.950136,-0.700000,4.340000,-0.420000
83.828953,0.050264,0.003904,1.059936,-0.420000,-5.040000,-1.120000
83.833019,-0.082960,-0.044408,0.579744,-1.120000,-6.020000,1.260000
83.837085,-0.025864,0.169824,0.987712,-2.940000,1.400000,1.680000
83.841151,0.164944,0.001464,1.226344,-1.820000,-7.000000,-1.120000
83.845217,-0.020496,0.076128,0.725168,0.420000,-2.100000,-2.100000
83.849284,-0.097600,0.104920,0.843264,0.560000,3.920000,-0.980000
83.853350,0.020984,-0.047824,1.180960,-2.380000,-7.420000,0.000000
83.857416,0.089304,-0.041480,0.857904,-0.840000,-3.220000,-1.260000
83.861482,-0.006832,0.198616,1.085800,0.000000,9.660000,-2.380000
83.865548,-0.162016,0.043432,1.111664,1.680000,-1.680000,-0.840000
83.869614,0.062952,-0.092232,0.496784,-2.380000,0.560000,2.100000
83.873680,0.161528,0.118584,1.092632,-2.520000,6.580000,-0.560000
83.877746,-0.089304,0.225456,1.288320,1.540000,3.080000,-3.780000
83.881812,-0.062464,-0.064904,0.624640,1.680000,0.560000,-2.100000
83.885878,-0.016104,-0.000976,0.706136,-2.940000,0.420000,-0.140000
83.889944,0.005368,0.090768,1.253672,1.120000,-2.520000,-0.980000
83.894010,0.095648,0.052216,0.978928,0.560000,0.280000,0.140000
83.898077,-0.009272,0.125904,0.981368,2.100000,8.120000,-2.520000
83.902143,-0.158600,-0.097112,1.039440,1.960000,0.000000,-1.820000
83.906209,-0.008784,-0.064904,0.756888,0.420000,-4.200000,1.540000
83.910275,0.129320,0.176168,1.174616,-3.360000,4.060000,0.700000
83.914341,-0.025376,0.218624,1.254160,0.000000,2.660000,-2.940000
83.918407,-0.128832,-0.035624,0.501176,4.200000,0.140000,-1.400000
83.922473,0.102968,-0.126392,0.796416,-3.360000,-2.520000,-0.840000
83.926539,0.046848,0.186904,1.351760,-1.820000,-3.220000,-2.660000
83.930605,-0.003416,0.226920,0.895968,2.240000,6.300000,-1.960000
83.934671,-0.097600,0.017080,0.901336,0.280000,5.600000,-0.980000
83.938737,-0.073200,-0.235216,1.097512,0.980000,-8.680000,-1.400000
83.942803,0.041480,-0.005368,0.890600,-0.420000,-5.600000,0.700000
83.946870,0.005368,0.335744,1.279536,-2.240000,7.700000,0.700000
83.950936,-0.001952,0.090768,1.050664,3.640000,1.680000,-2.520000
83.955002,-0.024888,-0.124928,0.555832,3.640000,-3.500000,-2.660000
83.959068,-0.026352,0.106872,0.975512,-1.680000,0.980000,-1.120000
83.963134,0.051240,0.102968,1.355664,-0.140000,-5.040000,0.280000
83.967200,-0.027816,-0.018544,0.745176,1.540000,0.840000,-0.280000
83.971266,-0.061488,0.132248,1.198040,1.960000,6.720000,-3.360000
83.975332,-0.007808,-0.029768,1.106784,-0.280000,-6.020000,-3.220000
83.979398,-0.021960,0.026352,0.617320,-1.680000,-4.480000,0.700000
83.983464,0.027328,0.172752,1.016992,0.000000,4.900000,-0.280000
83.987530,0.018544,0.084424,1.175104,2.100000,-1.120000,-2.100000
83.991596,-0.034648,-0.065392,0.891576,0.420000,0.560000,-1.400000
83.995663,-0.050264,0.019520,1.078480,-0.560000,0.140000,-1.540000
83.999729,-0.049288,0.058560,1.016992,3.500000,-4.620000,-2.800000
84.003795,0.022936,0.094672,0.802272,-2.380000,-0.560000,0.420000
84.007861,0.087840,0.243024,1.124840,-2.100000,7.140000,-1.120000
84.011927,-0.101504,-0.063440,1.095560,3.500000,-2.800000,-3.500000
84.015993,-0.104432,-0.166408,0.722240,-0.560000,-2.240000,-1.540000
84.020059,0.068808,0.124928,1.154120,-3.500000,0.420000,0.000000
84.024125,0.047336,0.237656,1.252208,-0.420000,-0.140000,-1.680000
84.028191,-0.126392,0.086376,0.658312,3.220000,3.780000,-2.380000
84.032257,-0.012688,-0.053192,0.777872,0.420000,-0.980000,-0.840000
84.036323,-0.003416,-0.100040,1.258552,-1.960000,-11.060000,-0.840000
84.040390,0.000976,0.044896,1.081408,-2.240000,-6.860000,0.000000
84.044456,-0.078568,0.293776,0.933056,2.100000,6.160000,-1.120000
84.048522,-0.013664,0.020984,1.155584,1.400000,-5.040000,-2.100000
84.052588,0.066368,-0.167384,0.704184,-3.500000,-9.520000,0.420000
84.056654,-0.014152,0.134200,0.971120,-0.980000,3.780000,0.000000
84.060720,-0.055632,0.116144,1.406416,1.820000,3.920000,-1.820000
84.064786,0.015128,-0.021960,1.047736,1.540000,-5.040000,-2.520000
84.068852,-0.042456,0.055144,0.691496,0.000000,-2.100000,-2.380000
84.072918,-0.113216,0.162504,1.046272,2.380000,-5.180000,-2.660000
84.076984,0.080032,-0.067344,0.963800,-1.820000,-12.040000,-0.420000
84.081050,-0.027328,0.103456,0.893528,-2.100000,-2.240000,1.540000
84.085116,0.003904,0.190808,1.379576,2.940000,6.300000,-1.540000
84.089183,-0.068808,-0.116632,0.950624,3.360000,-7.420000,-2.380000
84.093249,-0.052216,-0.003416,0.625128,-2.100000,-6.300000,0.700000
84.097315,0.065392,0.172752,1.232200,-2.520000,-0.280000,1.120000
84.101381,-0.055144,0.113704,1.247328,3.220000,-3.080000,-2.240000
84.105447,-0.036600,-0.035624,0.813008,1.680000,-6.300000,-2.380000
84.109513,0.028792,0.057584,0.832040,-0.140000,-3.920000,-1.260000
84.113579,0.028792,0.001464,1.219024,-2.380000,-10.640000,-0.840000
84.117645,-0.110776,-0.003416,1.064328,-0.560000,-4.620000,-0.980000
84.121711,-0.040016,0.201544,0.957944,2.940000,3.920000,-1.960000
84.125777,0.073688,0.128832,1.206336,-0.420000,-4.480000,-2.240000
84.129843,-0.043432,-0.091744,0.741272,-2.100000,-10.500000,-0.840000
84.133909,-0.078568,-0.049288,0.666120,0.140000,-3.500000,0.700000
84.137976,0.028792,0.202032,1.482056,0.280000,-2.800000,-1.120000
84.142042,0.094184,0.105896,1.202432,-1.260000,-5.600000,-1.820000
84.146108,-0.167384,0.033672,0.551440,-1.680000,-2.240000,-0.700000
84.150174,-0.137128,-0.066856,0.985760,2.100000,-4.760000,-1.540000
84.154240,0.163480,0.025864,1.494256,-3.220000,-10.220000,-0.140000
84.158306,0.042456,0.257664,0.809592,-4.200000,1.540000,0.000000
84.162372,-0.090280,0.173240,0.861808,2.100000,9.800000,-2.800000
84.166438,-0.012200,-0.228384,1.179008,0.700000,-5.320000,-3.360000
84.170504,-0.004392,-0.111264,0.979904,-5.880000,-5.880000,-0.700000
84.174570,-0.051728,0.356728,1.034072,-3.780000,5.880000,0.420000
84.178636,-0.011224,0.259616,1.187304,2.800000,7.280000,-2.800000
84.182702,-0.031720,-0.283528,0.930128,0.700000,-8.260000,-2.660000
84.186769,-0.002928,-0.029280,0.818864,-4.620000,-4.200000,-0.560000
84.190835,-0.075640,0.346480,1.058472,0.420000,6.020000,-0.700000
84.194901,0.064416,0.009272,1.261968,-1.540000,-3.220000,-1.120000
84.198967,-0.026352,-0.109312,1.048224,-5.880000,-3.220000,-0.700000
84.203033,-0.138592,0.144448,0.767136,-1.260000,6.300000,-1.120000
84.207099,0.045872,0.144448,1.105320,-1.260000,-2.940000,-1.680000
84.211165,0.091744,-0.094672,1.160952,-7.420000,-5.460000,0.140000
84.215231,-0.084912,0.054656,0.990640,-0.140000,4.900000,-0.700000
84.219297,-0.113216,0.236192,1.045296,4.340000,7.280000,-3.780000
84.223363,-0.012200,-0.042456,1.051152,-0.280000,-8.400000,-1.820000
84.227429,0.089304,-0.157624,1.002352,-6.860000,-6.720000,2.100000
84.231495,-0.082472,0.313784,1.029680,-0.140000,11.060000,0.000000
84.235562,-0.060512,0.258640,1.189744,6.300000,9.100000,-4.060000
84.239628,0.105896,-0.271816,0.976488,-2.100000,-12.040000,-1.540000
84.243694,-0.087352,-0.109312,0.908168,-7.840000,-2.800000,1.820000
84.247760,-0.150304,0.377224,1.226344,3.080000,7.980000,-0.280000
84.251826,0.131272,0.149816,1.180472,6.860000,1.260000,-3.500000
84.255892,0.086864,-0.186904,1.016992,-3.920000,-5.600000,-1.820000
84.259958,-0.176656,0.060512,0.876448,-1.540000,4.760000,-0.700000
84.264024,-0.025864,0.175680,0.982832,1.960000,2.660000,-1.260000
84.268090,0.026352,-0.013176,1.217560,-2.100000,-3.640000,-0.560000
84.272156,-0.009760,0.009272,1.078480,-0.980000,1.680000,0.840000
84.276222,-0.097600,0.258640,1.109224,1.960000,5.740000,-0.280000
84.280288,-0.026840,-0.003904,0.893528,1.820000,-4.200000,-1.260000
84.284355,0.141520,-0.227896,0.962336,-3.780000,-7.840000,0.280000
84.288421,-0.081496,0.231312,1.182424,-2.520000,7.700000,0.000000
84.292487,-0.064904,0.416752,1.226344,5.180000,8.960000,-2.940000
84.296553,0.013664,-0.238144,0.984784,-1.820000,-7.980000,-2.240000
84.300619,-0.155184,-0.272792,0.833992,-6.580000,-10.500000,0.840000
84.304685,-0.030256,0.361608,1.119960,1.680000,1.400000,0.420000
84.308751,0.060512,0.367464,1.169248,2.940000,0.140000,-1.540000
84.312817,0.081496,-0.187392,1.102880,-1.400000,-11.340000,-1.400000
84.316883,-0.096624,-0.182024,0.790560,0.140000,-6.160000,-1.120000
84.320949,-0.110776,0.259128,0.987712,2.380000,3.500000,-2.520000
84.325015,0.076616,0.094672,1.539640,-0.980000,-5.180000,-1.400000
84.329081,-0.054168,-0.049288,1.067256,-2.100000,-7.560000,0.420000
84.333148,-0.201544,0.153720,0.629032,0.420000,-1.960000,1.120000
84.337214,-0.062952,0.105408,0.883768,3.640000,-11.340000,-0.140000
84.341280,0.185928,-0.189344,1.440576,-3.640000,-23.799999,2.240000
84.345346,0.024888,0.177144,0.886208,-6.300000,-6.160000,2.380000
84.349412,-0.124928,0.280112,0.894504,4.760000,3.920000,-1.260000
84.353478,-0.075640,-0.147376,1.303448,4.340000,-10.920000,-2.940000
84.357544,-0.002928,-0.173728,1.046272,-7.560000,-21.840000,0.140000
84.361610,0.009272,0.273768,0.699304,-2.520000,-13.300000,1.260000
84.365676,-0.085888,0.368440,1.122400,3.080000,-3.080000,-1.120000
84.369742,0.026840,-0.149816,1.352248,1.540000,-14.280000,-0.980000
84.373808,0.066368,-0.171776,0.653920,-3.360000,-17.639999,0.700000
84.377874,-0.152256,0.122976,1.136552,-0.560000,-5.880000,0.560000
84.381941,-0.016104,0.268400,1.498160,2.100000,-6.720000,-0.700000
84.386007,0.105408,0.058560,0.821304,-2.380000,-14.420000,0.140000
84.390073,-0.154696,-0.081496,0.553880,-0.560000,-12.880000,-0.700000
84.394139,-0.077592,0.020008,1.247816,3.500000,-14.700000,-1.260000
84.398205,0.121024,0.138104,1.404464,-3.080000,-19.740000,-0.420000
84.402271,-0.002928,0.013176,0.820816,-5.880000,-16.520000,2.660000
84.406337,-0.104920,0.108336,0.945256,2.380000,-4.620000,-0.420000
84.410403,-0.079544,0.145912,1.104344,3.920000,-7.000000,-3.220000
84.414469,0.087840,-0.074664,1.036024,-3.920000,-23.660000,-0.140000
84.418535,0.026352,-0.054656,0.980392,-6.020000,-19.180000,3.080000
84.422601,-0.163968,0.258640,0.908168,1.960000,-4.060000,1.260000
84.426667,0.022936,0.090768,1.374696,3.780000,-11.760000,-2.100000
84.430734,0.100528,-0.168360,1.179496,-6.160000,-22.400000,-0.280000
84.434800,-0.096624,0.126880,0.590480,-5.040000,-10.920000,1.120000
84.438866,-0.054656,0.258640,1.079944,-0.560000,-3.220000,0.140000
84.442932,0.019032,-0.003416,1.462048,-0.280000,-12.880000,-1.120000
