Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
49.319962,-0.219600,0.136152,0.797392,2.940000,12.460000,-3.080000
49.324028,-0.040992,-0.268400,1.017480,1.260000,-7.140000,-2.100000
49.328094,0.055144,-0.086864,1.033584,-5.880000,-3.780000,1.820000
49.332160,0.011224,0.284504,1.014552,-3.080000,6.300000,0.280000
49.336227,-0.065392,0.028792,1.330776,2.100000,3.500000,-1.820000
49.340293,-0.087840,-0.200568,0.691008,-0.980000,-7.560000,-0.280000
49.344359,-0.001952,-0.017080,0.725656,-2.100000,-3.500000,1.540000
49.348425,-0.056608,0.167872,1.462048,2.380000,4.340000,-1.540000
49.352491,0.129320,-0.022936,1.134600,-3.080000,-4.480000,-1.260000
49.356557,-0.142008,0.042944,0.542656,0.140000,1.820000,-1.680000
49.360623,-0.223016,-0.032208,0.919392,2.940000,8.680000,-3.220000
49.364689,0.146888,-0.029768,1.409344,-2.520000,-9.520000,-0.980000
49.368755,0.045872,0.123952,0.879864,-4.760000,-1.540000,0.980000
49.372822,-0.178120,0.082472,0.830088,2.100000,7.140000,-1.400000
49.376888,-0.002440,-0.121024,1.064328,2.380000,-4.340000,-1.820000
49.380954,0.047336,-0.092232,0.849120,-4.620000,-6.440000,1.260000
49.385020,0.040016,0.092232,1.048224,-0.140000,1.680000,0.140000
49.389086,-0.011712,0.204960,1.223416,1.400000,6.020000,-2.940000
49.393152,-0.089304,-0.147864,0.691008,-0.140000,-3.360000,-1.960000
49.397218,-0.110288,-0.200568,0.710040,0.700000,-4.620000,0.700000
49.401284,-0.001464,0.171776,1.321504,0.840000,5.040000,-0.140000
49.405351,0.131760,0.056608,1.333704,-1.260000,-5.460000,-0.560000
49.409417,-0.123464,-0.090280,0.768600,1.120000,-1.400000,0.140000
49.413483,-0.204472,0.007808,0.667584,1.820000,6.300000,0.280000
49.417549,0.126880,-0.086864,1.410320,0.420000,-6.300000,0.000000
49.421615,0.072712,0.029768,1.322968,-0.700000,-2.520000,-0.140000
49.425681,-0.153232,0.215208,0.639280,5.600000,5.320000,-1.680000
49.429747,-0.017568,-0.080032,1.091168,4.200000,-1.540000,-1.820000
49.433813,-0.104432,-0.164456,0.861320,-0.420000,-5.180000,0.140000
49.437879,-0.004392,0.151768,0.862784,4.060000,-0.140000,0.000000
49.441946,0.103944,0.152256,1.539640,2.520000,3.640000,-1.680000
49.446012,-0.072224,-0.007320,0.824232,1.540000,-1.540000,-1.400000
