Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
5.072310,0.087352,0.128344,1.045296,-3.220000,-3.220000,-0.840000
5.076376,0.052216,0.134200,1.384456,-5.460000,12.880000,-3.220000
5.080442,-0.100528,-0.087352,1.314672,-0.560000,4.340000,-4.060000
5.084508,0.018056,-0.111264,0.948184,-1.540000,-4.760000,0.280000
5.088574,-0.051728,0.268400,1.204384,-3.640000,11.900000,0.840000
5.092640,-0.008296,0.050264,1.313696,7.000000,-0.560000,-2.800000
5.096706,0.132736,-0.209352,1.085312,-1.260000,-9.800000,-0.140000
5.100772,-0.076128,0.219112,0.864248,-6.580000,10.780000,2.660000
5.104838,0.038064,0.112240,1.335168,5.040000,7.280000,-0.560000
5.108904,-0.022936,-0.119072,1.161928,2.940000,0.420000,-1.540000
5.112971,0.005368,0.090280,1.004792,-2.520000,9.380000,-1.260000
5.117037,0.011712,0.035624,1.279536,2.800000,-0.140000,-0.980000
5.121103,-0.099552,-0.056120,1.201944,2.520000,-4.760000,-0.560000
5.125169,0.105896,0.097600,0.829112,-1.820000,5.600000,-0.140000
5.129235,-0.002440,0.166408,1.472784,0.840000,9.660000,-2.800000
5.133301,-0.098088,0.025864,1.433744,0.980000,3.920000,-3.780000
5.137367,0.028792,-0.163480,0.534848,-0.980000,-7.280000,0.000000
5.141433,0.007320,0.127368,1.199992,-2.940000,4.620000,0.140000
5.145499,0.008784,0.068320,1.370792,0.840000,3.780000,-1.540000
5.149565,0.076616,0.040504,0.955504,0.840000,-1.260000,-1.820000
5.153631,0.029768,0.070760,1.105320,-1.400000,0.700000,-1.820000
5.157697,-0.067832,-0.008296,1.330288,-3.080000,-0.560000,-1.680000
5.161763,-0.032208,-0.058560,0.724680,-3.640000,-6.720000,0.980000
5.165829,0.066368,0.172264,1.153144,-4.760000,9.240000,0.280000
5.169896,0.076128,0.186416,1.460096,-1.680000,5.040000,-2.240000
5.173962,-0.044408,-0.056120,0.982832,-3.220000,-2.660000,-1.820000
5.178028,-0.133224,-0.232776,0.734928,-3.220000,-3.360000,0.980000
5.182094,0.037576,0.136152,1.236592,0.700000,0.140000,-0.140000
5.186160,0.111264,0.282064,1.521584,0.420000,-1.820000,-1.680000
5.190226,0.058560,-0.107360,0.945256,-1.540000,-2.240000,-1.540000
5.194292,-0.134200,0.028304,0.828624,-0.840000,3.080000,-0.700000
5.198358,0.067832,0.011712,1.190720,-2.520000,-1.120000,-0.140000
5.202424,0.082472,-0.010736,1.156560,-4.200000,-1.680000,0.560000
5.206490,0.000976,0.162992,1.040904,-0.420000,4.900000,-0.560000
5.210556,0.041968,0.120536,1.204384,-1.260000,2.800000,-1.540000
5.214622,-0.066368,-0.160064,0.923784,-1.540000,-6.860000,-0.280000
5.218688,-0.019032,-0.083936,0.860344,-4.340000,-1.400000,1.820000
5.222754,0.108336,0.310368,1.407392,-2.100000,5.320000,-1.400000
5.226821,0.089304,0.156160,1.280024,-1.260000,3.500000,-2.940000
