Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
137.764568,-0.167384,0.246440,0.600728,2.100000,4.760000,-1.680000
137.768635,0.233264,-0.281576,0.651480,-8.400000,-7.420000,-0.840000
137.772701,-0.247904,0.229360,0.571936,-2.380000,5.040000,-1.120000
137.776767,0.119560,-0.135176,0.705160,0.420000,-2.660000,-2.240000
137.780833,-0.083448,-0.026840,0.545584,-6.300000,1.680000,0.700000
137.784899,0.031720,0.031232,0.851560,0.840000,0.000000,-1.120000
137.788965,-0.068808,-0.042456,0.303536,-1.820000,4.480000,0.700000
137.793031,0.112240,0.028792,0.908656,-1.540000,-1.540000,-0.560000
137.797097,-0.247416,0.031232,0.427488,-1.960000,4.060000,1.400000
137.801163,0.227408,-0.049288,1.048712,0.700000,-0.840000,-2.380000
137.805229,-0.174704,-0.063928,0.410896,-8.820000,-1.680000,2.100000
137.809295,-0.096624,0.268400,0.963800,9.660000,8.680000,-4.060000
137.813361,0.296216,-0.447008,0.846680,-12.320000,-8.960000,2.240000
137.817427,-0.479216,0.407968,0.661728,6.720000,9.940000,-2.380000
137.821493,0.358192,-0.277184,0.962824,-0.980000,-5.600000,-0.840000
137.825559,-0.142984,0.063440,0.575840,-5.180000,0.560000,-0.840000
137.829626,-0.024400,0.183488,1.216096,3.080000,7.140000,-3.920000
137.833692,0.067344,-0.233264,0.837408,-2.380000,-8.960000,-1.820000
137.837758,-0.121024,0.062464,0.969168,0.560000,4.340000,-1.120000
137.841824,-0.137128,0.047824,1.442040,1.960000,4.620000,-0.700000
137.845890,0.124928,0.074176,1.296128,-0.420000,-6.160000,-0.280000
137.849956,-0.135176,-0.083448,0.743224,0.140000,2.240000,0.420000
137.854022,-0.134688,-0.061976,1.310280,3.220000,3.220000,0.140000
