Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
40.375753,-0.008296,0.027328,1.006744,-0.420000,-0.560000,-0.280000
40.379819,-0.008784,0.028304,1.006256,-0.700000,-0.420000,-0.280000
40.383885,-0.008296,0.028792,1.007232,-0.560000,-0.560000,-0.420000
40.387951,-0.009272,0.026840,1.007232,-0.700000,-0.420000,-0.420000
40.392018,-0.008784,0.027328,1.007232,-0.560000,-0.420000,-0.420000
40.396084,-0.007320,0.027328,1.006256,-0.560000,-0.420000,-0.420000
40.400150,-0.007808,0.027816,1.007720,-0.560000,-0.420000,-0.420000
40.404216,-0.007808,0.026840,1.005768,-0.560000,-0.420000,-0.420000
40.408283,-0.009272,0.029280,1.008208,-0.560000,-0.420000,-0.420000
40.412349,-0.008784,0.028304,1.006744,-0.560000,-0.420000,-0.420000
40.416415,-0.008784,0.026840,1.005768,-0.560000,-0.420000,-0.420000
40.420481,-0.007320,0.027328,1.007232,-0.700000,-0.420000,-0.420000
40.424548,-0.008784,0.027328,1.005768,-0.560000,-0.420000,-0.420000
40.428614,-0.008784,0.026352,1.007720,-0.560000,-0.420000,-0.420000
40.432680,-0.007808,0.027816,1.007232,-0.560000,-0.420000,-0.420000
40.436746,-0.008784,0.027328,1.006744,-0.560000,-0.280000,-0.420000
40.440813,-0.009272,0.027328,1.007232,-0.420000,-0.420000,-0.420000
40.444879,-0.009760,0.026352,1.005768,-0.560000,-0.420000,-0.420000
40.448945,-0.008784,0.027328,1.008208,-0.560000,-0.420000,-0.420000
40.453011,-0.007808,0.028304,1.007232,-0.560000,-0.420000,-0.420000
40.457078,-0.008784,0.027816,1.007232,-0.560000,-0.420000,-0.420000
40.461144,-0.008296,0.027328,1.005768,-0.700000,-0.420000,-0.420000
40.465210,-0.009272,0.028304,1.006744,-0.560000,-0.420000,-0.280000
40.469277,-0.008296,0.026840,1.007232,-0.560000,-0.560000,-0.420000
40.473343,-0.007320,0.027816,1.006744,-0.700000,-0.420000,-0.420000
40.477409,-0.008296,0.027816,1.006744,-0.560000,-0.420000,-0.420000
40.481475,-0.008296,0.027328,1.005280,-0.560000,-0.420000,-0.280000
40.485542,-0.008296,0.026840,1.006744,-0.700000,-0.420000,-0.420000
40.489608,-0.009272,0.027328,1.004792,-0.560000,-0.420000,-0.420000
40.493674,-0.009272,0.027816,1.005768,-0.700000,-0.420000,-0.420000
40.497740,-0.007808,0.027816,1.006256,-0.560000,-0.420000,-0.420000
40.501807,-0.008296,0.028792,1.007232,-0.560000,-0.420000,-0.420000
40.505873,-0.009272,0.028792,1.006256,-0.560000,-0.420000,-0.280000
40.509939,-0.008296,0.028304,1.006256,-0.560000,-0.280000,-0.420000
40.514005,-0.009272,0.027328,1.004792,-0.560000,-0.420000,-0.420000
40.518072,-0.008784,0.027328,1.006256,-0.560000,-0.420000,-0.420000
40.522138,-0.008296,0.028304,1.005280,-0.560000,-0.560000,-0.420000
40.526204,-0.008296,0.028304,1.007232,-0.700000,-0.420000,-0.420000
40.530270,-0.007808,0.026840,1.005768,-0.560000,-0.420000,-0.420000
40.534337,-0.008296,0.027816,1.006256,-0.560000,-0.420000,-0.420000
40.538403,-0.007808,0.027328,1.006744,-0.560000,-0.420000,-0.420000
40.542469,-0.008784,0.028304,1.004792,-0.560000,-0.420000,-0.420000
40.546535,-0.008784,0.027816,1.005768,-0.560000,-0.420000,-0.420000
40.550602,-0.007808,0.027816,1.005768,-0.560000,-0.420000,-0.280000
40.554668,-0.008784,0.027816,1.007232,-0.560000,-0.420000,-0.420000
40.558734,-0.007808,0.027328,1.006744,-0.560000,-0.420000,-0.420000
40.562800,-0.008296,0.027816,1.005768,-0.560000,-0.280000,-0.420000
40.566867,-0.007808,0.028304,1.006744,-0.560000,-0.420000,-0.280000
40.570933,-0.007808,0.027328,1.007232,-0.560000,-0.420000,-0.280000
40.574999,-0.007808,0.027816,1.006744,-0.700000,-0.420000,-0.420000
40.579065,-0.009272,0.027328,1.006744,-0.700000,-0.420000,-0.420000
40.583132,-0.007808,0.027816,1.006744,-0.560000,-0.420000,-0.280000
40.587198,-0.008296,0.026840,1.005280,-0.700000,-0.420000,-0.420000
40.591264,-0.008296,0.027816,1.006744,-0.560000,-0.420000,-0.420000
40.595330,-0.008784,0.027328,1.006256,-0.560000,-0.280000,-0.420000
40.599397,-0.008784,0.028304,1.006256,-0.700000,-0.420000,-0.420000
40.603463,-0.008296,0.027816,1.008208,-0.560000,-0.420000,-0.420000
40.607529,-0.008296,0.027328,1.007720,-0.700000,-0.420000,-0.420000
40.611595,-0.009760,0.027328,1.007232,-0.560000,-0.420000,-0.420000
40.615662,-0.009272,0.026840,1.006744,-0.700000,-0.420000,-0.420000
40.619728,-0.009272,0.028792,1.006256,-0.560000,-0.560000,-0.420000
40.623794,-0.007808,0.027328,1.006744,-0.560000,-0.420000,-0.420000
40.627860,-0.008296,0.027816,1.007232,-0.560000,-0.420000,-0.420000
40.631927,-0.008784,0.027328,1.007720,-0.560000,-0.280000,-0.420000
40.635993,-0.008784,0.027816,1.008208,-0.560000,-0.420000,-0.280000
40.640059,-0.008296,0.028304,1.006744,-0.420000,-0.420000,-0.420000
40.644125,-0.008296,0.027816,1.008208,-0.700000,-0.420000,-0.280000
40.648192,-0.008296,0.028304,1.007232,-0.560000,-0.420000,-0.280000
40.652258,-0.009272,0.027816,1.007720,-0.560000,-0.420000,-0.420000
40.656324,-0.007808,0.026840,1.006256,-0.700000,-0.420000,-0.420000
