Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
0.689071,-0.014152,0.026840,1.009184,-0.700000,-0.420000,-0.420000
0.693137,-0.014640,0.026352,1.007720,-0.560000,-0.420000,-0.420000
0.697204,-0.014152,0.025864,1.007720,-0.700000,-0.420000,-0.420000
0.701270,-0.014640,0.025864,1.008208,-0.700000,-0.280000,-0.420000
0.705337,-0.014640,0.025864,1.008696,-0.560000,-0.420000,-0.420000
0.709403,-0.014640,0.026352,1.007720,-0.700000,-0.420000,-0.420000
0.713469,-0.014640,0.026840,1.008208,-0.560000,-0.420000,-0.420000
0.717536,-0.015128,0.026840,1.009184,-0.700000,-0.420000,-0.420000
0.721602,-0.014152,0.025864,1.010160,-0.700000,-0.420000,-0.420000
0.725669,-0.015128,0.026840,1.007720,-0.560000,-0.560000,-0.420000
0.729735,-0.014640,0.026840,1.007232,-0.560000,-0.420000,-0.420000
0.733802,-0.013664,0.026352,1.007720,-0.560000,-0.420000,-0.420000
0.737868,-0.014640,0.026352,1.008696,-0.700000,-0.420000,-0.420000
0.741935,-0.015616,0.025864,1.007720,-0.560000,-0.280000,-0.420000
0.746001,-0.015128,0.026352,1.007720,-0.560000,-0.420000,-0.420000
0.750068,-0.014640,0.027328,1.007720,-0.700000,-0.420000,-0.420000
0.754134,-0.013664,0.025376,1.006256,-0.700000,-0.280000,-0.420000
0.758201,-0.013176,0.025376,1.008208,-0.560000,-0.420000,-0.420000
0.762267,-0.014640,0.026840,1.008208,-0.560000,-0.420000,-0.420000
0.766333,-0.014640,0.026352,1.008696,-0.560000,-0.420000,-0.280000
0.770400,-0.016104,0.026840,1.007720,-0.560000,-0.280000,-0.420000
0.774466,-0.015616,0.025376,1.009672,-0.700000,-0.560000,-0.420000
0.778533,-0.015616,0.026840,1.007232,-0.560000,-0.420000,-0.280000
0.782599,-0.014640,0.026352,1.007720,-0.560000,-0.280000,-0.420000
0.786666,-0.014640,0.026840,1.008696,-0.560000,-0.280000,-0.420000
0.790732,-0.015128,0.026840,1.007720,-0.560000,-0.420000,-0.420000
0.794799,-0.015616,0.026352,1.008208,-0.700000,-0.420000,-0.420000
0.798865,-0.014640,0.026840,1.009184,-0.700000,-0.560000,-0.420000
0.802932,-0.014152,0.026840,1.009184,-0.700000,-0.420000,-0.420000
0.806998,-0.014152,0.026840,1.008208,-0.560000,-0.420000,-0.420000
0.811065,-0.015128,0.026352,1.008696,-0.700000,-0.420000,-0.280000
0.815131,-0.015616,0.025864,1.008696,-0.560000,-0.420000,-0.280000
0.819197,-0.015616,0.026840,1.009184,-0.560000,-0.420000,-0.280000
0.823264,-0.014640,0.026840,1.007720,-0.560000,-0.420000,-0.420000
0.827330,-0.014640,0.026352,1.007720,-0.560000,-0.420000,-0.420000
0.831397,-0.014152,0.026840,1.008208,-0.700000,-0.560000,-0.280000
0.835463,-0.014152,0.026352,1.008208,-0.560000,-0.420000,-0.420000
0.839530,-0.014640,0.026840,1.007720,-0.420000,-0.420000,-0.420000
0.843596,-0.014640,0.026840,1.007720,-0.560000,-0.560000,-0.420000
0.847663,-0.013664,0.027328,1.006744,-0.560000,-0.420000,-0.420000
0.851729,-0.013664,0.026352,1.008696,-0.560000,-0.420000,-0.280000
0.855796,-0.014152,0.026840,1.008208,-0.560000,-0.420000,-0.280000
0.859862,-0.014640,0.026352,1.008208,-0.560000,-0.420000,-0.420000
0.863929,-0.015128,0.025376,1.009184,-0.560000,-0.420000,-0.420000
0.867995,-0.013664,0.026840,1.008208,-0.560000,-0.420000,-0.420000
0.872061,-0.015128,0.026840,1.008208,-0.560000,-0.420000,-0.420000
0.876128,-0.014640,0.027328,1.007720,-0.700000,-0.560000,-0.420000
0.880194,-0.014640,0.025864,1.008696,-0.560000,-0.420000,-0.420000
0.884261,-0.015616,0.026352,1.008208,-0.700000,-0.560000,-0.420000
0.888327,-0.014152,0.026352,1.008208,-0.560000,-0.420000,-0.420000
0.892394,-0.014640,0.026352,1.009672,-0.700000,-0.280000,-0.420000
0.896460,-0.015128,0.025864,1.008696,-0.420000,-0.420000,-0.420000
0.900527,-0.015128,0.025864,1.008208,-0.560000,-0.420000,-0.420000
0.904593,-0.015616,0.025864,1.007720,-0.560000,-0.420000,-0.420000
0.908660,-0.014152,0.026352,1.009184,-0.700000,-0.420000,-0.420000
0.912726,-0.013176,0.025376,1.009672,-0.560000,-0.560000,-0.420000
0.916793,-0.014152,0.026352,1.009184,-0.560000,-0.420000,-0.420000
0.920859,-0.015128,0.025376,1.008696,-0.560000,-0.420000,-0.280000
0.924925,-0.014640,0.027328,1.008208,-0.560000,-0.420000,-0.420000
0.928992,-0.015128,0.026840,1.007720,-0.560000,-0.420000,-0.420000
0.933058,-0.015128,0.026352,1.008696,-0.560000,-0.420000,-0.420000
0.937125,-0.015128,0.027328,1.008208,-0.700000,-0.420000,-0.420000
0.941191,-0.015616,0.026352,1.008696,-0.560000,-0.420000,-0.420000
0.945258,-0.015128,0.026352,1.008208,-0.560000,-0.420000,-0.420000
0.949324,-0.015616,0.026840,1.008696,-0.700000,-0.420000,-0.420000
0.953391,-0.014640,0.027328,1.007232,-0.560000,-0.420000,-0.420000
0.957457,-0.013664,0.026840,1.008208,-0.700000,-0.420000,-0.280000
0.961524,-0.015128,0.026840,1.008696,-0.560000,-0.420000,-0.280000
0.965590,-0.015128,0.025864,1.008696,-0.560000,-0.560000,-0.420000
0.969656,-0.014152,0.025864,1.008696,-0.560000,-0.420000,-0.420000
0.973723,-0.014640,0.026840,1.008696,-0.700000,-0.420000,-0.420000
0.977789,-0.014640,0.026352,1.007232,-0.700000,-0.280000,-0.420000
0.981856,-0.014152,0.026352,1.008208,-0.560000,-0.420000,-0.420000
0.985922,-0.014152,0.025864,1.008208,-0.560000,-0.420000,-0.420000
0.989989,-0.015128,0.025864,1.009672,-0.560000,-0.420000,-0.420000
0.994055,-0.015128,0.026352,1.008696,-0.700000,-0.560000,-0.280000
0.998122,-0.016104,0.026352,1.008208,-0.700000,-0.420000,-0.420000
1.002188,-0.015128,0.026352,1.008208,-0.700000,-0.420000,-0.420000
1.006255,-0.015616,0.026840,1.008208,-0.560000,-0.420000,-0.420000
1.010321,-0.014640,0.027328,1.009184,-0.560000,-0.280000,-0.420000
1.014388,-0.014152,0.026840,1.008208,-0.560000,-0.420000,-0.420000
1.018454,-0.014640,0.026840,1.008208,-0.560000,-0.420000,-0.420000
1.022520,-0.014640,0.026352,1.007720,-0.700000,-0.420000,-0.420000
1.026587,-0.014640,0.025864,1.008696,-0.560000,-0.560000,-0.420000
1.030653,-0.015128,0.025864,1.009672,-0.700000,-0.280000,-0.420000
1.034720,-0.015128,0.026840,1.007720,-0.560000,-0.420000,-0.420000
1.038786,-0.014152,0.025864,1.007720,-0.560000,-0.560000,-0.420000
1.042853,-0.015616,0.026840,1.008208,-0.700000,-0.280000,-0.420000
1.046919,-0.013664,0.026840,1.008696,-0.560000,-0.280000,-0.420000
1.050986,-0.014640,0.025376,1.008208,-0.700000,-0.280000,-0.420000
1.055052,-0.015616,0.026840,1.007232,-0.700000,-0.420000,-0.420000
1.059119,-0.014152,0.027328,1.008208,-0.560000,-0.420000,-0.420000
1.063185,-0.015128,0.025864,1.007720,-0.560000,-0.420000,-0.420000
1.067252,-0.014152,0.026840,1.008208,-0.560000,-0.420000,-0.420000
1.071318,-0.014640,0.026352,1.007232,-0.700000,-0.420000,-0.280000
1.075384,-0.015128,0.025864,1.009184,-0.700000,-0.420000,-0.280000
1.079451,-0.014640,0.026840,1.009672,-0.700000,-0.280000,-0.420000
1.083517,-0.014640,0.026840,1.008208,-0.560000,-0.420000,-0.420000
1.087584,-0.014152,0.026840,1.007720,-0.420000,-0.420000,-0.420000
1.091650,-0.015616,0.026352,1.008208,-0.700000,-0.280000,-0.420000
1.095717,-0.014152,0.026352,1.009672,-0.560000,-0.560000,-0.420000
1.099783,-0.014152,0.026840,1.007720,-0.560000,-0.420000,-0.420000
1.103850,-0.014640,0.026352,1.007720,-0.560000,-0.420000,-0.420000
1.107916,-0.014152,0.025864,1.008696,-0.700000,-0.420000,-0.420000
1.111983,-0.015128,0.026840,1.009672,-0.560000,-0.420000,-0.420000
1.116049,-0.014640,0.026840,1.009672,-0.560000,-0.420000,-0.420000
1.120116,-0.014152,0.026840,1.006744,-0.700000,-0.280000,-0.420000
1.124182,-0.014640,0.027328,1.009672,-0.560000,-0.560000,-0.420000
1.128248,-0.014640,0.026352,1.007232,-0.420000,-0.420000,-0.420000
1.132315,-0.014640,0.024888,1.008208,-0.560000,-0.420000,-0.420000
1.136381,-0.015128,0.027328,1.007720,-0.700000,-0.420000,-0.420000
1.140448,-0.014640,0.026840,1.007232,-0.560000,-0.420000,-0.420000
1.144514,-0.014152,0.027328,1.007720,-0.700000,-0.420000,-0.420000
1.148581,-0.015128,0.026352,1.009672,-0.560000,-0.420000,-0.280000
1.152647,-0.015128,0.026352,1.007720,-0.560000,-0.420000,-0.420000
1.156714,-0.014152,0.026352,1.007720,-0.560000,-0.420000,-0.420000
1.160780,-0.014640,0.026352,1.008696,-0.700000,-0.280000,-0.420000
1.164847,-0.015128,0.025864,1.008696,-0.700000,-0.280000,-0.420000
1.168913,-0.014152,0.026840,1.008696,-0.700000,-0.420000,-0.420000
1.172980,-0.014640,0.026352,1.008696,-0.700000,-0.280000,-0.280000
1.177046,-0.014640,0.025376,1.008208,-0.560000,-0.420000,-0.420000
1.181112,-0.014152,0.026352,1.009184,-0.560000,-0.420000,-0.420000
1.185179,-0.014640,0.026352,1.008208,-0.700000,-0.420000,-0.420000
1.189245,-0.015128,0.025864,1.007720,-0.560000,-0.560000,-0.420000
1.193312,-0.014152,0.026352,1.008208,-0.560000,-0.420000,-0.420000
1.197378,-0.014640,0.026840,1.009184,-0.700000,-0.280000,-0.420000
1.201445,-0.015616,0.025864,1.008208,-0.560000,-0.420000,-0.420000
1.205511,-0.015128,0.025864,1.008696,-0.560000,-0.560000,-0.420000
1.209578,-0.015128,0.026352,1.008208,-0.700000,-0.420000,-0.280000
1.213644,-0.014640,0.027328,1.008208,-0.560000,-0.420000,-0.420000
1.217711,-0.014640,0.025864,1.007720,-0.560000,-0.280000,-0.420000
1.221777,-0.014152,0.026840,1.008696,-0.560000,-0.420000,-0.280000
1.225844,-0.015128,0.027328,1.006744,-0.700000,-0.420000,-0.420000
1.229910,-0.015616,0.025376,1.007232,-0.560000,-0.420000,-0.420000
1.233976,-0.014152,0.026840,1.008696,-0.560000,-0.420000,-0.420000
1.238043,-0.015128,0.027328,1.008696,-0.560000,-0.420000,-0.420000
1.242109,-0.015128,0.025864,1.008696,-0.560000,-0.420000,-0.420000
1.246176,-0.014152,0.026352,1.008696,-0.700000,-0.420000,-0.420000
1.250242,-0.014640,0.025864,1.009184,-0.560000,-0.420000,-0.420000
1.254309,-0.015616,0.025376,1.009184,-0.560000,-0.420000,-0.420000
1.258375,-0.014152,0.024888,1.008208,-0.560000,-0.420000,-0.420000
1.262442,-0.014640,0.026840,1.006744,-0.560000,-0.560000,-0.420000
1.266508,-0.015128,0.025864,1.009672,-0.560000,-0.280000,-0.420000
1.270575,-0.014640,0.025376,1.008696,-0.560000,-0.420000,-0.420000
1.274641,-0.014640,0.026840,1.009184,-0.560000,-0.280000,-0.420000
1.278708,-0.014640,0.025864,1.008208,-0.560000,-0.420000,-0.420000
1.282774,-0.014152,0.026840,1.008208,-0.560000,-0.420000,-0.280000
1.286840,-0.014640,0.026840,1.007232,-0.700000,-0.420000,-0.280000
1.290907,-0.014640,0.026352,1.008696,-0.560000,-0.420000,-0.420000
1.294973,-0.015128,0.026840,1.008208,-0.560000,-0.420000,-0.420000
1.299040,-0.015128,0.026352,1.009184,-0.560000,-0.420000,-0.420000
1.303106,-0.014640,0.026840,1.009184,-0.560000,-0.280000,-0.420000
1.307173,-0.014152,0.026840,1.007720,-0.560000,-0.560000,-0.280000
1.311239,-0.013664,0.026352,1.007232,-0.700000,-0.280000,-0.280000
1.315306,-0.015616,0.025864,1.008208,-0.560000,-0.420000,-0.420000
1.319372,-0.014152,0.026352,1.009184,-0.560000,-0.420000,-0.420000
1.323439,-0.015128,0.025376,1.008696,-0.560000,-0.420000,-0.420000
1.327505,-0.015128,0.024888,1.009672,-0.560000,-0.280000,-0.420000
1.331572,-0.015128,0.026352,1.008696,-0.700000,-0.420000,-0.280000
1.335638,-0.014640,0.026352,1.008696,-0.560000,-0.420000,-0.420000
1.339704,-0.015128,0.025376,1.008208,-0.560000,-0.280000,-0.420000
1.343771,-0.014640,0.025864,1.008696,-0.700000,-0.420000,-0.420000
1.347837,-0.014152,0.026840,1.010160,-0.700000,-0.420000,-0.420000
1.351904,-0.014640,0.026352,1.008696,-0.560000,-0.420000,-0.420000
1.355970,-0.014152,0.026840,1.008696,-0.700000,-0.560000,-0.420000
1.360037,-0.014640,0.026352,1.008208,-0.700000,-0.420000,-0.420000
1.364103,-0.013176,0.026352,1.007720,-0.560000,-0.420000,-0.280000
1.368170,-0.015616,0.026840,1.008696,-0.560000,-0.420000,-0.420000
1.372236,-0.014640,0.027328,1.010648,-0.700000,-0.280000,-0.280000
1.376303,-0.014640,0.025864,1.008208,-0.560000,-0.280000,-0.420000
1.380369,-0.013664,0.025864,1.008696,-0.560000,-0.420000,-0.420000
1.384436,-0.014152,0.026352,1.008696,-0.700000,-0.420000,-0.280000
1.388502,-0.013664,0.025376,1.006744,-0.560000,-0.420000,-0.420000
1.392568,-0.014640,0.026352,1.008696,-0.560000,-0.420000,-0.420000
