Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
1.362669,-0.039040,0.013664,1.010648,0.840000,0.560000,-0.840000
1.370773,-0.038552,0.013176,1.010160,0.840000,0.560000,-0.700000
1.378878,-0.038552,0.013664,1.010160,0.840000,0.560000,-0.840000
1.386982,-0.038552,0.012688,1.009672,0.840000,0.560000,-0.840000
1.395086,-0.038064,0.013664,1.010160,0.840000,0.560000,-0.840000
1.403190,-0.039040,0.013176,1.010160,0.840000,0.560000,-0.840000
1.411294,-0.040016,0.013664,1.010648,0.840000,0.420000,-0.840000
1.419398,-0.039528,0.013176,1.009672,0.840000,0.560000,-0.840000
1.427502,-0.039528,0.013176,1.010160,0.840000,0.560000,-0.840000
1.435607,-0.039040,0.013176,1.011136,0.840000,0.560000,-0.840000
1.443711,-0.038552,0.012688,1.010160,0.700000,0.560000,-0.840000
1.451815,-0.039040,0.013176,1.010648,0.700000,0.560000,-0.840000
1.459919,-0.038552,0.013176,1.010160,0.840000,0.560000,-0.840000
1.468023,-0.038552,0.013664,1.009672,0.980000,0.560000,-0.840000
1.476127,-0.039528,0.013176,1.010648,0.840000,0.700000,-0.840000
1.484231,-0.038552,0.013176,1.011624,0.840000,0.560000,-0.840000
1.492335,-0.038552,0.013664,1.009672,0.840000,0.560000,-0.840000
1.500440,-0.038552,0.013176,1.011136,0.840000,0.560000,-0.840000
1.508544,-0.039040,0.012200,1.010160,0.840000,0.560000,-0.840000
1.516648,-0.038552,0.013664,1.011624,0.840000,0.700000,-0.840000
1.524752,-0.038552,0.014152,1.010160,0.840000,0.560000,-0.840000
1.532856,-0.039040,0.012688,1.010160,0.840000,0.560000,-0.840000
1.540960,-0.039040,0.013176,1.010160,0.840000,0.560000,-0.840000
1.549064,-0.039040,0.013664,1.010648,0.840000,0.700000,-0.840000
1.557169,-0.039040,0.012688,1.010160,0.700000,0.560000,-0.840000
1.565273,-0.038064,0.013176,1.008696,0.840000,0.560000,-0.840000
1.573377,-0.037576,0.012688,1.009672,0.700000,0.560000,-0.840000
1.581481,-0.039040,0.013664,1.009672,0.840000,0.560000,-0.840000
1.589585,-0.038552,0.013176,1.010160,0.840000,0.560000,-0.840000
1.597689,-0.038552,0.013176,1.010160,0.980000,0.560000,-0.840000
1.605793,-0.039040,0.013176,1.009672,0.840000,0.560000,-0.840000
1.613897,-0.038552,0.013176,1.010160,0.840000,0.560000,-0.840000
1.622002,-0.039040,0.013664,1.011136,0.840000,0.560000,-0.840000
1.630106,-0.039528,0.013176,1.010648,0.840000,0.560000,-0.840000
1.638210,-0.039528,0.012688,1.009672,0.840000,0.560000,-0.840000
1.646314,-0.038552,0.013176,1.009672,0.840000,0.560000,-0.840000
1.654418,-0.038552,0.013176,1.009672,0.840000,0.560000,-0.840000
1.662522,-0.039528,0.012200,1.010160,0.840000,0.560000,-0.840000
1.670626,-0.039040,0.013664,1.010160,0.840000,0.560000,-0.840000
1.678731,-0.039040,0.013176,1.008208,0.840000,0.560000,-0.840000
1.686835,-0.040016,0.013664,1.008208,0.840000,0.560000,-0.840000
1.694939,-0.038552,0.013176,1.009672,0.840000,0.560000,-0.840000
1.703043,-0.039040,0.013664,1.009184,0.840000,0.560000,-0.840000
1.711147,-0.039040,0.013176,1.009672,0.840000,0.560000,-0.840000
1.719251,-0.038552,0.013176,1.010648,0.840000,0.560000,-0.840000
1.727355,-0.039040,0.012688,1.010160,0.840000,0.560000,-0.840000
1.735459,-0.039040,0.012200,1.009672,0.980000,0.560000,-0.840000
1.743564,-0.039040,0.013664,1.009184,0.840000,0.560000,-0.840000
