Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
8.658475,-0.061488,0.325008,1.010160,0.140000,1.960000,-1.260000
8.662541,0.098576,0.194712,0.752008,-0.420000,-5.040000,0.840000
8.666607,-0.017080,0.508984,1.093120,-0.420000,1.400000,0.840000
8.670673,-0.037576,0.254736,0.991128,-1.400000,1.960000,-2.380000
8.674739,0.141032,0.247904,0.879376,1.540000,-4.620000,0.700000
8.678805,-0.082960,0.492392,1.023824,1.680000,4.200000,0.420000
8.682871,0.011224,0.293288,0.942328,-1.120000,0.000000,-2.240000
8.686937,0.142496,0.267424,0.826184,0.420000,-7.280000,-0.140000
8.691003,-0.082472,0.470920,1.101904,1.260000,2.100000,-1.120000
8.695069,-0.027816,0.221064,0.870592,-0.140000,2.380000,-1.820000
8.699135,0.064416,0.323544,0.880352,0.700000,-1.540000,1.120000
8.703201,-0.061000,0.499712,1.062376,0.700000,1.260000,0.140000
8.707267,0.027328,0.210328,0.825208,-2.240000,-1.680000,-1.400000
8.711333,0.090280,0.348432,0.995032,2.100000,-2.100000,0.560000
8.715399,-0.107360,0.404552,1.083848,2.800000,4.340000,-0.140000
8.719465,0.059536,0.224480,0.755912,-1.820000,-1.960000,-1.120000
8.723531,0.073200,0.434320,0.986248,0.980000,-4.480000,1.400000
8.727597,-0.096624,0.406992,1.148752,1.960000,4.200000,-1.540000
8.731663,0.074176,0.229848,0.667096,0.280000,-1.680000,-0.140000
8.735729,0.044896,0.463600,1.003328,1.120000,0.140000,-0.140000
8.739795,-0.075640,0.337696,1.026264,0.000000,-0.140000,-1.400000
8.743861,0.046360,0.207400,0.789584,0.280000,-2.520000,-1.120000
8.747927,0.033184,0.483120,1.053592,2.380000,1.960000,1.120000
8.751993,-0.116144,0.319640,0.828136,-2.100000,2.240000,-2.100000
8.756059,0.118584,0.295240,0.823744,-0.140000,-7.420000,0.280000
8.760125,-0.029280,0.455792,1.205848,1.820000,2.380000,-0.560000
8.764191,-0.017568,0.245952,0.845704,-0.840000,1.540000,-1.680000
8.768257,0.083448,0.345016,0.766648,-0.280000,-6.720000,0.560000
