Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
41.170578,-0.075152,-0.267424,0.844728,0.560000,6.720000,-3.360000
41.174644,-0.111264,-0.285480,0.967704,-2.660000,0.700000,-0.980000
41.178710,0.048800,-0.272792,1.023336,1.820000,-5.880000,3.360000
41.182776,0.083448,-0.298168,1.021872,3.220000,-3.780000,0.000000
41.186842,-0.063440,-0.201544,0.882792,-2.240000,1.120000,-3.640000
41.190908,-0.011224,-0.192760,0.940376,-2.240000,6.440000,-1.960000
41.194974,-0.123952,-0.294752,1.023336,-1.540000,1.680000,0.980000
41.199040,0.104920,-0.387960,1.021384,1.400000,-11.620000,2.660000
41.203106,0.065392,-0.211792,0.918416,2.800000,-3.920000,-1.540000
41.207172,-0.061976,-0.193248,0.882792,-3.920000,12.180000,-3.640000
41.211238,-0.054168,-0.274744,1.018944,-2.380000,3.920000,-0.280000
41.215304,-0.038552,-0.291824,1.009184,3.780000,-9.240000,2.520000
41.219370,0.026840,-0.350872,0.940376,0.980000,-6.580000,0.420000
41.223436,0.057096,-0.165920,1.010648,-2.100000,2.800000,-2.240000
41.227502,0.006344,-0.235704,0.937448,-0.140000,6.160000,-1.960000
41.231568,-0.164456,-0.346968,1.027240,-3.220000,0.700000,-1.120000
41.235634,0.028304,-0.260592,0.965752,0.000000,-7.840000,3.640000
41.239700,0.139568,-0.240584,1.013088,2.380000,-2.800000,0.700000
41.243766,-0.020008,-0.278160,0.965264,-2.940000,3.640000,-4.340000
41.247833,-0.052704,-0.224968,0.899872,-1.260000,5.180000,-1.960000
41.251899,-0.108336,-0.291824,0.922808,-0.560000,-1.820000,1.680000
41.255965,0.106384,-0.333304,1.062864,0.280000,-8.540000,2.800000
41.260031,0.047824,-0.201544,0.953064,2.940000,-1.400000,-1.400000
41.264097,-0.076128,-0.243024,0.825696,-2.100000,9.940000,-4.060000
41.268163,-0.106872,-0.245952,1.094584,-3.360000,3.500000,0.000000
41.272229,0.017568,-0.267424,0.994544,3.780000,-9.240000,3.640000
41.276295,0.086864,-0.389912,0.952088,1.400000,-8.680000,0.000000
41.280361,0.005856,-0.150304,1.019920,-4.060000,6.160000,-3.920000
41.284427,0.000976,-0.217160,0.900360,-0.700000,9.940000,-1.680000
41.288493,-0.198616,-0.364536,0.986248,-2.380000,0.560000,-0.840000
41.292559,0.045384,-0.329888,1.022848,2.240000,-14.000000,4.200000
41.296625,0.183000,-0.221064,1.000888,4.060000,-6.720000,0.140000
41.300691,-0.008296,-0.221064,0.954528,-4.060000,11.620000,-5.040000
41.304757,-0.074176,-0.179584,0.958432,-2.940000,7.980000,-1.820000
41.308823,-0.175680,-0.311832,0.912072,0.560000,-5.180000,1.540000
41.312889,0.073688,-0.376248,1.020896,-0.700000,-9.660000,2.520000
41.316955,0.185440,-0.202032,1.020896,1.400000,-3.640000,-0.280000
41.321021,-0.052704,-0.192760,0.840336,-1.260000,7.420000,-3.640000
41.325087,-0.087840,-0.245464,0.904264,-3.080000,8.820000,-2.800000
41.329153,-0.081984,-0.310856,1.084824,2.100000,-4.760000,2.940000
41.333219,0.054656,-0.371856,0.974048,3.080000,-10.080000,2.100000
41.337285,0.049288,-0.215208,0.957944,0.000000,-2.520000,-3.220000
41.341351,-0.055144,-0.112240,0.971608,-2.940000,11.900000,-3.080000
41.345417,-0.061488,-0.342088,0.976488,-3.080000,4.200000,-0.840000
41.349483,0.017080,-0.342576,1.056520,2.100000,-12.600000,3.780000
41.353549,0.063928,-0.302560,0.895480,3.360000,-4.200000,0.840000
41.357615,0.044408,-0.255712,0.982344,-3.360000,4.340000,-2.940000
41.361681,0.045872,-0.126392,1.025288,-1.400000,8.960000,-2.380000
41.365747,-0.296704,-0.332328,0.837896,1.260000,0.700000,0.000000
41.369814,0.057096,-0.346480,1.038464,-1.540000,-11.200000,3.780000
41.373880,0.257176,-0.171776,1.064816,3.220000,-7.560000,-0.140000
41.377946,-0.085888,-0.213744,0.849608,-1.260000,10.920000,-5.040000
41.382012,-0.128344,-0.298656,0.919392,-4.900000,8.960000,-2.380000
41.386078,-0.033184,-0.233264,1.075064,1.680000,-6.720000,3.920000
41.390144,0.035136,-0.382592,0.955016,4.060000,-10.360000,1.960000
41.394210,0.084424,-0.277672,0.962336,-0.560000,-3.500000,-1.680000
41.398276,0.003904,-0.061488,0.947208,-1.680000,8.680000,-3.220000
41.402342,-0.124440,-0.304024,0.930616,-3.080000,11.480000,-3.640000
41.406408,-0.119072,-0.343552,1.054080,-0.980000,-7.420000,4.200000
41.410474,0.127368,-0.302072,1.022848,4.480000,-15.120000,3.080000
41.414540,0.063440,-0.230336,0.927200,-2.660000,-0.280000,-4.480000
41.418606,0.021960,-0.160064,0.978928,-7.000000,14.980000,-2.660000
41.422672,-0.182512,-0.276208,0.931592,-1.400000,3.640000,-0.840000
41.426738,-0.023912,-0.388448,1.029192,1.260000,-10.080000,1.820000
41.430804,0.112240,-0.348920,0.950136,1.400000,-7.700000,2.100000
41.434870,0.087840,-0.188856,0.990640,0.280000,-0.980000,-2.100000
41.438936,0.047824,-0.165432,0.908656,-3.640000,11.060000,-3.780000
41.443002,-0.237656,-0.214232,0.910120,-0.280000,8.540000,-0.980000
41.447068,-0.069296,-0.380640,1.016016,2.380000,-8.960000,3.500000
41.451134,0.190320,-0.353800,1.104344,0.560000,-13.020000,1.120000
41.455200,-0.016592,-0.052216,0.856928,0.000000,3.640000,-4.060000
41.459266,-0.046848,-0.249368,0.853024,-4.200000,12.460000,-3.220000
