Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
25.795885,-0.086376,0.031232,1.006256,0.140000,2.100000,-0.840000
25.803972,-0.067832,0.003904,0.966728,1.960000,0.140000,-1.260000
25.812059,-0.028304,0.034160,1.056520,-0.280000,-2.100000,-0.280000
25.820146,-0.047824,-0.015128,1.054080,1.820000,2.100000,-1.120000
25.828233,-0.104920,0.034160,0.942816,0.000000,0.980000,-0.980000
25.836321,-0.014152,-0.014152,1.007232,1.400000,-1.680000,-0.700000
25.844408,-0.069296,0.010736,1.035536,0.980000,0.560000,-0.700000
25.852495,-0.083936,0.010736,0.986248,-0.140000,2.100000,-1.120000
25.860582,-0.010736,-0.005368,0.973560,2.660000,-0.840000,-0.840000
25.868669,-0.028304,0.017568,1.092144,-1.260000,2.100000,-0.420000
25.876757,-0.060512,0.006344,0.939400,2.520000,3.360000,-0.980000
25.884844,-0.105408,0.016592,0.977952,0.980000,0.560000,-1.120000
25.892931,-0.006344,-0.024400,1.056520,0.560000,-0.700000,-0.560000
25.901018,-0.060512,0.016104,0.970632,2.100000,2.380000,-1.120000
25.909105,-0.055144,0.027816,1.020408,-1.540000,0.980000,-0.700000
25.917192,-0.008784,-0.013176,1.027240,2.240000,0.140000,-0.840000
25.925280,-0.086864,0.024888,1.053592,0.700000,3.500000,-0.420000
25.933367,-0.081984,-0.000976,0.939400,1.260000,2.940000,-1.540000
25.941454,-0.055144,-0.005368,0.956480,1.540000,0.280000,-0.420000
25.949541,-0.011712,0.016104,1.054080,-1.400000,0.980000,-0.280000
25.957628,-0.094672,0.028792,1.061888,4.200000,3.360000,-1.400000
25.965716,-0.075640,0.045872,1.001376,-1.680000,0.280000,-0.420000
25.973803,-0.014152,-0.051728,1.051152,1.960000,1.540000,-0.840000
25.981890,-0.090768,0.022448,0.994056,1.680000,3.360000,-1.260000
25.989977,-0.104432,0.028792,0.942816,0.000000,1.960000,-0.700000
25.998064,-0.007320,-0.011712,1.015040,0.560000,-1.120000,-0.700000
