Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
5.513277,-0.111264,0.000976,0.983320,0.420000,0.280000,-0.700000
5.521364,-0.046360,-0.008784,1.025288,0.140000,1.960000,-1.400000
5.529452,0.028304,0.031720,0.995520,1.680000,0.700000,-0.840000
5.537539,-0.009272,0.013176,1.035536,1.400000,-1.820000,-0.140000
5.545626,-0.115656,-0.021472,0.979904,0.420000,1.540000,-0.840000
5.553713,-0.020984,0.013664,1.018456,0.420000,1.680000,-1.400000
5.561800,0.047824,0.027328,1.026264,1.400000,-0.700000,-0.700000
5.569887,-0.078080,0.007320,1.003328,1.680000,0.000000,-0.420000
5.577974,-0.080032,-0.024400,0.996496,0.280000,1.820000,-0.980000
5.586062,-0.005856,0.017568,1.015040,0.560000,1.120000,-0.980000
5.594149,0.007320,0.038064,1.017480,1.680000,-0.420000,-0.840000
5.602236,-0.056120,-0.012200,1.006256,1.260000,-0.280000,-0.420000
5.610323,-0.082960,-0.012200,1.003816,0.420000,2.100000,-0.840000
5.618410,-0.004880,0.013664,1.010648,0.140000,0.840000,-1.260000
5.626497,0.018056,0.025864,1.022848,1.680000,-0.560000,-0.560000
5.634584,-0.077592,-0.002440,0.990640,1.540000,0.560000,-0.560000
5.642671,-0.067344,-0.005856,1.007232,-0.140000,1.540000,-0.840000
5.650759,0.000000,0.012200,1.023824,0.280000,0.560000,-1.120000
5.658846,0.007808,0.032696,1.019920,1.820000,-0.280000,-0.840000
5.666933,-0.052216,-0.005368,0.992592,1.260000,-0.280000,-0.560000
5.675020,-0.091256,-0.012688,1.007232,0.000000,2.100000,-0.840000
5.683107,-0.005368,0.007808,1.014552,0.420000,0.980000,-1.120000
5.691194,0.021960,0.038064,1.010648,1.680000,-0.420000,-0.840000
5.699281,-0.069784,0.001952,0.998936,1.540000,-0.420000,-0.560000
5.707369,-0.076128,-0.023424,1.015040,0.280000,1.960000,-0.700000
5.715456,-0.003416,0.015616,1.018944,0.280000,0.980000,-0.980000
