Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
39.164015,-0.062464,0.037576,1.041392,1.540000,1.960000,-1.400000
39.172102,-0.153232,0.020984,0.945256,1.120000,1.540000,-0.560000
39.180189,-0.023424,-0.038552,1.024800,0.560000,-0.420000,-0.840000
39.188276,-0.010736,0.015616,0.981368,1.820000,1.260000,-0.560000
39.196363,-0.081008,0.027328,1.017968,-0.840000,4.200000,-0.840000
39.204451,-0.081496,-0.004880,0.942816,1.680000,1.540000,-1.260000
39.212538,-0.069296,0.026840,1.043832,-0.700000,-0.700000,-0.140000
39.220625,-0.060512,0.002440,1.077992,2.380000,1.400000,-1.540000
39.228712,-0.121512,0.041480,0.990152,0.840000,1.400000,-0.560000
39.236799,-0.043432,-0.035136,1.050664,1.400000,0.280000,-0.420000
39.244887,-0.041968,0.024400,0.966728,1.260000,0.980000,-1.120000
39.252974,-0.076616,0.014152,0.983320,0.280000,2.380000,-0.980000
39.261061,-0.041480,-0.010736,0.926712,0.840000,-0.420000,-0.980000
39.269148,-0.056608,0.015128,1.070184,1.120000,-1.260000,-0.700000
39.277235,-0.085400,0.015616,0.995032,1.400000,2.240000,-1.120000
39.285322,-0.088328,0.027328,1.006744,0.000000,0.000000,-0.560000
39.293410,-0.019032,-0.008784,1.024312,1.540000,-0.280000,-1.120000
39.301497,-0.082960,0.023424,1.085800,0.700000,3.080000,-0.420000
39.309584,-0.090768,0.014640,0.972584,0.560000,2.800000,-0.840000
39.317671,-0.048800,0.007808,1.011136,2.100000,1.540000,-0.560000
39.325758,-0.069296,-0.005368,1.073112,-0.980000,3.080000,-0.700000
39.333846,-0.102480,0.021960,0.942816,1.960000,4.480000,-1.260000
39.341933,-0.070760,-0.004392,0.969168,0.700000,0.840000,-0.700000
39.350020,-0.006344,-0.011224,1.064328,0.140000,0.140000,-0.700000
39.358107,-0.061976,0.013664,1.023336,1.400000,5.600000,-0.840000
39.366194,-0.071736,0.015128,0.892552,1.680000,2.940000,-1.540000
39.374282,-0.036112,0.000488,1.036512,-0.420000,1.400000,-0.420000
39.382369,-0.075640,0.001952,1.013088,2.100000,4.060000,-1.260000
39.390456,-0.109312,0.055632,1.001376,-0.280000,3.640000,-0.280000
39.398543,-0.052216,-0.011224,1.033584,1.540000,2.660000,-0.840000
39.406630,-0.063440,0.013176,1.073112,0.700000,4.060000,-0.980000
39.414718,-0.080032,0.017568,0.996496,0.420000,4.900000,-0.420000
39.422805,-0.103456,0.030744,1.010648,2.240000,3.500000,-1.260000
39.430892,-0.056608,-0.025864,0.987224,0.700000,1.120000,-0.560000
39.438979,-0.042944,-0.009272,1.115568,0.000000,5.880000,0.000000
39.447066,-0.062464,0.026840,0.864736,2.800000,5.180000,-1.960000
39.455154,-0.098576,0.008296,0.917928,0.000000,1.400000,-0.560000
39.463241,-0.096136,-0.008296,1.032120,0.140000,1.540000,-1.260000
39.471328,-0.058072,0.041480,1.011624,2.380000,0.840000,-1.260000
39.479415,-0.033184,0.032208,1.040904,-0.420000,1.260000,0.140000
39.487502,-0.036112,-0.035624,1.097024,1.960000,4.480000,-0.980000
39.495590,-0.138104,0.044408,1.006744,0.980000,6.860000,-0.840000
39.503677,-0.092232,0.031232,1.029192,0.840000,5.460000,-0.700000
39.511764,-0.064904,-0.025376,0.944280,0.420000,3.780000,-1.120000
39.519851,-0.040992,-0.020008,0.984296,1.540000,3.500000,-0.840000
39.527938,-0.079544,0.025376,0.956968,1.120000,4.340000,-0.840000
39.536026,-0.080032,0.026840,1.012600,0.000000,3.640000,-1.120000
39.544113,-0.063440,-0.023424,1.005768,1.820000,3.780000,-0.840000
39.552200,-0.135664,0.037576,1.057984,-0.280000,4.760000,-1.120000
39.560287,-0.104920,0.018544,1.016016,1.540000,5.460000,-0.560000
39.568374,-0.037576,0.008784,1.016992,-0.140000,3.920000,-0.140000
39.576462,-0.059536,-0.006832,0.981368,2.660000,3.920000,-1.260000
39.584549,-0.110288,0.028792,0.959896,0.700000,3.640000,-0.700000
39.592636,-0.075152,-0.020984,1.009672,0.980000,2.660000,-0.980000
39.600723,-0.049288,-0.008296,0.995032,0.560000,2.380000,-0.840000
39.608810,-0.074664,0.040992,1.080432,1.540000,5.180000,-1.120000
39.616898,-0.094184,0.016592,0.970144,0.420000,3.360000,-0.420000
39.624985,-0.064904,-0.029280,1.029680,1.820000,3.780000,-0.840000
39.633072,-0.094184,0.044896,0.987224,0.560000,5.040000,-0.980000
39.641159,-0.096136,0.027816,1.045296,0.980000,4.480000,-1.260000
39.649246,-0.096136,0.002440,0.974536,1.260000,2.940000,-0.700000
39.657334,-0.082472,-0.018544,1.046272,0.840000,2.240000,-0.420000
39.665421,-0.113216,0.041968,0.973560,1.680000,5.460000,-1.260000
39.673508,-0.053192,0.009272,1.012600,-0.140000,2.520000,-0.560000
39.681595,-0.062464,-0.016592,0.991616,2.380000,3.500000,-1.540000
39.689682,-0.130296,0.013664,1.005280,1.120000,4.480000,-0.420000
39.697770,-0.066856,0.020984,1.016504,-0.840000,3.500000,-1.120000
39.705857,-0.044408,-0.040992,1.000888,2.660000,4.200000,-1.400000
39.713944,-0.096624,0.047824,0.994544,-0.140000,5.600000,-0.560000
39.722031,-0.087352,0.019032,0.995032,1.820000,4.900000,-0.980000
39.730118,-0.095160,-0.000488,1.008696,0.420000,5.180000,-0.980000
39.738206,-0.066856,0.004880,1.027728,-0.140000,4.900000,-0.840000
39.746293,-0.103944,0.033672,1.015040,3.220000,4.900000,-0.560000
39.754380,-0.086864,0.028304,0.996008,-0.420000,3.780000,-0.560000
39.762467,-0.101504,-0.047336,1.026752,2.380000,6.020000,-1.400000
39.770554,-0.129808,0.041968,0.975512,0.000000,4.900000,-0.420000
39.778642,-0.086376,-0.006832,0.972096,1.260000,4.340000,-1.260000
39.786729,-0.093696,-0.022448,0.954040,1.260000,2.100000,-1.120000
39.794816,-0.046360,0.002440,1.081408,-0.280000,5.880000,-0.420000
39.802903,-0.084424,0.059048,0.976488,1.400000,5.460000,-1.540000
39.810990,-0.107360,0.010248,0.982832,0.980000,3.080000,-0.700000
39.819078,-0.076616,-0.023424,1.026264,1.400000,3.360000,-0.420000
39.827165,-0.128344,0.040992,1.031144,2.100000,5.600000,-1.120000
39.835252,-0.108824,0.036112,0.989664,-1.260000,4.060000,-0.420000
39.843339,-0.110288,-0.029768,1.020408,2.380000,2.800000,-1.540000
39.851426,-0.115168,0.012200,0.988200,0.840000,4.340000,-0.560000
39.859514,-0.059048,0.034648,1.058472,0.140000,4.760000,-0.840000
39.867601,-0.103456,-0.019520,0.899384,2.100000,3.920000,-1.120000
39.875688,-0.077592,-0.003416,1.003328,-0.140000,2.380000,-0.140000
