Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
48.076111,-0.054168,-0.029768,1.002840,1.260000,-1.400000,-0.560000
48.084199,-0.072712,0.020984,1.032608,0.420000,1.540000,-0.700000
48.092286,-0.117120,0.041480,0.986248,1.540000,1.680000,-1.120000
48.100373,-0.103944,0.024400,1.008696,0.000000,-1.120000,-0.840000
48.108460,-0.048800,-0.035624,1.081896,1.120000,-0.980000,-1.260000
48.116547,-0.106872,0.021960,0.959896,0.700000,0.840000,-0.560000
48.124635,-0.077592,0.000976,1.025776,0.980000,0.420000,-0.700000
48.132722,-0.026840,0.019032,0.956480,0.420000,-0.140000,-1.120000
48.140809,-0.091256,-0.007320,1.045296,1.120000,0.980000,-0.840000
48.148896,-0.122000,0.037088,0.963800,0.420000,0.560000,-0.700000
48.156983,-0.029280,0.016104,1.077992,1.680000,-1.680000,-0.700000
48.165071,-0.032696,0.016104,1.044808,-0.420000,1.400000,-0.980000
48.173158,-0.101504,-0.009760,0.948672,2.380000,3.080000,-1.260000
48.181245,-0.098576,0.017080,0.978928,0.420000,0.140000,-0.280000
48.189332,-0.021472,-0.008296,1.074576,0.000000,0.560000,-0.420000
48.197419,-0.097112,0.017568,0.988200,2.240000,2.660000,-1.540000
48.205507,-0.109312,0.008784,0.919880,0.840000,0.000000,-1.120000
48.213594,-0.054168,-0.019032,0.996496,-0.560000,-1.820000,-0.700000
48.221681,-0.090280,-0.001464,1.054080,2.520000,0.700000,-0.840000
48.229768,-0.089792,0.063440,1.031144,-0.560000,2.380000,-0.980000
48.237855,-0.044408,-0.010736,0.991616,1.260000,-0.420000,-1.260000
48.245943,-0.075640,-0.007808,1.009184,0.980000,1.680000,-0.280000
48.254030,-0.116144,0.052704,1.031144,0.560000,2.800000,-0.980000
48.262117,-0.079056,0.022448,1.001864,1.820000,0.420000,-1.120000
48.270204,-0.045384,-0.015616,1.037488,-1.120000,0.560000,-0.280000
