Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
60.522327,-0.033672,0.026840,0.982832,0.700000,0.840000,-0.980000
60.530414,-0.051240,0.018544,1.029680,0.420000,0.840000,-0.980000
60.538501,-0.055632,0.001464,0.916952,1.120000,-0.700000,-1.120000
60.546588,-0.015128,-0.019032,1.075064,1.120000,-0.560000,-0.560000
60.554676,-0.002440,0.028792,1.005768,0.000000,0.980000,-0.560000
60.562763,-0.043920,-0.011712,1.008208,1.680000,2.520000,-1.120000
60.570850,-0.058560,0.025376,0.952576,0.420000,-0.560000,-0.840000
60.578937,0.028304,0.005368,1.082384,1.260000,-0.700000,-0.420000
60.587025,-0.045872,0.048800,1.055544,0.980000,1.680000,-0.980000
60.595112,-0.104920,-0.017568,0.976000,0.980000,1.960000,-0.980000
60.603199,-0.027328,0.014152,1.021872,0.560000,-0.140000,-0.420000
60.611286,-0.024400,0.014152,1.017480,1.540000,0.560000,-0.560000
60.619373,-0.074176,0.012200,0.939888,0.560000,1.540000,-1.120000
60.627461,0.022448,-0.014640,0.992592,1.400000,-0.140000,-1.120000
60.635548,-0.013176,0.004392,1.001864,0.140000,0.840000,-0.700000
60.643635,-0.045872,0.000976,0.977464,1.120000,1.120000,-0.840000
60.651722,-0.047336,0.008296,1.014064,0.700000,0.140000,-0.840000
60.659809,-0.018056,0.007320,1.015528,1.120000,-0.140000,-0.560000
60.667897,-0.042456,0.029768,1.120936,-0.140000,0.980000,-0.420000
60.675984,-0.047824,0.023424,0.950624,1.820000,1.540000,-1.260000
60.684071,-0.045872,-0.000976,1.053592,0.980000,-0.560000,-0.140000
60.692158,-0.050752,0.024888,1.069208,0.840000,2.800000,-1.120000
60.700246,-0.054656,0.013176,0.935008,1.540000,2.100000,-1.260000
60.708333,-0.003904,-0.018544,0.920856,-0.700000,0.140000,-0.700000
60.716420,-0.004880,-0.025864,1.039928,1.400000,0.280000,-0.840000
60.724507,-0.051728,0.060512,0.988688,1.120000,1.960000,-0.840000
60.732594,-0.058072,0.022936,1.050664,0.140000,0.420000,-0.980000
60.740682,-0.020008,-0.013176,0.994056,2.800000,-1.400000,-0.560000
60.748769,-0.061976,0.038552,1.092632,-0.420000,1.120000,-0.280000
60.756856,-0.059536,-0.011712,0.938424,2.520000,1.540000,-1.400000
60.764943,0.000976,-0.020008,0.925248,-1.120000,-1.120000,-0.280000
