Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
83.430685,0.198616,0.013176,1.081896,-0.980000,1.960000,-0.560000
83.434751,0.211792,0.020984,0.874496,0.840000,-4.060000,-0.420000
83.438817,0.223992,0.109800,0.990640,-0.840000,3.920000,0.000000
83.442883,0.247416,-0.071248,1.076040,-2.380000,1.960000,-0.140000
83.446949,0.211304,-0.015128,0.807152,2.240000,-5.880000,-0.700000
83.451015,0.281088,0.150304,1.128744,-0.700000,2.520000,-0.420000
83.455081,0.234728,-0.066368,1.033096,-3.080000,0.840000,-0.280000
83.459147,0.236192,0.080520,0.850096,2.100000,-4.480000,-0.700000
83.463213,0.209352,0.059048,1.053104,-1.400000,3.780000,0.140000
83.467279,0.226432,-0.082472,0.954040,-3.780000,0.280000,-0.840000
83.471344,0.277672,0.060512,0.988200,3.360000,-5.740000,-0.140000
83.475410,0.141520,0.043920,1.021384,-0.980000,2.520000,-0.560000
83.479476,0.296216,-0.055144,0.896944,-3.080000,-0.420000,0.000000
83.483542,0.230336,0.106872,1.026264,1.540000,-2.100000,-0.280000
83.487608,0.201056,0.012200,0.990152,-1.120000,-0.280000,-1.260000
83.491674,0.295728,-0.006832,0.890112,-2.380000,-0.140000,-0.420000
83.495740,0.209352,0.062952,1.135576,0.700000,0.420000,0.420000
83.499806,0.170800,0.012200,0.918416,0.140000,-1.120000,-0.280000
83.503872,0.325008,0.021960,0.939888,-2.800000,0.280000,-0.700000
83.507937,0.254736,0.014152,1.147288,-0.280000,-0.980000,0.280000
83.512003,0.103944,-0.014152,0.735416,0.700000,-3.920000,-0.560000
83.516069,0.360632,0.062464,1.048712,-0.280000,2.240000,0.140000
83.520135,0.254736,-0.022448,1.104832,-3.080000,1.400000,0.000000
83.524201,0.159088,0.040504,0.765184,1.960000,-5.040000,-1.120000
83.528267,0.234728,0.080520,1.068232,0.280000,3.780000,-0.140000
83.532333,0.267912,-0.061976,1.079456,-3.640000,0.980000,-0.420000
83.536399,0.204472,0.100040,0.774944,1.260000,-5.600000,0.000000
83.540465,0.255712,0.149816,1.213656,-0.560000,3.360000,-0.420000
83.544531,0.261568,-0.152744,0.969168,-3.640000,0.000000,-1.540000
83.548596,0.240584,0.022936,0.805688,2.240000,-3.640000,0.560000
83.552662,0.191296,0.070760,1.170712,-1.820000,4.760000,-0.700000
83.556728,0.261080,-0.036112,0.954528,-1.960000,-2.100000,-0.840000
83.560794,0.236680,0.029768,0.876448,2.660000,-3.780000,0.560000
83.564860,0.137128,0.041968,1.050664,-0.700000,2.380000,-0.420000
83.568926,0.281576,-0.059536,0.867176,-1.680000,-2.240000,-0.700000
83.572992,0.254248,0.105408,1.038464,0.560000,-2.520000,0.700000
83.577058,0.171776,0.029768,0.960384,-1.680000,1.120000,-1.400000
83.581124,0.314272,0.017568,0.949648,-0.420000,-2.660000,-0.420000
83.585189,0.251808,0.068320,1.067744,0.000000,0.840000,0.700000
83.589255,0.194224,0.016104,0.971608,-0.560000,0.420000,-0.840000
83.593321,0.275232,0.043920,1.022360,0.280000,-2.100000,-0.280000
83.597387,0.262056,0.019520,1.020408,-2.240000,0.980000,-0.140000
83.601453,0.179584,-0.061976,0.813496,-0.560000,-2.100000,-0.700000
83.605519,0.286944,0.085400,1.070184,0.140000,-0.420000,-0.420000
83.609585,0.183000,-0.026352,1.025776,-2.380000,1.260000,0.000000
83.613651,0.167384,-0.025864,0.812032,1.260000,-1.400000,0.140000
83.617717,0.289384,0.076616,1.122888,1.540000,-0.700000,-0.560000
83.621783,0.226920,0.020008,0.946720,-3.220000,-1.400000,-0.840000
83.625848,0.285480,0.040504,0.808128,-0.700000,-2.800000,-0.700000
83.629914,0.258152,0.107848,1.261968,-0.420000,2.940000,0.000000
83.633980,0.131272,-0.091744,0.855952,-0.420000,-0.420000,-0.280000
83.638046,0.359168,0.053192,0.932080,0.280000,-0.280000,0.840000
83.642112,0.203984,0.023424,1.136552,-1.260000,1.960000,-0.560000
83.646178,0.119560,-0.010736,0.822768,-0.420000,-5.880000,-1.540000
83.650244,0.340136,0.097112,0.967704,-0.840000,-0.280000,0.000000
83.654310,0.220088,-0.040016,1.143872,-2.940000,1.960000,0.000000
83.658376,0.187880,0.014640,0.803736,2.240000,-5.740000,-0.840000
83.662441,0.343552,0.096624,1.056520,-0.700000,2.800000,0.560000
83.666507,0.191784,-0.091256,0.988200,-4.060000,1.960000,-0.700000
83.670573,0.220088,0.056608,0.861320,2.940000,-5.880000,-0.980000
83.674639,0.271816,0.100040,1.071648,-1.680000,4.480000,-0.140000
83.678705,0.218624,-0.065392,0.999912,-4.060000,0.420000,-0.140000
83.682771,0.285968,0.098088,0.948184,3.220000,-4.900000,-0.140000
83.686837,0.139080,0.060512,1.046760,-0.700000,3.780000,0.140000
83.690903,0.271816,-0.106384,0.889136,-1.540000,-0.280000,-0.700000
83.694969,0.258152,0.069296,1.011624,1.680000,-2.660000,-0.140000
83.699035,0.177632,0.083936,0.993568,-1.120000,0.280000,-1.260000
83.703100,0.307440,-0.000488,0.887184,-2.660000,0.280000,-0.280000
83.707166,0.209840,0.042456,1.146312,0.980000,1.260000,0.280000
83.711232,0.141032,-0.022936,0.884744,-0.420000,-0.840000,-0.420000
83.715298,0.330376,0.039528,0.973072,-2.380000,0.000000,-0.280000
83.719364,0.244488,0.017080,1.117520,-1.120000,-0.140000,0.140000
83.723430,0.188856,0.025864,0.814960,0.840000,-3.780000,-0.700000
83.727496,0.258640,-0.003904,0.950136,-0.560000,2.520000,-0.840000
83.731562,0.270840,0.002928,1.175592,-2.660000,0.560000,-0.280000
83.735628,0.150792,0.036600,0.754936,1.960000,-4.200000,0.140000
83.739694,0.226432,0.127368,1.102880,0.700000,3.220000,-0.140000
83.743759,0.303048,-0.048800,1.054080,-3.360000,-0.980000,-0.140000
83.747825,0.216184,0.010736,0.794952,1.680000,-5.600000,-0.700000
83.751891,0.239120,0.142984,1.167296,-0.700000,3.080000,-0.840000
83.755957,0.288896,-0.112240,0.991616,-3.220000,0.140000,-0.420000
83.760023,0.186416,0.027816,0.801784,2.660000,-2.660000,0.560000
83.764089,0.243024,0.080032,1.180960,-0.140000,3.640000,0.000000
83.768155,0.184952,-0.078568,0.863760,-3.500000,-1.820000,-1.400000
83.772221,0.316224,0.046848,0.893040,1.260000,-4.480000,0.280000
83.776287,0.120048,0.039528,1.052128,-2.100000,4.340000,-0.420000
