Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
30.980458,0.148352,0.000976,0.825696,-0.700000,-5.320000,-1.120000
30.984523,0.239120,0.032696,0.980880,0.420000,-0.280000,-0.140000
30.988589,0.250344,-0.005368,1.138992,-2.240000,2.100000,0.420000
30.992655,0.128832,-0.000976,0.790560,-0.420000,-4.340000,-0.420000
30.996721,0.161040,0.143472,1.118496,0.560000,1.540000,-1.400000
31.000787,0.230824,-0.097600,0.992592,-2.520000,-1.120000,0.560000
31.004853,0.179096,0.076128,0.857904,0.420000,-3.920000,0.560000
31.008919,0.199592,0.120536,1.178520,0.280000,2.240000,-0.980000
31.012985,0.246440,-0.123464,0.931104,-4.060000,-1.400000,-0.560000
31.017051,0.184952,0.062464,0.885720,1.400000,-3.220000,0.420000
31.021117,0.167872,0.040016,1.205848,0.840000,2.940000,-1.120000
31.025183,0.182024,-0.106384,0.809104,-2.240000,-3.080000,-1.120000
31.029249,0.208376,0.096136,0.980392,0.840000,-2.100000,0.280000
31.033315,0.181536,0.027816,1.020408,-0.420000,2.660000,-0.980000
31.037381,0.224968,-0.014640,0.837896,-1.680000,-1.680000,0.000000
31.041447,0.196176,0.132736,1.128256,-0.280000,0.280000,0.140000
31.045513,0.177632,-0.025864,1.008696,-2.100000,0.420000,-0.980000
31.049579,0.178608,0.009272,0.915488,0.000000,-1.400000,-0.280000
31.053644,0.264984,0.047824,1.111176,-1.260000,1.960000,0.280000
31.057710,0.171288,-0.061488,0.866688,-1.120000,-1.820000,-1.120000
31.061776,0.132736,0.113704,1.032608,1.120000,-1.400000,-0.420000
31.065842,0.248392,0.001464,1.052616,-2.800000,2.380000,-0.140000
31.069908,0.223504,-0.051240,0.853512,-1.120000,-1.540000,-0.420000
31.073974,0.142984,0.091744,1.051640,2.380000,-0.280000,-1.260000
31.078040,0.221064,-0.011712,1.027728,-2.660000,1.540000,0.700000
31.082106,0.172264,0.032208,0.880352,-0.140000,-0.280000,0.280000
31.086172,0.204960,0.107848,1.136552,1.960000,0.700000,-0.560000
31.090238,0.214720,-0.082960,0.826672,-3.220000,-0.980000,-0.840000
31.094304,0.242536,0.005368,1.031144,-1.540000,0.420000,-0.700000
31.098370,0.150304,0.073688,1.118984,1.260000,2.940000,-0.280000
31.102436,0.120536,-0.035136,0.815448,-1.400000,-0.840000,0.700000
31.106502,0.257664,0.103456,1.077992,0.140000,0.980000,-0.560000
31.110568,0.180560,-0.026840,1.043832,-0.280000,-1.820000,-1.120000
31.114634,0.156160,0.021960,0.815448,-1.120000,-3.920000,-0.840000
31.118700,0.275232,0.092720,1.189744,-1.820000,3.780000,-0.420000
31.122765,0.216184,-0.049776,1.016992,-1.680000,0.700000,0.140000
31.126831,0.081984,0.082472,0.818864,0.840000,-1.680000,-0.700000
31.130897,0.267424,0.012688,1.171200,-1.540000,3.080000,-0.980000
31.134963,0.185440,-0.138592,0.814472,-1.400000,-3.500000,0.560000
31.139029,0.171288,0.124928,0.952088,2.660000,-1.400000,-0.420000
31.143095,0.245952,-0.012688,1.150704,-2.380000,6.020000,-1.120000
31.147161,0.153720,-0.048800,0.802760,-1.400000,-1.260000,0.420000
31.151227,0.105896,0.157136,1.049688,2.520000,-0.280000,-1.400000
31.155293,0.254736,-0.014152,1.021872,-2.380000,0.560000,-0.980000
31.159359,0.254736,0.014640,0.925736,-2.100000,-2.240000,0.140000
31.163425,0.210816,0.148840,1.159488,1.540000,2.940000,0.560000
31.167491,0.105896,-0.051240,0.928176,-2.100000,3.220000,-0.840000
31.171557,0.284992,-0.042944,0.900848,-1.120000,-0.420000,-0.560000
31.175623,0.161528,0.023424,1.083360,-1.120000,0.280000,-0.420000
31.179689,0.135664,0.004392,0.926224,-0.140000,-0.420000,-0.980000
31.183755,0.201056,0.058560,1.012112,0.980000,0.840000,-0.560000
31.187820,0.215696,-0.000488,1.008208,-2.240000,0.840000,0.140000
31.191886,0.157624,0.014152,0.865712,0.000000,-2.100000,-0.840000
31.195952,0.221552,0.104432,1.141920,0.000000,2.520000,-0.840000
31.200018,0.203984,-0.081008,0.889136,-2.380000,-0.560000,0.700000
31.204084,0.190320,0.088328,0.974048,0.280000,0.000000,-0.700000
31.208150,0.219112,0.021472,1.183400,0.140000,3.640000,-1.120000
31.212216,0.180072,-0.115656,0.774944,-2.380000,-0.420000,0.700000
31.216282,0.170312,0.139080,1.048224,1.540000,0.000000,-0.280000
31.220348,0.174704,0.057096,1.089704,-1.120000,0.560000,-0.980000
31.224414,0.209840,-0.003904,0.758352,-2.100000,-3.220000,-0.280000
