Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
68.183581,0.213744,0.079056,1.100928,1.260000,0.840000,-0.420000
68.187646,0.240584,-0.147864,0.833016,-4.760000,1.260000,-0.140000
68.191712,0.264496,0.086376,1.074088,1.680000,-1.540000,-0.280000
68.195778,0.111264,0.046848,1.058960,1.120000,1.960000,-0.560000
68.199844,0.224968,-0.073688,0.848632,-2.940000,1.120000,-0.420000
68.203910,0.205936,0.078080,1.069696,0.560000,0.000000,-0.280000
68.207976,0.171776,0.001952,0.947696,0.560000,-2.240000,-0.980000
68.212042,0.223016,0.025864,0.880840,-1.960000,-0.140000,-0.700000
68.216108,0.254248,0.068320,1.176080,-1.260000,1.540000,0.420000
68.220174,0.157624,0.012200,0.892552,-1.260000,-1.120000,-0.140000
68.224240,0.179584,0.048800,0.935008,0.140000,0.000000,-0.560000
68.228305,0.275232,-0.038552,1.213168,-1.540000,2.380000,-0.420000
68.232371,0.210816,-0.008784,0.800808,-0.700000,-4.060000,0.140000
68.236437,0.132736,0.112728,1.009184,0.140000,0.840000,-0.840000
68.240503,0.262056,-0.029768,1.138992,-2.520000,1.960000,-0.840000
68.244569,0.153232,-0.022448,0.747616,0.280000,-5.040000,0.140000
68.248635,0.220088,0.140056,1.102392,1.540000,1.540000,-0.700000
68.252701,0.219600,-0.107360,1.001864,-3.920000,2.240000,-0.700000
68.256767,0.193248,0.033672,0.808616,0.280000,-3.920000,1.120000
68.260833,0.175680,0.100040,1.166808,1.400000,2.240000,-0.980000
68.264898,0.256200,-0.072712,0.987224,-3.080000,0.700000,-1.260000
68.268964,0.261568,0.059536,0.822280,-0.140000,-3.500000,0.280000
68.273030,0.190808,0.097600,1.138016,-0.280000,5.040000,-0.420000
68.277096,0.148352,-0.080520,0.940376,-1.120000,0.840000,-0.980000
68.281162,0.231800,0.039528,0.929640,0.280000,-0.980000,0.980000
68.285228,0.217160,0.032696,1.117032,-0.840000,2.800000,-0.700000
68.289294,0.158600,-0.031720,0.850096,0.280000,-2.940000,-0.840000
68.293360,0.203008,0.106872,1.025288,-0.140000,0.700000,0.000000
68.297426,0.226920,-0.019520,1.074576,-2.660000,1.960000,-0.980000
68.301492,0.174704,-0.000976,0.884256,-0.280000,-3.360000,-0.560000
68.305557,0.255712,0.119072,1.129720,-0.140000,2.380000,0.840000
68.309623,0.171288,-0.075152,0.961848,-2.520000,0.280000,-0.140000
68.313689,0.173728,0.062952,0.918904,1.120000,-4.900000,-0.700000
68.317755,0.187880,0.060024,1.064328,-1.260000,0.000000,-0.700000
68.321821,0.277672,-0.094672,0.874008,-2.520000,-1.260000,-0.280000
68.325887,0.216672,0.107848,1.072136,1.400000,-1.260000,-0.420000
68.329953,0.145424,0.028304,1.020896,0.000000,0.700000,-0.140000
68.334019,0.201544,-0.033184,0.835944,-2.100000,-0.420000,0.000000
68.338085,0.201544,0.059536,1.110200,0.420000,0.280000,-0.140000
68.342150,0.182024,0.030256,0.941840,-0.140000,-3.780000,-0.980000
68.346216,0.253272,0.019520,0.896456,-1.680000,-0.840000,-0.140000
68.350282,0.267424,0.028792,1.227808,-0.980000,2.520000,0.280000
68.354348,0.138104,-0.057096,0.793976,0.140000,-2.520000,-0.280000
68.358414,0.229360,0.044896,0.943792,0.000000,0.980000,-0.700000
68.362480,0.225944,0.031232,1.174128,-2.800000,2.380000,0.000000
68.366546,0.163968,0.007320,0.781776,1.120000,-5.320000,-0.420000
68.370612,0.188856,0.122000,1.021384,1.820000,1.960000,-0.980000
68.374678,0.289384,-0.083936,1.075552,-4.480000,2.240000,-0.560000
68.378744,0.120536,0.040016,0.821792,0.000000,-2.800000,0.700000
68.382809,0.181536,0.138592,1.181448,2.100000,1.540000,-0.280000
68.386875,0.202032,-0.124928,0.985760,-3.920000,0.140000,-1.540000
68.390941,0.238144,0.055632,0.849608,0.000000,-4.900000,0.280000
68.395007,0.197640,0.066856,1.089216,1.120000,1.260000,-0.700000
68.399073,0.240096,-0.067832,0.977464,-2.520000,-0.420000,-0.980000
68.403139,0.223504,0.040504,0.899872,-0.140000,-1.260000,0.700000
68.407205,0.173728,0.100528,1.135576,-1.540000,3.360000,-0.140000
68.411271,0.187880,-0.052216,0.834968,-0.980000,-2.100000,-0.560000
68.415337,0.245952,0.023424,1.006256,1.120000,-1.680000,0.140000
68.419402,0.196176,0.026840,1.065304,-2.380000,2.100000,-0.700000
68.423468,0.188368,0.024888,0.909144,-0.700000,-1.260000,-0.420000
68.427534,0.161040,0.101504,1.065792,0.980000,0.700000,-0.840000
68.431600,0.246928,-0.077592,0.960872,-2.100000,-0.700000,0.140000
68.435666,0.161528,0.021472,0.884744,0.700000,-4.060000,-0.700000
68.439732,0.224480,0.101016,1.153632,-0.420000,0.840000,0.280000
68.443798,0.274744,-0.067832,0.927200,-3.220000,-0.560000,0.140000
68.447864,0.177632,0.062952,0.984296,1.120000,-0.980000,-0.560000
68.451930,0.140544,0.024400,1.052128,0.000000,-0.280000,-0.980000
68.455996,0.238632,-0.033672,0.827648,-2.800000,-2.660000,0.000000
68.460061,0.251320,0.101992,1.128744,1.820000,-1.260000,-0.140000
68.464127,0.156160,0.004880,0.954528,0.000000,-0.700000,-0.280000
68.468193,0.248880,0.005856,0.859368,-2.240000,-0.140000,0.000000
68.472259,0.199592,0.058072,1.166320,-0.700000,3.080000,0.280000
68.476325,0.157624,-0.051728,0.862784,0.980000,-3.360000,-0.700000
68.480391,0.247904,0.044408,0.937448,-0.980000,0.280000,-0.420000
68.484457,0.260104,-0.001952,1.197552,-2.380000,4.060000,-0.420000
68.488523,0.143472,-0.016592,0.795928,0.420000,-4.620000,-0.140000
68.492589,0.170800,0.129808,1.011624,1.400000,1.260000,-0.140000
68.496654,0.234240,-0.053192,1.111664,-3.500000,2.100000,-0.840000
68.500720,0.200080,0.026840,0.788608,-0.140000,-5.600000,-0.280000
68.504786,0.158112,0.104432,1.098000,1.400000,0.420000,-0.560000
68.508852,0.262544,-0.061000,1.047736,-3.220000,2.100000,-0.840000
68.512918,0.173240,0.010736,0.802760,-0.140000,-2.940000,1.120000
68.516984,0.184952,0.068808,1.191208,0.980000,1.820000,-0.980000
68.521050,0.244488,-0.092720,0.945744,-1.960000,-0.560000,-0.840000
68.525116,0.272304,0.086864,0.878400,0.280000,-2.660000,0.280000
68.529182,0.154696,0.109312,1.124840,-0.560000,2.520000,-1.120000
68.533248,0.160552,-0.054168,0.863272,-2.380000,-1.680000,-0.420000
68.537313,0.253760,0.053680,1.001376,-0.140000,-1.120000,0.420000
68.541379,0.196664,0.006344,1.130208,-1.260000,2.100000,0.560000
68.545445,0.160552,-0.026352,0.797392,0.280000,-4.200000,-1.120000
68.549511,0.223992,0.085888,1.034072,0.980000,-0.280000,0.000000
68.553577,0.176656,-0.033184,1.039440,-3.080000,2.100000,-0.980000
68.557643,0.172264,0.052704,0.936472,1.260000,-5.320000,-0.560000
