Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
10.731878,-0.156160,0.008784,0.934520,2.380000,2.240000,-0.420000
10.735944,-0.193248,0.054656,0.983808,-3.920000,2.240000,0.000000
10.740010,-0.326960,0.077592,0.907192,-0.140000,2.520000,0.980000
10.744076,-0.140544,0.039528,1.049688,1.120000,1.540000,-0.980000
10.748141,-0.212280,0.005856,1.063352,-2.520000,5.320000,0.420000
10.752207,-0.298168,0.026840,0.856440,0.700000,0.140000,-0.700000
10.756273,-0.272304,0.069296,1.026752,3.780000,-0.420000,-1.680000
10.760339,-0.120536,-0.032208,0.990640,-2.520000,2.800000,0.560000
10.764405,-0.379664,0.064904,0.967704,-0.980000,4.060000,-0.280000
10.768471,-0.157624,0.002928,0.933544,1.820000,-0.980000,-0.420000
10.772537,-0.134688,0.045384,1.079456,-2.380000,1.540000,-0.140000
10.776603,-0.304024,0.024400,1.009184,-0.560000,6.580000,-0.420000
10.780669,-0.218624,-0.002440,0.866688,2.940000,-2.380000,-1.120000
10.784735,-0.222040,0.057096,1.011136,-1.960000,1.120000,0.560000
10.788801,-0.304024,-0.002928,0.948184,-2.660000,5.880000,0.000000
10.792867,-0.234240,0.078568,0.964776,1.400000,0.980000,-0.280000
10.796933,-0.163968,0.057096,0.990640,-0.560000,-1.120000,0.000000
10.800998,-0.332328,0.011712,0.985272,-0.560000,2.800000,-1.260000
10.805064,-0.186416,0.021472,0.925248,1.820000,0.000000,-1.120000
10.809130,-0.212280,0.040016,1.012112,-2.100000,-0.560000,-0.140000
10.813196,-0.299144,0.078080,1.031144,-0.700000,3.080000,0.280000
10.817262,-0.179096,0.017080,0.930128,0.980000,1.680000,-0.700000
10.821328,-0.190808,0.066368,1.037000,-1.400000,2.520000,-0.140000
10.825394,-0.272792,0.066368,0.945744,0.700000,1.540000,0.000000
10.829460,-0.295240,0.035624,0.985272,1.960000,2.520000,-1.540000
10.833526,-0.168360,0.015128,0.975512,-2.240000,3.920000,-0.420000
10.837592,-0.276696,0.069784,0.988200,-0.280000,1.680000,0.700000
10.841658,-0.221064,0.038064,0.910608,2.240000,1.400000,-0.840000
10.845724,-0.237656,0.011712,0.968192,-1.400000,2.240000,-0.140000
10.849790,-0.214720,0.086376,1.084336,-0.840000,3.920000,-0.420000
10.853855,-0.238144,0.006832,0.897432,1.680000,1.540000,0.000000
10.857921,-0.274256,0.043432,0.919880,-0.980000,3.220000,-0.980000
10.861987,-0.194712,0.076616,1.066280,0.280000,1.120000,0.280000
10.866053,-0.266448,-0.020984,0.811056,-1.120000,3.080000,0.140000
10.870119,-0.184952,0.081496,1.019432,-0.560000,-0.280000,-1.120000
10.874185,-0.251808,0.062464,1.108248,1.120000,2.380000,0.420000
10.878251,-0.241560,-0.017568,0.830576,-0.420000,4.060000,-1.260000
10.882317,-0.214720,0.022448,1.043832,0.560000,-3.220000,-0.560000
10.886383,-0.259128,0.086376,0.984296,0.280000,2.660000,0.980000
10.890449,-0.235704,0.026352,0.995520,0.000000,4.900000,-1.260000
10.894515,-0.231800,0.076616,0.959408,-1.260000,2.520000,0.560000
10.898581,-0.206424,-0.015616,0.977952,0.280000,0.700000,-1.120000
10.902646,-0.294752,0.001464,1.025776,0.980000,2.800000,-0.280000
10.906712,-0.203496,0.045872,0.913048,-2.100000,1.680000,-0.840000
10.910778,-0.260104,0.056120,1.058960,1.400000,-1.260000,-0.840000
